tournament_year,course_name,round_num,hole_num,hole_par,hole_yardage,scoring_avg,rel_scoring_avg,eagles_or_better,birdies,pars,bogeys,doubles_or_worse
2016,Oakmont CC,1,1,4,481,4.38,0.38,0,10,86,50,9
2016,Oakmont CC,1,2,4,353,4.34,0.34,0,11,96,35,13
2016,Oakmont CC,1,3,4,429,4.14,0.14,0,25,95,26,9
2016,Oakmont CC,1,4,5,615,4.98,-0.02,1,31,96,24,3
2016,Oakmont CC,1,5,4,390,4.08,0.08,0,21,105,25,4
2016,Oakmont CC,1,6,3,206,3.26,0.26,0,10,98,43,4
2016,Oakmont CC,1,7,4,488,4.41,0.41,0,5,92,48,10
2016,Oakmont CC,1,8,3,258,3.34,0.34,0,6,95,51,3
2016,Oakmont CC,1,9,4,482,4.52,0.52,0,7,74,60,14
2016,Oakmont CC,1,10,4,442,4.34,0.34,0,12,83,55,5
2016,Oakmont CC,1,11,4,390,4.04,0.04,0,26,106,16,7
2016,Oakmont CC,1,12,5,684,5.36,0.36,0,11,86,50,8
2016,Oakmont CC,1,13,3,191,3.09,0.09,0,22,100,30,3
2016,Oakmont CC,1,14,4,331,3.97,-0.03,1,22,115,14,3
2016,Oakmont CC,1,15,4,519,4.49,0.49,0,8,75,61,11
2016,Oakmont CC,1,16,3,234,3.21,0.21,0,11,103,39,2
2016,Oakmont CC,1,17,4,307,3.97,-0.03,0,38,86,29,2
2016,Oakmont CC,1,18,4,484,4.31,0.31,0,8,97,44,6
2016,Oakmont CC,2,1,4,491,4.64,0.64,0,5,66,65,18
2016,Oakmont CC,2,2,4,337,3.95,-0.05,0,38,88,25,3
2016,Oakmont CC,2,3,4,432,4.45,0.45,0,9,88,42,15
2016,Oakmont CC,2,4,5,619,5.02,0.02,1,32,89,27,5
2016,Oakmont CC,2,5,4,384,4.16,0.16,0,13,108,29,4
2016,Oakmont CC,2,6,3,185,3.16,0.16,0,34,70,42,8
2016,Oakmont CC,2,7,4,483,4.21,0.21,0,19,88,43,4
2016,Oakmont CC,2,8,3,281,3.2800000000000002,0.28,0,11,94,44,5
2016,Oakmont CC,2,9,4,468,4.46,0.46,0,9,77,57,11
2016,Oakmont CC,2,10,4,466,4.46,0.46,0,9,76,59,10
2016,Oakmont CC,2,11,4,379,4.13,0.13,1,18,98,34,3
2016,Oakmont CC,2,12,5,617,5.05,0.05,1,34,82,30,7
2016,Oakmont CC,2,13,3,164,2.88,-0.12,0,44,87,21,2
2016,Oakmont CC,2,14,4,355,3.92,-0.08,0,36,98,17,3
2016,Oakmont CC,2,15,4,503,4.45,0.45,0,7,84,50,13
2016,Oakmont CC,2,16,3,225,3.25,0.25,0,11,104,31,8
2016,Oakmont CC,2,17,4,318,3.84,-0.16,2,50,75,25,2
2016,Oakmont CC,2,18,4,472,4.3,0.3,1,17,81,45,10
2016,Oakmont CC,3,1,4,482,4.4,0.4,0,3,36,26,2
2016,Oakmont CC,3,2,4,351,4.24,0.24,0,7,42,13,5
2016,Oakmont CC,3,3,4,420,4.45,0.45,0,6,32,23,6
2016,Oakmont CC,3,4,5,600,4.82,-0.18,1,20,37,8,1
2016,Oakmont CC,3,5,4,393,4.09,0.09,1,9,41,15,1
2016,Oakmont CC,3,6,3,198,2.85,-0.15,0,20,39,6,2
2016,Oakmont CC,3,7,4,477,4.3,0.3,0,9,34,20,4
2016,Oakmont CC,3,8,3,247,3.3,0.3,0,4,41,20,2
2016,Oakmont CC,3,9,4,487,4.25,0.25,0,11,30,24,2
2016,Oakmont CC,3,10,4,432,4.19,0.19,0,14,28,23,2
2016,Oakmont CC,3,11,4,378,3.96,-0.04,0,13,45,8,1
2016,Oakmont CC,3,12,5,674,5.19,0.19,1,13,32,14,7
2016,Oakmont CC,3,13,3,164,2.96,-0.04,0,13,46,6,2
2016,Oakmont CC,3,14,4,368,3.97,-0.03,0,8,53,6,0
2016,Oakmont CC,3,15,4,481,4.1,0.1,0,14,32,21,0
2016,Oakmont CC,3,16,3,227,3.09,0.09,0,9,44,13,1
2016,Oakmont CC,3,17,4,295,3.6,-0.4,4,25,32,6,0
2016,Oakmont CC,3,18,4,496,4.27,0.27,0,6,39,20,2
2016,Oakmont CC,4,1,4,485,4.24,0.24,0,11,33,19,4
2016,Oakmont CC,4,2,4,320,3.93,-0.07,0,21,35,7,4
2016,Oakmont CC,4,3,4,433,4.3,0.3,0,8,35,21,3
2016,Oakmont CC,4,4,5,611,4.99,-0.01,0,15,42,7,3
2016,Oakmont CC,4,5,4,373,4.24,0.24,0,11,35,16,5
2016,Oakmont CC,4,6,3,197,3.1,0.1,0,7,50,7,3
2016,Oakmont CC,4,7,4,490,4.42,0.42,0,3,37,24,3
2016,Oakmont CC,4,8,3,299,3.3,0.3,0,3,44,17,3
2016,Oakmont CC,4,9,4,488,4.33,0.33,0,7,33,25,2
2016,Oakmont CC,4,10,4,472,4.15,0.15,1,8,38,20,0
2016,Oakmont CC,4,11,4,373,4.13,0.13,0,9,43,12,3
2016,Oakmont CC,4,12,5,618,4.81,-0.19,1,19,39,8,0
2016,Oakmont CC,4,13,3,183,3.04,0.04,0,8,48,11,0
2016,Oakmont CC,4,14,4,368,4.22,0.22,2,6,35,23,1
2016,Oakmont CC,4,15,4,479,4.28,0.28,0,3,44,18,2
2016,Oakmont CC,4,16,3,239,3.45,0.45,0,1,37,27,2
2016,Oakmont CC,4,17,4,312,4.09,0.09,0,16,37,9,5
2016,Oakmont CC,4,18,4,489,4.45,0.45,0,2,37,24,4
