name_p1,name_p2,fair_prob_p1,fair_prob_p2,fair_odds_p1,fair_odds_p2,betonline_p1,betonline_ev_p1,betcris_p1,betcris_ev_p1,pinnacle_p1,pinnacle_ev_p1,draftkings_p1,draftkings_ev_p1,bet365_p1,bet365_ev_p1,fanduel_p1,fanduel_ev_p1,betmgm_p1,betmgm_ev_p1,pointsbet_p1,pointsbet_ev_p1,bovada_p1,bovada_ev_p1,caesars_p1,caesars_ev_p1,unibet_p1,unibet_ev_p1
"Lowry, Shane","Aberg, Ludvig",0.5265,0.4735,-111,111,,,,,,,,,+100,0.5795,,,,,,,,,,,,
"Lowry, Shane","Aberg, Ludvig",0.5265,0.4735,-111,111,,,,,,,,,,,,,,,,,-125,0.4742,,,,
"Kim, Si Woo","Berger, Daniel",0.5068,0.4932,-103,103,,,,,,,,,+105,0.5457,,,,,,,,,,,,
"Kim, Si Woo","Berger, Daniel",0.5068,0.4932,-103,103,,,,,,,,,,,,,,,,,-105,0.4962,,,,
"Fitzpatrick, Matt","Burns, Sam",0.49,0.51,104,-104,,,,,,,,,-115,0.4062,,,,,,,,,,,,
"Fitzpatrick, Matt","Burns, Sam",0.49,0.51,104,-104,,,,,-102,0.4605,,,,,,,,,,,,,,,,
"Fleetwood, Tommy","Cantlay, Patrick",0.5081,0.4919,-103,103,,,,,,,,,+105,0.5497,,,,,,,,,,,,
"Fleetwood, Tommy","Cantlay, Patrick",0.5081,0.4919,-103,103,,,,,-133,0.3983,,,,,,,,,,,,,,,,
"Conners, Corey","Hovland, Viktor",0.526,0.474,-111,111,,,,,,,,,-115,0.5095,,,,,,,,,,,,
"Conners, Corey","Hovland, Viktor",0.526,0.474,-111,111,,,,,,,,,,,,,-133,0.4476,,,-135,0.4418,,,,
"English, Harris","Griffin, Ben",0.4635,0.5365,116,-116,,,,,,,,,-110,0.3483,,,,,,,,,,,,
"English, Harris","Griffin, Ben",0.4635,0.5365,116,-116,+110,0.4368,+106,0.4183,-101,0.3859,,,,,,,,,,,,,,,,
"Finau, Tony","Spieth, Jordan",0.4773,0.5227,110,-110,,,,,,,,,-110,0.3884,,,,,,,,,,,,
"Finau, Tony","Spieth, Jordan",0.4773,0.5227,110,-110,+102,0.4414,+102,0.4414,+103,0.4461,,,,,,,,,,,,,,,,
"Bradley, Keegan","Henley, Russell",0.5033,0.4967,-101,101,,,,,,,,,+100,0.51,,,,,,,,,,,,
"Bradley, Keegan","Henley, Russell",0.5033,0.4967,-101,101,-110,0.4642,-120,0.4261,-111,0.4601,,,,,,,,,,,,,,,,
"Matsuyama, Hideki","Straka, Sepp",0.5176,0.4824,-107,107,,,,,,,,,-115,0.4853,,,,,,,,,,,,
"Matsuyama, Hideki","Straka, Sepp",0.5176,0.4824,-107,107,,,,,-121,0.463,,,,,,,,,,,,,,,,
"Im, Sungjae","McCarthy, Denny",0.4771,0.5229,110,-110,,,,,,,,,-110,0.388,,,,,,,,,,,,
"Im, Sungjae","McCarthy, Denny",0.4771,0.5229,110,-110,,,,,,,,,,,,,,,,,-110,0.388,,,,
"Schauffele, Xander","Morikawa, Collin",0.5075,0.4925,-103,103,,,,,,,,,-110,0.4764,,,,,,,,,,,,
"Schauffele, Xander","Morikawa, Collin",0.5075,0.4925,-103,103,,,,,-104,0.503,,,,,,,,,,,,,,,,
"Thomas, Justin","Scheffler, Scottie",0.2843,0.7157,252,-252,,,,,,,,,+250,0.2793,,,,,,,,,,,,
"Thomas, Justin","Scheffler, Scottie",0.2843,0.7157,252,-252,,,,,+263,0.3162,,,,,,,,,,,,,,,,
"Fleetwood, Tommy","Scheffler, Scottie",0.3092,0.6908,223,-223,+290,0.515,+306,0.5645,,,,,,,,,,,,,,,,,,
"Thomas, Justin","Schauffele, Xander",0.4585,0.5415,118,-118,+102,0.3847,+103,0.3893,,,,,,,,,,,,,,,,,,
"Cantlay, Patrick","Morikawa, Collin",0.4866,0.5134,106,-106,+117,0.5424,+110,0.5084,,,,,,,,,,,,,,,,,,
"Hovland, Viktor","Aberg, Ludvig",0.5146,0.4854,-106,106,-129,0.4282,-131,0.4221,-118,0.4654,,,,,,,,,,,,,,,,
"Matsuyama, Hideki","Conners, Corey",0.4907,0.5093,104,-104,-105,0.4487,-116,0.4044,-108,0.4357,,,,,,,,,,,,,,,,
"Lowry, Shane","Berger, Daniel",0.4965,0.5035,101,-101,-105,0.4658,-110,0.4443,-105,0.4658,,,,,,,,,,,,,,,,
