name_p1,name_p2,ties,market,betcris_p1,betcris_p2,betcris_tie,pinnacle_p1,pinnacle_p2,pinnacle_tie,draftkings_p1,draftkings_p2,draftkings_tie,bet365_p1,bet365_p2,bet365_tie,fanduel_p1,fanduel_p2,fanduel_tie,betmgm_p1,betmgm_p2,betmgm_tie,pointsbet_p1,pointsbet_p2,pointsbet_tie,bovada_p1,bovada_p2,bovada_tie,betonline_p1,betonline_p2,betonline_tie,caesars_p1,caesars_p2,caesars_tie,unibet_p1,unibet_p2,unibet_tie,datagolf_p1,datagolf_p2,datagolf_tie
"Olesen, Thorbjorn","Smalley, Alex",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+126,-103,+1925
"Olesen, Thorbjorn","Smalley, Alex",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+110,-145,null,null,null,null,null,null,null,null,null,null,+114,-114,null
"Fowler, Rickie","Clark, Wyndham",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-105,-115,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+108,+111,+2060
"Fowler, Rickie","Clark, Wyndham",void,72-hole match,null,null,null,-120,-103,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-125,null,null,null,null,null,null,null,-125,-106,null,-102,+102,null
"Bradley, Keegan","Griffin, Ben",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-115,-105,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+117,+103,+2041
"Bradley, Keegan","Griffin, Ben",void,72-hole match,-111,-119,null,-111,-111,null,null,null,null,null,null,null,null,null,null,-111,-111,null,null,null,null,-120,-110,null,-110,-110,null,null,null,null,null,null,null,+107,-107,null
"Cantlay, Patrick","Morikawa, Collin",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+100,-120,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+118,+102,+2031
"Cantlay, Patrick","Morikawa, Collin",void,72-hole match,+100,-130,null,-101,-122,null,+105,-130,null,null,null,null,+105,-140,null,-105,-118,null,null,null,null,-105,-125,null,+103,-123,null,-105,-125,null,+105,-137,null,+108,-108,null
"Fitzpatrick, Matt","Bhatia, Akshay",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+104,+117,+1980
"Fitzpatrick, Matt","Bhatia, Akshay",void,72-hole match,null,null,null,-114,-108,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,-110,null,null,null,null,null,null,null,null,null,null,-106,+106,null
"Jaeger, Stephan","Moore, Taylor",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-105,-115,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-107,+130,+1971
"Jaeger, Stephan","Moore, Taylor",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-130,+100,null,null,null,null,null,null,null,null,null,null,-119,+119,null
"Mitchell, Keith","Hojgaard, Rasmus",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-111,+133,+2130
"Mitchell, Keith","Hojgaard, Rasmus",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,-110,null,null,null,null,null,null,null,null,null,null,-123,+123,null
"Kim, Si Woo","Hall, Harry",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+100,+122,+1924
"Kim, Si Woo","Hall, Harry",void,72-hole match,-116,-114,null,-126,+102,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-120,null,-115,-105,null,-115,-115,null,null,null,null,-111,+111,null
"Greyserman, Max","Thompson, Davis",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+127,-104,+1992
"Greyserman, Max","Thompson, Davis",void,72-hole match,null,null,null,-103,-120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-120,null,null,null,null,null,null,null,null,null,null,+116,-116,null
"Matsuyama, Hideki","Young, Cameron",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-120,+100,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-109,+133,+1999
"Matsuyama, Hideki","Young, Cameron",void,72-hole match,-141,+111,null,-125,+101,null,null,null,null,null,null,null,null,null,null,-125,+100,null,null,null,null,-130,+100,null,-132,+110,null,-130,+100,null,null,null,null,-121,+121,null
"Gotterup, Chris","Clanton, Luke",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-105,-115,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-103,+124,+2083
"Gotterup, Chris","Clanton, Luke",void,72-hole match,null,null,null,-113,-109,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-120,null,null,null,null,null,null,null,null,null,null,-114,+114,null
"Greyserman, Max","Clanton, Luke",void,72-hole match,-135,+105,null,-138,+111,null,-120,-105,null,null,null,null,-120,-105,null,null,null,null,null,null,null,null,null,null,-132,+110,null,-145,+115,null,null,null,null,-118,+118,null
"Fowler, Rickie","Mitchell, Keith",void,72-hole match,-132,+102,null,-117,-106,null,null,null,null,null,null,null,null,null,null,-118,-105,null,null,null,null,null,null,null,-117,-103,null,-125,-105,null,null,null,null,+116,-116,null
"Lee, Min Woo","Fitzpatrick, Matt",void,72-hole match,+106,-136,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+112,-134,null,+110,-140,null,null,null,null,+127,-127,null
"Bhatia, Akshay","Thompson, Davis",void,72-hole match,-109,-121,null,+103,-127,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+100,-120,null,-105,-125,null,null,null,null,+124,-124,null
"Smalley, Alex","Gotterup, Chris",void,72-hole match,-104,-126,null,+102,-126,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+100,-120,null,+100,-130,null,null,null,null,+110,-110,null
"Olesen, Thorbjorn","Hojgaard, Rasmus",void,72-hole match,-102,-128,null,null,null,null,-110,-110,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,+106,-127,null,+100,-130,null,null,null,null,+104,-104,null
"Noren, Alex","Gerard, Ryan",void,72-hole match,-120,-110,null,-105,-117,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-112,-108,null,null,null,null,null,null,null,+117,-117,null
"Kim, Michael","Wallace, Matt",void,72-hole match,-120,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-107,-113,null,null,null,null,null,null,null,-100,+100,null
"Kitayama, Kurt","Moore, Taylor",void,72-hole match,-127,-103,null,-122,-101,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-117,-103,null,null,null,null,null,null,null,+102,-102,null
"Grillo, Emiliano","Jaeger, Stephan",void,72-hole match,-116,-114,null,-109,-113,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,+105,-105,null
"Homa, Max","Kim, Tom",void,72-hole match,+116,-146,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+122,-147,null,null,null,null,null,null,null,+130,-130,null
"Kirk, Chris","Bridgeman, Jacob",void,72-hole match,-129,-101,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-129,+108,null,null,null,null,null,null,null,-118,+118,null
"Perez, Victor","Hojgaard, Nicolai",void,72-hole match,-123,-107,null,-121,-102,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,-104,+104,null
"Hoey, Rico","Whaley, Vince",void,72-hole match,-111,-119,null,-115,-107,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-113,-107,null,null,null,null,null,null,null,+106,-106,null
"Riley, Davis","Svensson, Jesper",void,72-hole match,+115,-145,null,+105,-130,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+110,-132,null,null,null,null,null,null,null,+113,-113,null
"Woodland, Gary","Knapp, Jake",void,72-hole match,-126,-104,null,-118,-104,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,+100,null,null,null,null,null,null,null,-102,+102,null
"Rodgers, Patrick","Hisatsune, Ryo",void,72-hole match,+105,-135,null,+106,-131,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+108,-129,null,null,null,null,null,null,null,+120,-120,null
"Davis, Cam","Hodges, Lee",void,72-hole match,+110,-140,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+112,-134,null,null,null,null,null,null,null,+129,-129,null
"Van Rooyen, Erik","Echavarria, Nico",void,72-hole match,-132,+102,null,-123,+100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-122,+102,null,null,null,null,null,null,null,-111,+111,null
"Power, Seamus","Hubbard, Mark",void,72-hole match,+110,-140,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+115,-138,null,null,null,null,null,null,null,+129,-129,null
"Champ, Cameron","Potgieter, Aldrich",void,72-hole match,-115,-115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,+110,-110,null
"Putnam, Andrew","Ryder, Sam",void,72-hole match,-128,-102,null,-111,-111,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-117,-103,null,null,null,null,null,null,null,+104,-104,null
"Rozner, Antoine","Castillo, Ricky",void,72-hole match,-115,-115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,+109,-109,null
"Norlander, Henrik","Fishburn, Patrick",void,72-hole match,-108,-122,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-108,-112,null,null,null,null,null,null,null,-124,+124,null
"McGreevy, Max","Ghim, Doug",void,72-hole match,-103,-126,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-103,-117,null,null,null,null,null,null,null,-102,+102,null
"Roy, Kevin","Eckroat, Austin",void,72-hole match,+104,-134,null,+108,-134,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+102,-122,null,null,null,null,null,null,null,+103,-103,null
"Hossler, Beau","McCarty, Matt",void,72-hole match,-107,-123,null,+108,-133,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+102,-122,null,null,null,null,null,null,null,+128,-128,null
"Dahmen, Joel","Lawrence, Thriston",void,72-hole match,-116,-114,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,-118,+118,null
"Kuchar, Matt","Simpson, Webb",void,72-hole match,-112,-118,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-118,-102,null,null,null,null,null,null,null,-108,+108,null
"Norlander, Henrik","McGreevy, Max",void,72-hole match,null,null,null,+106,-131,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-102,+102,null
"Salinda, Isaiah","Castillo, Ricky",void,72-hole match,null,null,null,-104,-118,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+103,-103,null
