player_name,dg_id,proj,my_proj,import_advice
collin morikawa,22085,88.3,null,1) import file must include at least one of player_name or dg_id columns
keegan bradley,13872,83.4,null,2) import file must include my_proj column
patrick cantlay,15466,85.1,null,3) it is not required you import all players; we will set any missing or unmatched players to the current page values
ben griffin,24968,83.6,null,
hideki matsuyama,13562,76.9,null,
harry hall,27194,73.4,null,
cameron young,26651,71.7,null,
si woo kim,14609,76.1,null,
max greyserman,23465,72.2,null,
luke clanton,32330,68.2,null,
tony finau,11676,66.1,null,
keith mitchell,17365,70.4,null,
rickie fowler,12965,69.4,null,
wyndham clark,23604,69.4,null,
min woo lee,16841,66.4,null,
matt fitzpatrick,17646,73,null,
rasmus hojgaard,23838,67.6,null,
akshay bhatia,26096,70.8,null,
davis thompson,27364,74.3,null,
chris gotterup,27774,70.9,null,
alex smalley,18474,69.2,null,
ryan gerard,29767,72.1,null,
thorbjorn olesen,13412,65.9,null,
alex noren,10419,69,null,
stephan jaeger,16394,67.5,null,
michael kim,17543,67.4,null,
byeong hun an,14459,68.9,null,
taylor moore,21944,65.4,null,
nicolai hojgaard,23602,62.7,null,
matt wallace,20706,68.4,null,
chris kirk,12423,67.4,null,
tom kim,24766,65.3,null,
kurt kitayama,21891,64.5,null,
emiliano grillo,12808,66.6,null,
victor perez,20730,63.8,null,
jesper svensson,26850,61.6,null,
cam davis,17786,58,null,
rico hoey,23504,65,null,
jacob bridgeman,29433,63.7,null,
vince whaley,25908,63.5,null,
jake knapp,19396,61.6,null,
max homa,17538,59.3,null,
ryo hisatsune,22760,65,null,
lee hodges,25157,63.5,null,
michael thorbjornsen,26649,61.4,null,
patrick rodgers,16283,60.6,null,
nico echavarria,22833,59.1,null,
davis riley,19872,57.4,null,
mark hubbard,16333,63.3,null,
gary woodland,12577,61.3,null,
erik van rooyen,17550,61.3,null,
sam ryder,16715,60.3,null,
ricky castillo,27819,59.6,null,
andrew putnam,14704,59.4,null,
seamus power,10104,58.4,null,
max mcgreevy,23505,62.1,null,
matt mccarty,28635,62.1,null,
austin eckroat,26653,61.5,null,
kevin roy,18424,59.7,null,
antoine rozner,18770,58.6,null,
isaiah salinda,27183,58.1,null,
cameron champ,23542,52.6,null,
aldrich potgieter,27900,52.3,null,
henrik norlander,11657,60.5,null,
doug ghim,24550,60.4,null,
steven fisk,26657,59.4,null,
quade cummins,27996,59.1,null,
patrick fishburn,25094,57.8,null,
beau hossler,15470,57.3,null,
matt kuchar,6169,56.1,null,
thriston lawrence,18105,55.2,null,
joel dahmen,14509,58.2,null,
joe highsmith,28469,57.6,null,
adam hadwin,13965,56.8,null,
trey mullinax,18761,56.8,null,
alejandro tosti,17032,55,null,
webb simpson,11049,54,null,
karl vilips,24304,53.8,null,
garrick higgo,24342,53.8,null,
hayden springer,21995,52.4,null,
carson young,23656,56.2,null,
adam svensson,13997,55.4,null,
danny walker,25003,53.9,null,
sami valimaki,23816,53.4,null,
jeremy paul,22087,53.4,null,
brice garnett,11451,53.3,null,
chandler phillips,27164,52.9,null,
adam schenk,19477,52,null,
takumi kanaya,19729,57.2,null,
greyson sigg,23482,54,null,
chad ramey,19840,53.5,null,
chan kim,15004,53.2,null,
kris ventura,15651,53.2,null,
mac meissner,28159,52.6,null,
nick hardy,19865,50.9,null,
thomas rosenmueller,22736,55,null,
nate lashley,10943,52.8,null,
lanto griffin,15330,52.4,null,
ben kohles,16395,52.3,null,
luke list,7960,52.2,null,
ben silverman,17381,51.7,null,
zach johnson,6986,51.5,null,
rikuya hoshino,19190,50.7,null,
danny willett,12920,50.3,null,
noah goodwin,24837,53.2,null,
justin lower,17723,51.2,null,
david ford,31343,51.2,null,
william mouw,29770,50.2,null,
ben martin,14007,50,null,
david skinns,10873,50,null,
trevor cone,21880,49.9,null,
will gordon,26660,49.7,null,
jackson suber,29279,47.6,null,
harry higgs,14140,50.1,null,
john pak,27820,49.1,null,
brandt snedeker,8820,48.7,null,
francesco molinari,7655,48.2,null,
patton kizzire,13470,47.6,null,
kevin velo,27762,47.4,null,
norman xiong,24354,44,null,
nick dunlap,28270,41.5,null,
gordon sargent,30814,29,null,
hayden buckley,25363,50,null,
david lipsky,15980,45,null,
taylor dickson,27420,44.8,null,
paul waring,12426,43.8,null,
rafael campos,12909,42.7,null,
cristobal del solar,17422,41.3,null,
frankie capan iii,21412,40.4,null,
harrison endycott,19208,40.2,null,
brett white,22461,39.7,null,
aaron wise,22051,39.1,null,
michael la sasso,33755,53.1,null,
paul peterson,16341,43.4,null,
kaito onishi,25263,43.1,null,
peter malnati,14926,40.6,null,
braden thornberry,23502,40.5,null,
mason andersen,23540,40.4,null,
will chandler,31212,39.7,null,
camilo villegas,9171,39.5,null,
matthew riedel,30892,39,null,
aaron baddeley,6252,36.4,null,
james piot,29230,33,null,
andi xu,33176,32.6,null,
anders albertson,21235,42.4,null,
philip knowles,24562,41,null,
ashton mcculloch,32260,39.3,null,
kevin kisner,11328,39.1,null,
ryan brehm,10423,34.2,null,
ryan palmer,7820,32.9,null,
evan brown,30806,28.6,null,
dominic clemons,32594,28.4,null,
vince covello,11441,28,null,
ben cook,24486,24,null,
joe hooks,10059862,23.3,null,
otto black,22353,19.2,null,
