player_name,dg_id,my_pred,import_advice
collin morikawa,22085,null,1) import file must include at least one of player_name or dg_id columns
patrick cantlay,15466,null,2) import file must include my_pred column
ben griffin,24968,null,3) it is not required you import all players; we will set any missing or unmatched players to our default prediction
keegan bradley,13872,null,
si woo kim,14609,null,
hideki matsuyama,13562,null,
davis thompson,27364,null,
harry hall,27194,null,
matt fitzpatrick,17646,null,
ryan gerard,29767,null,
max greyserman,23465,null,
cameron young,26651,null,
akshay bhatia,26096,null,
chris gotterup,27774,null,
keith mitchell,17365,null,
alex noren,10419,null,
alex smalley,18474,null,
rickie fowler,12965,null,
matt wallace,20706,null,
wyndham clark,23604,null,
byeong hun an,14459,null,
michael kim,17543,null,
luke clanton,32330,null,
stephan jaeger,16394,null,
rasmus hojgaard,23838,null,
chris kirk,12423,null,
min woo lee,16841,null,
emiliano grillo,12808,null,
thorbjorn olesen,13412,null,
ryo hisatsune,22760,null,
taylor moore,21944,null,
tom kim,24766,null,
jacob bridgeman,29433,null,
rico hoey,23504,null,
victor perez,20730,null,
kurt kitayama,21891,null,
vince whaley,25908,null,
lee hodges,25157,null,
mark hubbard,16333,null,
max mcgreevy,23505,null,
nicolai hojgaard,23602,null,
matt mccarty,28635,null,
gary woodland,12577,null,
patrick rodgers,16283,null,
erik van rooyen,17550,null,
austin eckroat,26653,null,
jesper svensson,26850,null,
henrik norlander,11657,null,
michael thorbjornsen,26649,null,
doug ghim,24550,null,
jake knapp,19396,null,
kevin roy,18424,null,
andrew putnam,14704,null,
sam ryder,16715,null,
quade cummins,27996,null,
ricky castillo,27819,null,
steven fisk,26657,null,
nico echavarria,22833,null,
max homa,17538,null,
antoine rozner,18770,null,
seamus power,10104,null,
patrick fishburn,25094,null,
isaiah salinda,27183,null,
joel dahmen,14509,null,
joe highsmith,28469,null,
takumi kanaya,19729,null,
cam davis,17786,null,
beau hossler,15470,null,
davis riley,19872,null,
adam hadwin,13965,null,
carson young,23656,null,
trey mullinax,18761,null,
matt kuchar,6169,null,
joseph bramlett,14698,null,
adam svensson,13997,null,
thriston lawrence,18105,null,
alejandro tosti,17032,null,
thomas rosenmueller,22736,null,
greyson sigg,23482,null,
jeremy paul,22087,null,
webb simpson,11049,null,
karl vilips,24304,null,
chad ramey,19840,null,
danny walker,25003,null,
chan kim,15004,null,
garrick higgo,24342,null,
brice garnett,11451,null,
nate lashley,10943,null,
kris ventura,15651,null,
noah goodwin,24837,null,
mac meissner,28159,null,
chandler phillips,27164,null,
sami valimaki,23816,null,
lanto griffin,15330,null,
michael la sasso,33755,null,
aldrich potgieter,27900,null,
ben kohles,16395,null,
adam schenk,19477,null,
cameron champ,23542,null,
luke list,7960,null,
hayden springer,21995,null,
zach johnson,6986,null,
ben silverman,17381,null,
nick hardy,19865,null,
rikuya hoshino,19190,null,
justin lower,17723,null,
david ford,31343,null,
danny willett,12920,null,
ben martin,14007,null,
hayden buckley,25363,null,
william mouw,29770,null,
trevor cone,21880,null,
harry higgs,14140,null,
david skinns,10873,null,
will gordon,26660,null,
john pak,27820,null,
brandt snedeker,8820,null,
patton kizzire,13470,null,
francesco molinari,7655,null,
kevin velo,27762,null,
jackson suber,29279,null,
david lipsky,15980,null,
taylor dickson,27420,null,
norman xiong,24354,null,
paul peterson,16341,null,
paul waring,12426,null,
anders albertson,21235,null,
rafael campos,12909,null,
kaito onishi,25263,null,
nick dunlap,28270,null,
cristobal del solar,17422,null,
braden thornberry,23502,null,
philip knowles,24562,null,
peter malnati,14926,null,
frankie capan iii,21412,null,
mason andersen,23540,null,
camilo villegas,9171,null,
harrison endycott,19208,null,
will chandler,31212,null,
aaron wise,22051,null,
ashton mcculloch,32260,null,
brett white,22461,null,
matthew riedel,30892,null,
kevin kisner,11328,null,
aaron baddeley,6252,null,
ryan brehm,10423,null,
ryan palmer,7820,null,
james piot,29230,null,
andi xu,33176,null,
gordon sargent,30814,null,
evan brown,30806,null,
dominic clemons,32594,null,
vince covello,11441,null,
ben cook,24486,null,
joe hooks,10059862,null,
otto black,22353,null,
