name_p1,name_p2,ties,market,betcris_p1,betcris_p2,betcris_tie,pinnacle_p1,pinnacle_p2,pinnacle_tie,draftkings_p1,draftkings_p2,draftkings_tie,bet365_p1,bet365_p2,bet365_tie,fanduel_p1,fanduel_p2,fanduel_tie,betmgm_p1,betmgm_p2,betmgm_tie,pointsbet_p1,pointsbet_p2,pointsbet_tie,bovada_p1,bovada_p2,bovada_tie,betonline_p1,betonline_p2,betonline_tie,caesars_p1,caesars_p2,caesars_tie,unibet_p1,unibet_p2,unibet_tie,datagolf_p1,datagolf_p2,datagolf_tie
"Noren, Alex","Lee, Min Woo",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,+110,null
"Perez, Victor","Moore, Taylor",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-101,+101,null
"Hoey, Rico","Fishburn, Patrick",void,r1 match-up,null,null,null,null,null,null,null,null,null,-125,+105,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-118,+118,null
"Olesen, Thorbjorn","Wallace, Matt",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+105,-105,null
"Cantlay, Patrick","Clark, Wyndham",void,r1 match-up,null,null,null,null,null,null,null,null,null,-160,+135,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-153,+153,null
"Bradley, Keegan","Bhatia, Akshay",void,r1 match-up,null,null,null,null,null,null,null,null,null,-140,+120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-139,+139,null
"Fitzpatrick, Matt","Morikawa, Collin",void,r1 match-up,null,null,null,null,null,null,null,null,null,+130,-155,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+144,-144,null
"Fowler, Rickie","An, Byeong Hun",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-102,+102,null
"Kim, Michael","Kitayama, Kurt",void,r1 match-up,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,+110,null
"Mitchell, Keith","Gotterup, Chris",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+102,-102,null
"Grillo, Emiliano","Gerard, Ryan",void,r1 match-up,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+114,-114,null
