,,,,,,
TEAM,SP+ (RK),OFF.,DEF.,ST,AVG. W,SOS RK
1. Ohio St.,29.5,39.6 (7),10.1 (2),0.3 (11),10.3,21
2. Alabama,27.9,40.4 (5),12.6 (5),0.2 (20),9.8,11
3. Penn St.,27.7,40.6 (3),12.9 (6),0.1 (58),10.4,29
4. Georgia,26.9,39.0 (8),12.1 (4),0.6 (1),9.8,13
5. Texas,26.4,35.4 (17),9.0 (1),-0.5 (135),9.6,12
6. Notre Dame,24.9,38.3 (10),13.4 (8),-0.2 (106),10.5,44
7. Oregon,24.7,40.5 (4),15.8 (11),0.5 (3),10.1,32
8. Clemson,23.3,39.9 (6),16.7 (12),-0.3 (133),10,34
9. LSU,22.1,40.7 (2),18.6 (23),0.1 (48),8.5,9
10. Michigan,21.5,31.8 (32),10.3 (3),0.2 (22),9.8,38
11. Ole Miss,19.8,34.6 (20),14.8 (9),0.3 (7),8.9,23
12. Miami,18.8,43.2 (1),24.4 (44),0.2 (19),9.2,36
13. Tennessee,18.4,31.4 (34),13.0 (7),0.2 (21),8.8,24
14. Florida,17.3,35.4 (16),18.2 (21),0.3 (8),7,2
15. Texas A&M,17.2,34.9 (18),17.7 (18),0.2 (24),7.7,10
16. Oklahoma,16.5,33.3 (25),16.7 (13),0.2 (31),6.9,1
17. S. Carolina,16.1,33.3 (24),17.2 (15),0.1 (50),7.2,7
18. Kansas St.,15.6,35.7 (14),20.0 (26),0.2 (26),9,57
19. Illinois,14.3,32.3 (28),18.0 (20),0.2 (30),8.7,40
20. SMU,13.1,37.2 (11),24.2 (42),0.1 (40),8.4,45
21. Missouri,12.5,30.7 (41),18.3 (22),-0.1 (96),7.7,25
22. Arizona St.,12.2,32.6 (26),20.4 (27),-0.6 (136),8.4,61
23. Indiana,12.2,32.1 (30),19.9 (25),0.2 (29),8.1,31
24. Louisville,12.1,36.7 (12),24.5 (45),-0.1 (97),8.3,43
25. Auburn,11.8,29.4 (48),17.7 (19),-0.1 (83),6.9,15
26. Texas Tech,11.8,38.3 (9),26.5 (55),0.2 (23),8.4,62
27. BYU,11.5,32.2 (29),20.6 (30),0.3 (10),8.4,64
28. Iowa,11.4,26.9 (68),15.5 (10),0.3 (12),7,22
29. TCU,11.1,34.8 (19),23.7 (38),-0.1 (92),7.5,41
30. USC,11,36.2 (13),25.2 (47),0.1 (63),7.2,20
31. Utah,11,28.3 (54),17.3 (16),0.2 (36),7.9,55
32. Iowa St.,11,31.5 (33),20.6 (29),-0.1 (87),7.8,51
33. Boise St.,9.2,35.5 (15),26.3 (53),-0.3 (132),9.8,84
34. Nebraska,8.9,26.3 (75),17.4 (17),-0.2 (119),7.5,35
35. Baylor,7.5,34.6 (21),27.1 (58),0.2 (38),6.7,46
36. Florida St.,7.2,27.7 (58),20.6 (28),0.3 (13),6.8,30
37. Wisconsin,7.2,26.5 (73),19.3 (24),0.0 (70),5.2,4
38. Arkansas,7,31.0 (38),24.0 (40),0.2 (35),5.1,3
39. Washington,6.4,28.8 (52),22.4 (34),-0.2 (121),6.3,28
40. Minnesota,6,22.8 (100),16.8 (14),0.0 (64),6.8,27
41. Duke,4.9,27.0 (67),22.0 (33),0.0 (66),6.8,60
42. NC St.,4.8,31.2 (36),26.4 (54),0.1 (55),6.6,39
43. Kentucky,4.7,25.8 (79),21.0 (31),0.3 (14),4.7,8
44. Ga. Tech,4.7,32.4 (27),27.7 (64),-0.1 (100),6.6,47
45. Rutgers,4.7,28.9 (50),24.2 (43),0.1 (52),5.8,16
46. Va. Tech,4.3,28.3 (53),24.0 (41),0.2 (37),6.6,54
47. Pittsburgh,3.4,29.9 (45),26.5 (56),0.2 (17),6.1,48
48. Tulane,3.3,31.4 (35),28.1 (66),0.0 (77),8,73
49. JMU,3,29.2 (49),26.2 (52),0.1 (53),8.5,104
50. Kansas,3,32.0 (31),29.0 (75),-0.1 (94),6,50
51. UCLA,2.9,26.5 (72),23.7 (37),0.1 (54),5.2,19
52. Colorado,2.6,29.9 (46),27.2 (60),-0.2 (114),5.5,49
53. Memphis,2.1,33.4 (23),31.2 (94),0.1 (42),8.7,121
54. N. Carolina,2,30.9 (39),29.0 (74),0.0 (72),6.6,68
55. Vanderbilt,1.7,27.3 (63),25.7 (50),0.3 (9),4.7,5
56. Syracuse,1.6,30.7 (42),29.1 (76),-0.2 (101),4.8,14
57. W. Virginia,1,29.9 (47),28.9 (73),0.2 (18),5.2,53
58. Oklahoma St.,0.9,30.9 (40),30.0 (84),0.0 (78),5.4,42
59. Houston,0.9,24.3 (91),23.4 (36),-0.2 (120),5.8,67
60. Arizona,0.7,28.8 (51),28.1 (67),0.2 (16),5.4,56
61. UCF,0.4,27.8 (57),27.3 (62),0.0 (81),5.7,58
62. Boston Coll.,0.3,26.9 (70),26.5 (57),-0.2 (127),5.2,37
63. UTSA,0,33.9 (22),33.9 (108),0.2 (33),7.8,90
64. Michigan St.,-0.2,21.6 (107),21.9 (32),0.2 (32),4.7,26
65. California,-0.3,25.8 (80),26.0 (51),0.0 (82),5.9,65
66. Cincinnati,-0.3,25.1 (86),25.4 (49),-0.1 (88),5.3,59
67. Army,-0.6,24.5 (89),25.1 (46),0.0 (75),7.6,94
68. Navy,-1,27.7 (59),28.7 (71),-0.2 (113),7.9,81
69. Liberty,-1.1,27.4 (62),28.5 (69),-0.2 (105),9.2,136
70. Maryland,-1.1,24.2 (93),25.3 (48),0.0 (68),5.1,52
71. Miss. St.,-1.4,27.5 (60),28.9 (72),0.2 (27),3.8,6
72. Toledo,-1.4,26.2 (77),27.6 (63),-0.1 (86),8.8,133
73. Oregon St.,-2.4,27.9 (56),30.3 (85),0.0 (67),6.6,71
74. Louisiana,-3.1,26.8 (71),29.9 (83),0.4 (6),7.5,91
75. UNLV,-3.3,27.4 (61),30.7 (89),0.4 (5),7.7,122
76. S. Alabama,-3.4,26.4 (74),29.8 (82),0.0 (69),7.3,108
77. USF,-3.5,30.4 (44),33.9 (107),0.2 (25),6.2,63
78. Ga. Southern,-4,27.3 (64),31.3 (95),0.2 (15),7.3,110
79. Virginia,-4.3,24.4 (90),28.6 (70),0.1 (56),5.1,69
80. Ohio,-4.4,25.2 (83),29.6 (79),-0.3 (131),7.4,70
81. Wake Forest,-4.6,26.0 (78),30.6 (88),0.1 (60),5.2,72
82. Wash. St.,-4.8,30.6 (43),35.5 (116),-0.2 (110),5.6,74
83. SJSU,-5.2,25.7 (81),30.9 (92),-0.2 (108),7.3,96
84. UConn,-5.4,25.1 (84),30.5 (86),0.1 (61),7.4,124
85. WKU,-5.8,22.4 (102),28.2 (68),0.6 (2),7.7,101
86. Troy,-6,23.8 (96),29.8 (81),-0.1 (84),6.6,89
87. Northwestern,-6.1,17.7 (129),23.8 (39),-0.2 (103),3.7,18
88. Stanford,-6.2,25.5 (82),31.7 (96),0.2 (28),3.4,33
89. Fresno St.,-6.2,23.0 (99),29.2 (77),-0.2 (102),6.5,109
90. ECU,-6.6,27.0 (66),33.6 (106),0.0 (65),6,98
91. Buffalo,-7.1,22.2 (104),29.3 (78),0.1 (49),7.7,130
92. N. Texas,-7.2,31.0 (37),38.2 (127),-0.1 (91),6.8,131
93. Texas St.,-7.2,27.0 (65),34.2 (112),0.0 (79),6.1,105
94. Air Force,-7.3,20.0 (117),27.2 (59),-0.2 (125),6.2,116
95. Coastal Caro.,-7.3,28.0 (55),35.4 (114),0.1 (43),6,92
96. Miami-OH,-7.6,14.9 (135),22.5 (35),0.4 (4),6.5,112
97. Colorado St.,-8.3,24.0 (95),32.3 (98),-0.1 (89),5.9,106
98. App. St.,-8.8,24.1 (94),32.9 (103),-0.2 (112),6.2,111
99. Marshall,-9.4,24.6 (87),34.0 (110),0.1 (59),5.7,78
100. Arkansas St.,-9.9,26.9 (69),36.8 (122),0.1 (51),5.3,103
101. Purdue,-10,20.8 (111),30.8 (90),-0.2 (117),2.9,17
102. SDSU,-10.1,17.9 (125),28.0 (65),-0.1 (93),5.7,128
103. ODU,-10.2,22.8 (101),33.0 (104),0.0 (80),4.8,87
104. J'ville St.,-10.4,22.0 (105),32.4 (99),-0.4 (134),6.5,135
105. Wyoming,-10.8,21.4 (108),32.2 (97),0.1 (46),5.4,119
106. NIU,-11,16.3 (133),27.3 (61),-0.2 (124),6.3,129
107. Sam Houston,-11.1,19.7 (118),30.8 (91),-0.2 (129),5.2,86
108. Hawaii,-11.5,19.1 (121),30.6 (87),-0.2 (118),5.5,132
109. La. Tech,-11.9,17.8 (126),29.7 (80),-0.1 (98),5.8,100
110. Delaware,-13,20.4 (113),33.5 (105),-0.2 (115),5.4,127
111. Bowling Green,-13.7,23.0 (98),36.7 (121),0.0 (71),5.3,107
112. UAB,-13.8,25.1 (85),38.9 (130),0.1 (47),4.6,83
113. EMU,-14.2,20.0 (116),34.2 (111),0.1 (57),5.1,123
114. Georgia St.,-14.3,24.3 (92),38.6 (129),-0.2 (109),3.7,76
115. FAU,-14.4,21.0 (109),35.4 (115),-0.2 (107),4.6,118
116. UL-Monroe,-14.6,17.8 (128),32.4 (100),-0.1 (95),4.4,75
117. CMU,-14.8,17.8 (127),32.5 (102),0.1 (44),5.3,97
118. WMU,-14.8,20.7 (112),35.5 (117),0.1 (39),4.8,117
119. Utah St.,-14.8,24.5 (88),39.4 (132),0.0 (76),4.3,82
120. Tulsa,-15.6,22.3 (103),37.8 (125),-0.2 (111),3.9,113
121. Rice,-15.8,16.7 (132),32.4 (101),-0.2 (104),4.1,120
122. New Mexico St.,-16,21.8 (106),37.8 (124),0.2 (34),5.4,93
123. UTEP,-16.1,19.0 (122),35.1 (113),-0.2 (130),4.8,95
124. Nevada,-16.3,20.3 (115),36.6 (119),-0.2 (126),4.1,77
125. Middle Tenn.,-16.4,17.5 (130),33.9 (109),-0.1 (90),5.3,134
126. Temple,-16.4,20.8 (110),37.2 (123),0.1 (62),3.8,99
127. Missouri St.,-17.6,26.3 (76),43.8 (136),-0.2 (115),4,102
128. So. Miss,-17.7,20.3 (114),38.1 (126),-0.1 (85),3.4,125
129. FIU,-18,18.0 (124),36.0 (118),-0.1 (99),4.7,79
130. New Mexico,-18.4,23.6 (97),42.1 (134),-0.2 (123),3.6,80
131. Kennesaw St.,-18.9,12.3 (136),31.1 (93),0.0 (73),4.2,114
132. Akron,-19.3,17.3 (131),36.6 (120),0.1 (41),4.5,126
133. Charlotte,-19.4,19.1 (120),38.5 (128),0.1 (45),2.9,66
134. Ball St.,-21.2,18.1 (123),39.3 (131),0.0 (74),3.4,115
135. UMass,-23.9,19.3 (119),43.2 (135),-0.2 (128),3.5,85
