name_p1,name_p2,ties,market,betcris_p1,betcris_p2,betcris_tie,pinnacle_p1,pinnacle_p2,pinnacle_tie,draftkings_p1,draftkings_p2,draftkings_tie,bet365_p1,bet365_p2,bet365_tie,fanduel_p1,fanduel_p2,fanduel_tie,betmgm_p1,betmgm_p2,betmgm_tie,pointsbet_p1,pointsbet_p2,pointsbet_tie,bovada_p1,bovada_p2,bovada_tie,betonline_p1,betonline_p2,betonline_tie,caesars_p1,caesars_p2,caesars_tie,unibet_p1,unibet_p2,unibet_tie,datagolf_p1,datagolf_p2,datagolf_tie
"Straka, Sepp","Conners, Corey",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+123,-102,+2118
"Straka, Sepp","Conners, Corey",void,72-hole match,null,null,null,-103,-120,null,null,null,null,null,null,null,null,null,null,-111,-111,null,null,null,null,-115,-115,null,null,null,null,null,null,null,null,null,null,+113,-113,null
"Fox, Ryan","Fitzpatrick, Matt",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+110,-134,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+120,-100,+2167
"Fox, Ryan","Fitzpatrick, Matt",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-125,null,null,null,null,null,null,null,null,null,null,+110,-110,null
"Fleetwood, Tommy","Morikawa, Collin",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-120,+100,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-116,+137,+2251
"Fleetwood, Tommy","Morikawa, Collin",void,72-hole match,null,null,null,-133,+108,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-125,-105,null,null,null,null,null,null,null,null,null,null,-127,+127,null
"English, Harris","Greyserman, Max",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-105,-115,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+114,+105,+2108
"English, Harris","Greyserman, Max",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-120,null,null,null,null,null,null,null,null,null,null,+105,-105,null
"Pendrith, Taylor","Hall, Harry",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+120,-143,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+127,-106,+2145
"Pendrith, Taylor","Hall, Harry",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+110,-145,null,null,null,null,null,null,null,null,null,null,+117,-117,null
"Hovland, Viktor","MacIntyre, Robert",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+100,-120,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+120,-100,+2174
"Hovland, Viktor","MacIntyre, Robert",void,72-hole match,-102,-128,null,+110,-136,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+100,-130,null,+110,-132,null,null,null,null,null,null,null,+110,-110,null
"Rai, Aaron","McNealy, Maverick",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+118,+101,+2144
"Rai, Aaron","McNealy, Maverick",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-120,null,null,null,null,null,null,null,null,null,null,+109,-109,null
"Schauffele, Xander","Aberg, Ludvig",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-104,+124,+2205
"Schauffele, Xander","Aberg, Ludvig",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-125,+100,null,null,null,null,-120,-110,null,null,null,null,null,null,null,null,null,null,-114,+114,null
"McIlroy, Rory","Scheffler, Scottie",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+180,-210,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+166,-139,+2206
"McIlroy, Rory","Scheffler, Scottie",void,72-hole match,+117,-147,null,+137,-172,null,null,null,null,null,null,null,null,null,null,+150,-192,null,null,null,null,+150,-200,null,+137,-165,null,+130,-160,null,null,null,null,+155,-155,null
"Scott, Adam","Clark, Wyndham",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-125,+105,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-133,+162,+2072
"Scott, Adam","Clark, Wyndham",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-150,+115,null,null,null,null,null,null,null,null,null,null,-150,+150,null
"Spaun, J.J.","Hojgaard, Rasmus",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-143,+120,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+105,+115,+2108
"Spaun, J.J.","Hojgaard, Rasmus",void,72-hole match,null,null,null,-110,-112,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-115,null,null,null,null,null,null,null,null,null,null,-105,+105,null
"Thomas, Justin","Burns, Sam",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-115,-105,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-104,+124,+2137
"Thomas, Justin","Burns, Sam",void,72-hole match,-124,-106,null,-122,-101,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,-110,null,-120,+100,null,-120,-110,null,null,null,null,-114,+114,null
"Hoge, Tom","Gerard, Ryan",void,72-hole match,-111,-119,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,+133,-133,null
"McCarthy, Denny","Clanton, Luke",void,72-hole match,-115,-115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,-115,+115,null
"Kim, Si Woo","McNealy, Maverick",void,72-hole match,-130,+100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-118,-102,null,null,null,null,null,null,null,+111,-111,null
"Detry, Thomas","Hojgaard, Nicolai",void,72-hole match,-118,-112,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,+106,-106,null
"Woodland, Gary","Novak, Andrew",void,72-hole match,+112,-142,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+110,-132,null,null,null,null,null,null,null,+131,-131,null
"Manassero, Matteo","Chacarra, Eugenio",void,72-hole match,-129,-101,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,+116,-116,null
"Hughes, Mackenzie","Bezuidenhout, Christiaan",void,72-hole match,+114,-144,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+115,-138,null,null,null,null,null,null,null,+112,-112,null
"Rai, Aaron","Hall, Harry",void,72-hole match,-119,-111,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,+112,-112,null
"Harman, Brian","Taylor, Nick",void,72-hole match,+106,-136,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+102,-122,null,-115,-115,null,null,null,null,+124,-124,null
"Berger, Daniel","Smith, Jordan",void,72-hole match,-110,-120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,-107,+107,null
