player_name,sample_size,baseline,country_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Scheffler, Scottie",150,3.011,-0.129,29,0.016,-0.035,-0.100,-0.022,0.001,0.013,-0.109,-0.202,-0.298,2.444,2.760,"Genesis Scottish Open","The Renaissance Club"
"McIlroy, Rory",150,1.871,0.020,36,-0.016,-0.032,-0.052,-0.005,0.022,0.047,0.076,-0.107,0.016,1.825,2.808,"Genesis Scottish Open","The Renaissance Club"
"Fleetwood, Tommy",150,1.724,0.122,34,-0.008,-0.025,-0.089,-0.057,0.125,-0.004,-0.112,-0.120,-0.235,1.556,2.733,"Genesis Scottish Open","The Renaissance Club"
"Schauffele, Xander",150,1.398,-0.041,31,0.004,0.016,-0.145,0.045,0.058,0.026,0.065,-0.096,-0.006,1.328,2.785,"Genesis Scottish Open","The Renaissance Club"
"MacIntyre, Robert",150,1.256,0.068,28,0.016,0.063,-0.133,0.001,0.166,0.003,-0.047,-0.086,-0.130,1.306,2.745,"Genesis Scottish Open","The Renaissance Club"
"Morikawa, Collin",150,1.550,-0.107,28,0.018,-0.021,-0.074,0.214,-0.020,-0.004,-0.196,-0.096,-0.296,1.265,2.784,"Genesis Scottish Open","The Renaissance Club"
"Aberg, Ludvig",150,1.026,0.005,25,0.030,0.098,-0.113,0.163,0.002,0.029,0.001,-0.048,-0.019,1.191,2.803,"Genesis Scottish Open","The Renaissance Club"
"Thomas, Justin",150,1.572,-0.197,32,0.002,-0.010,-0.105,-0.039,0.005,0.017,0.070,-0.127,-0.040,1.187,2.860,"Genesis Scottish Open","The Renaissance Club"
"Hovland, Viktor",150,1.309,0.018,27,0.021,-0.019,0.005,-0.109,-0.014,0.013,-0.021,-0.084,-0.092,1.118,2.798,"Genesis Scottish Open","The Renaissance Club"
"Fitzpatrick, Matt",150,0.942,-0.043,30,0.008,0.043,0.041,0.053,0.087,0.005,-0.046,-0.078,-0.118,1.013,2.801,"Genesis Scottish Open","The Renaissance Club"
"Burns, Sam",150,1.436,-0.168,28,0.016,-0.034,-0.085,-0.080,0.015,0.015,-0.000,-0.114,-0.099,1.002,2.807,"Genesis Scottish Open","The Renaissance Club"
"Scott, Adam",150,0.905,0.099,44,-0.054,-0.048,-0.066,0.144,0.026,0.015,-0.003,-0.040,-0.027,0.978,2.755,"Genesis Scottish Open","The Renaissance Club"
"Hall, Harry",150,1.096,0.051,27,0.020,-0.003,-0.061,-0.079,-0.012,-0.000,0.019,-0.111,-0.092,0.921,2.719,"Genesis Scottish Open","The Renaissance Club"
"Conners, Corey",150,1.355,-0.115,33,-0.004,-0.048,-0.142,0.056,0.031,-0.001,-0.151,-0.062,-0.214,0.919,2.766,"Genesis Scottish Open","The Renaissance Club"
"McNealy, Maverick",150,1.077,-0.171,29,0.013,0.082,-0.101,0.093,0.002,0.010,-0.021,-0.074,-0.084,0.910,2.794,"Genesis Scottish Open","The Renaissance Club"
"Spaun, J.J.",150,1.338,-0.169,34,-0.010,0.013,-0.097,-0.022,-0.013,0.006,-0.067,-0.076,-0.136,0.904,2.767,"Genesis Scottish Open","The Renaissance Club"
"Fox, Ryan",150,0.917,0.062,38,-0.026,0.017,-0.071,-0.137,0.067,0.014,0.081,-0.058,0.036,0.866,2.766,"Genesis Scottish Open","The Renaissance Club"
"Gotterup, Chris",150,0.612,-0.169,25,0.029,0.005,0.071,0.223,-0.046,0.040,0.111,-0.028,0.122,0.848,2.795,"Genesis Scottish Open","The Renaissance Club"
"Hojgaard, Rasmus",150,0.385,0.047,24,0.036,-0.016,-0.084,0.272,0.052,0.036,0.104,-0.017,0.123,0.815,2.824,"Genesis Scottish Open","The Renaissance Club"
