player_name,dg_id,proj,my_proj,import_advice
scottie scheffler,18417,93.7,null,1) import file must include at least one of player_name or dg_id columns
rory mcilroy,10091,82.3,null,2) import file must include my_proj column
robert macintyre,23323,72,null,3) it is not required you import all players; we will set any missing or unmatched players to the current page values
ludvig aberg,23950,70.6,null,
matt fitzpatrick,17646,66.5,null,
tommy fleetwood,12294,75.9,null,
viktor hovland,18841,68.8,null,
adam scott,6430,65.6,null,
xander schauffele,19895,73.2,null,
ryan fox,11889,64.1,null,
sam burns,19483,66.4,null,
rasmus neergaard-petersen,23841,63.6,null,
collin morikawa,22085,70.5,null,
maverick mcnealy,18634,65.3,null,
harry hall,27194,64.3,null,
rasmus hojgaard,23838,64,null,
max greyserman,23465,62.7,null,
marco penge,22465,60.5,null,
justin thomas,14139,70.5,null,
thomas detry,14181,59.5,null,
nicolai hojgaard,23602,61,null,
aaron rai,18554,62.1,null,
niklas norgaard,15676,57.5,null,
harris english,14577,61.6,null,
chris gotterup,27774,64.1,null,
kristoffer reitan,21407,54.2,null,
jordan smith,18586,58.7,null,
brian harman,8825,53.7,null,
sepp straka,17511,62.5,null,
corey conners,17576,65.2,null,
j.j. spaun,17536,64.5,null,
wyndham clark,23604,56.8,null,
brian campbell,18628,42.9,null,
tom kim,24766,54.9,null,
haotong li,15310,57.9,null,
aldrich potgieter,27900,54.7,null,
jake knapp,19396,60.7,null,
victor perez,20730,57.6,null,
nick taylor,13126,58.3,null,
byeong hun an,14459,59.7,null,
denny mccarthy,19870,57.7,null,
martin couvra,27811,50.3,null,
taylor pendrith,17780,61.4,null,
alex noren,10419,59.7,null,
romain langasque,16652,45.3,null,
thriston lawrence,18105,53.4,null,
kevin yu,17881,61.3,null,
matteo manassero,11460,46.8,null,
justin rose,6093,47.6,null,
daniel brown,20766,53.4,null,
daniel berger,17606,59.2,null,
laurie canter,14795,55.6,null,
bud cauley,14502,58.1,null,
si woo kim,14609,60.7,null,
jesper svensson,26850,59.3,null,
ryan gerard,29767,58.8,null,
matti schmid,20722,54.8,null,
lee hodges,25157,55.4,null,
thorbjorn olesen,13412,59,null,
matthew jordan,25601,54.8,null,
sam stevens,25569,60.1,null,
ewen ferguson,21646,54,null,
andrew novak,23475,58.2,null,
sungjae im,17488,56.1,null,
matt wallace,20706,60.7,null,
jacob bridgeman,29433,56.7,null,
francesco laporta,14987,52.9,null,
antoine rozner,18770,51.5,null,
grant forrest,16475,49.5,null,
luke clanton,32330,55.6,null,
connor syme,22089,46.9,null,
alejandro del rey,22259,45.5,null,
eugenio chacarra,26745,50.6,null,
sami valimaki,23816,53.6,null,
gary woodland,12577,52.4,null,
keith mitchell,17365,56.5,null,
richard mansell,24185,51.2,null,
alex smalley,18474,56.4,null,
tom hoge,15575,51.9,null,
erik van rooyen,17550,53.5,null,
mackenzie hughes,15556,53.6,null,
jhonattan vegas,13508,53.2,null,
michael kim,17543,57.3,null,
taylor moore,21944,55.4,null,
alejandro tosti,17032,49.4,null,
nico echavarria,22833,49.9,null,
christiaan bezuidenhout,18103,54.7,null,
yannik paul,19898,41.9,null,
matthieu pavon,19960,44.7,null,
daniel hillier,21362,49,null,
ryo hisatsune,22760,54.2,null,
sebastian soderberg,18517,45.9,null,
nicolai von dellingshausen,22231,45.7,null,
alex fitzpatrick,25362,50.3,null,
karl vilips,24304,45.3,null,
marcel schneider,12522,48.5,null,
adrien saddier,14792,49.3,null,
padraig harrington,5716,42.6,null,
calum hill,25131,49.5,null,
shaun norris,7677,45.4,null,
andrew putnam,14704,48.9,null,
davis riley,19872,47.6,null,
richie ramsay,11396,45,null,
joel dahmen,14509,44.4,null,
john parry,13764,48.9,null,
bernd wiesberger,9531,38.3,null,
marcel siem,6950,41,null,
johannes veerman,20522,47.1,null,
matt mccarty,28635,51.5,null,
henrik norlander,11657,46.3,null,
jorge campillo,14016,45.8,null,
guido migliozzi,17357,40.3,null,
joe highsmith,28469,48,null,
ashun wu,11763,41.8,null,
brandon stone,15229,50.5,null,
elvis smylie,24200,40.9,null,
patrick rodgers,16283,50.8,null,
danny walker,25003,45.3,null,
sam bairstow,28615,49.2,null,
isaiah salinda,27183,48.5,null,
keita nakajima,21074,47.7,null,
andy sullivan,15326,47.5,null,
max mcgreevy,23505,48.9,null,
jacques kruyswijk,16896,48.6,null,
frederic lacroix,23733,47.4,null,
rikuya hoshino,19190,47,null,
julien guerrier,10201,46.3,null,
dan bradbury,29971,44.5,null,
ugo coussaud,20727,44.1,null,
joe dean,16497,41.9,null,
francesco molinari,7655,41,null,
todd clements,22608,46.8,null,
sean crocker,23610,45,null,
yuto katsuragawa,20448,44.5,null,
danny willett,12920,43.6,null,
ignacio elvira mijares,12988,43.2,null,
brandt snedeker,8820,41.1,null,
david ford,31343,40.6,null,
paul waring,12426,40.4,null,
david ravetto,23416,44.2,null,
aaron cockerill,15596,42.5,null,
dylan frittelli,11955,40.9,null,
darius van driel,13374,40.1,null,
adrian otaegui,14975,39.3,null,
angel hidalgo,24127,38.7,null,
pablo larrazabal,9133,36.4,null,
simon forsstrom,19806,38.5,null,
dylan naidoo,19429,37.5,null,
ryggs johnston,32449,36.6,null,
junghwan lee,13498,35.7,null,
dale whitnell,13821,35.5,null,
jordan gumberg,23892,34.7,null,
wooyoung cho,25806,34.7,null,
luke donald,4163,33.7,null,
hongtaek kim,17973,32.9,null,
ockie strydom,13731,29.5,null,
