player_name,dg_id,my_pred,import_advice
scottie scheffler,18417,null,1) import file must include at least one of player_name or dg_id columns
rory mcilroy,10091,null,2) import file must include my_pred column
tommy fleetwood,12294,null,3) it is not required you import all players; we will set any missing or unmatched players to our default prediction
xander schauffele,19895,null,
robert macintyre,23323,null,
collin morikawa,22085,null,
ludvig aberg,23950,null,
justin thomas,14139,null,
viktor hovland,18841,null,
matt fitzpatrick,17646,null,
sam burns,19483,null,
adam scott,6430,null,
harry hall,27194,null,
corey conners,17576,null,
maverick mcnealy,18634,null,
j.j. spaun,17536,null,
ryan fox,11889,null,
chris gotterup,27774,null,
rasmus hojgaard,23838,null,
rasmus neergaard-petersen,23841,null,
aaron rai,18554,null,
max greyserman,23465,null,
sepp straka,17511,null,
harris english,14577,null,
taylor pendrith,17780,null,
si woo kim,14609,null,
kevin yu,17881,null,
sam stevens,25569,null,
matt wallace,20706,null,
marco penge,22465,null,
jake knapp,19396,null,
nicolai hojgaard,23602,null,
alex noren,10419,null,
byeong hun an,14459,null,
daniel berger,17606,null,
thorbjorn olesen,13412,null,
thomas detry,14181,null,
jesper svensson,26850,null,
ryan gerard,29767,null,
nick taylor,13126,null,
jordan smith,18586,null,
bud cauley,14502,null,
denny mccarthy,19870,null,
andrew novak,23475,null,
victor perez,20730,null,
niklas norgaard,15676,null,
michael kim,17543,null,
haotong li,15310,null,
jacob bridgeman,29433,null,
keith mitchell,17365,null,
wyndham clark,23604,null,
laurie canter,14795,null,
alex smalley,18474,null,
sungjae im,17488,null,
taylor moore,21944,null,
lee hodges,25157,null,
matthew jordan,25601,null,
luke clanton,32330,null,
christiaan bezuidenhout,18103,null,
matti schmid,20722,null,
aldrich potgieter,27900,null,
tom kim,24766,null,
ryo hisatsune,22760,null,
brian harman,8825,null,
ewen ferguson,21646,null,
kristoffer reitan,21407,null,
francesco laporta,14987,null,
jhonattan vegas,13508,null,
erik van rooyen,17550,null,
daniel brown,20766,null,
mackenzie hughes,15556,null,
sami valimaki,23816,null,
thriston lawrence,18105,null,
gary woodland,12577,null,
tom hoge,15575,null,
richard mansell,24185,null,
antoine rozner,18770,null,
matt mccarty,28635,null,
patrick rodgers,16283,null,
eugenio chacarra,26745,null,
brandon stone,15229,null,
alex fitzpatrick,25362,null,
martin couvra,27811,null,
adrien saddier,14792,null,
andrew putnam,14704,null,
john parry,13764,null,
nico echavarria,22833,null,
sam bairstow,28615,null,
grant forrest,16475,null,
max mcgreevy,23505,null,
alejandro tosti,17032,null,
calum hill,25131,null,
daniel hillier,21362,null,
jacques kruyswijk,16896,null,
isaiah salinda,27183,null,
marcel schneider,12522,null,
joe highsmith,28469,null,
frederic lacroix,23733,null,
keita nakajima,21074,null,
andy sullivan,15326,null,
johannes veerman,20522,null,
connor syme,22089,null,
todd clements,22608,null,
justin rose,6093,null,
henrik norlander,11657,null,
matteo manassero,11460,null,
rikuya hoshino,19190,null,
davis riley,19872,null,
jorge campillo,14016,null,
julien guerrier,10201,null,
sebastian soderberg,18517,null,
shaun norris,7677,null,
nicolai von dellingshausen,22231,null,
richie ramsay,11396,null,
karl vilips,24304,null,
danny walker,25003,null,
romain langasque,16652,null,
alejandro del rey,22259,null,
matthieu pavon,19960,null,
sean crocker,23610,null,
dan bradbury,29971,null,
david ravetto,23416,null,
yuto katsuragawa,20448,null,
ugo coussaud,20727,null,
joel dahmen,14509,null,
brian campbell,18628,null,
danny willett,12920,null,
ignacio elvira mijares,12988,null,
aaron cockerill,15596,null,
padraig harrington,5716,null,
joe dean,16497,null,
yannik paul,19898,null,
ashun wu,11763,null,
brandt snedeker,8820,null,
francesco molinari,7655,null,
marcel siem,6950,null,
elvis smylie,24200,null,
dylan frittelli,11955,null,
david ford,31343,null,
paul waring,12426,null,
darius van driel,13374,null,
adrian otaegui,14975,null,
guido migliozzi,17357,null,
bernd wiesberger,9531,null,
angel hidalgo,24127,null,
simon forsstrom,19806,null,
dylan naidoo,19429,null,
ryggs johnston,32449,null,
pablo larrazabal,9133,null,
junghwan lee,13498,null,
dale whitnell,13821,null,
wooyoung cho,25806,null,
jordan gumberg,23892,null,
luke donald,4163,null,
hongtaek kim,17973,null,
ockie strydom,13731,null,
