player_name,sample_size,baseline,country_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Reed, Patrick",150,1.063,-0.044,34,-0.010,-0.019,0.078,-0.021,0.029,-0.042,0.009,-9999.000,-0.033,1.042,2.850,"BMW International Open","Golfclub München Eichenried"
"Neergaard-Petersen, Rasmus",150,0.734,0.001,26,0.030,0.029,-0.182,0.089,0.121,0.045,0.013,-9999.000,0.058,0.880,2.927,"BMW International Open","Golfclub München Eichenried"
"Puig, David",150,0.661,-0.065,23,0.041,-0.003,0.014,0.033,-0.060,0.183,-0.025,-9999.000,0.158,0.778,2.927,"BMW International Open","Golfclub München Eichenried"
"Smith, Jordan",150,0.180,0.044,32,0.000,0.039,0.037,0.125,0.215,0.012,0.028,-9999.000,0.039,0.680,2.880,"BMW International Open","Golfclub München Eichenried"
"Penge, Marco",150,-0.042,0.012,27,0.025,0.014,0.121,0.144,-0.016,0.215,-0.018,-9999.000,0.198,0.455,2.927,"BMW International Open","Golfclub München Eichenried"
"Schaper, Jayden",150,0.164,0.062,24,0.037,-0.042,0.091,0.086,0.028,-0.052,0.030,-9999.000,-0.021,0.405,2.891,"BMW International Open","Golfclub München Eichenried"
"Schmid, Matti",150,0.118,-0.026,27,0.022,0.030,-0.126,0.066,0.198,0.132,-0.013,-9999.000,0.119,0.402,2.916,"BMW International Open","Golfclub München Eichenried"
"Ferguson, Ewen",150,-0.031,-0.004,29,0.016,0.034,0.062,0.147,0.151,-0.038,0.037,-9999.000,-0.001,0.374,2.869,"BMW International Open","Golfclub München Eichenried"
"Chacarra, Eugenio",150,0.222,-0.065,25,0.033,0.032,0.103,0.012,-0.060,0.076,-0.009,-9999.000,0.067,0.345,2.927,"BMW International Open","Golfclub München Eichenried"
"Laporta, Francesco",150,0.101,0.065,34,-0.009,0.009,0.036,0.060,0.083,-0.069,0.029,-9999.000,-0.040,0.305,2.894,"BMW International Open","Golfclub München Eichenried"
"Garcia, Sergio",150,0.398,-0.054,45,-0.058,-0.030,-0.143,0.062,0.074,0.014,0.027,-9999.000,0.041,0.291,2.890,"BMW International Open","Golfclub München Eichenried"
"Li, Haotong",150,0.117,-0.037,29,0.012,-0.012,-0.166,0.058,0.181,0.111,-0.019,-9999.000,0.092,0.244,2.985,"BMW International Open","Golfclub München Eichenried"
"Saddier, Adrien",150,0.074,-0.025,33,-0.002,-0.034,0.073,0.009,0.144,-0.014,0.012,-9999.000,-0.002,0.236,2.869,"BMW International Open","Golfclub München Eichenried"
"Couvra, Martin",150,0.152,-0.009,22,0.046,0.005,0.127,-0.085,-0.060,0.001,-0.003,-9999.000,-0.002,0.173,2.927,"BMW International Open","Golfclub München Eichenried"
"Nakajima, Keita",150,-0.047,0.052,25,0.034,0.039,-0.056,0.090,0.013,-0.010,0.016,-9999.000,0.005,0.131,2.927,"BMW International Open","Golfclub München Eichenried"
"Schneider, Marcel",150,-0.197,0.081,35,-0.013,-0.013,0.118,-0.035,0.194,-0.019,0.000,-9999.000,-0.019,0.116,2.920,"BMW International Open","Golfclub München Eichenried"
"Luiten, Joost",150,0.051,0.063,39,-0.031,-0.016,-0.194,0.040,0.219,-0.059,0.031,-9999.000,-0.028,0.104,2.855,"BMW International Open","Golfclub München Eichenried"
"Canter, Laurie",150,0.026,0.044,35,-0.014,-0.004,-0.271,0.214,0.037,0.035,0.021,-9999.000,0.056,0.087,2.880,"BMW International Open","Golfclub München Eichenried"
"Reitan, Kristoffer",150,-0.124,-0.006,27,0.024,0.012,0.078,0.027,-0.038,0.118,-0.014,-9999.000,0.104,0.076,2.927,"BMW International Open","Golfclub München Eichenried"
"Ayora, Angel",150,-0.198,-0.065,20,0.053,0.058,0.033,0.105,-0.042,0.120,-0.004,-9999.000,0.116,0.060,2.927,"BMW International Open","Golfclub München Eichenried"
"Von Dellingshausen, Nicolai",150,-0.290,0.086,32,0.001,0.025,0.146,-0.093,0.190,-0.012,-0.009,-9999.000,-0.021,0.045,2.885,"BMW International Open","Golfclub München Eichenried"
"Parry, John",150,-0.137,0.038,38,-0.027,-0.002,-0.021,-0.038,0.234,-0.093,0.006,-9999.000,-0.087,-0.041,2.847,"BMW International Open","Golfclub München Eichenried"
"Fitzpatrick, Alex",150,-0.243,-0.028,26,0.027,-0.011,0.061,0.120,-0.041,0.054,-0.014,-9999.000,0.040,-0.074,2.927,"BMW International Open","Golfclub München Eichenried"
"Stone, Brandon",150,-0.260,0.026,32,0.002,-0.028,-0.076,0.013,0.196,0.054,-0.008,-9999.000,0.045,-0.082,2.916,"BMW International Open","Golfclub München Eichenried"
"Campillo, Jorge",150,-0.241,-0.122,39,-0.029,-0.024,0.043,0.004,0.279,-0.037,0.006,-9999.000,-0.031,-0.122,2.894,"BMW International Open","Golfclub München Eichenried"
