player_name,sample_size,baseline,country_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Griffin, Ben",150,1.502,0.000,29,0.015,0.020,-0.041,0.028,0.014,-0.004,0.015,-0.058,-0.047,1.492,2.684,"John Deere Classic","TPC Deere Run"
"Thompson, Davis",150,0.619,0.000,26,0.029,0.022,0.011,0.269,0.035,-0.006,0.037,-0.002,0.029,1.014,2.706,"John Deere Classic","TPC Deere Run"
"Day, Jason",150,1.162,0.000,37,-0.022,-0.064,-0.014,-0.071,0.053,-0.001,-0.003,-0.069,-0.073,0.972,2.743,"John Deere Classic","TPC Deere Run"
"Kim, Si Woo",150,0.790,0.000,30,0.011,-0.071,0.008,0.188,-0.023,0.004,0.083,-0.018,0.069,0.971,2.699,"John Deere Classic","TPC Deere Run"
"Gerard, Ryan",150,0.593,0.000,25,0.029,0.016,-0.014,0.244,0.004,-0.001,0.044,0.003,0.047,0.919,2.757,"John Deere Classic","TPC Deere Run"
"Poston, J.T.",150,0.876,0.000,32,0.002,-0.048,-0.081,0.075,0.060,0.006,0.065,-0.046,0.024,0.910,2.716,"John Deere Classic","TPC Deere Run"
"Yu, Kevin",150,0.672,0.000,26,0.025,0.018,-0.058,0.097,0.028,-0.011,0.012,0.006,0.008,0.788,2.723,"John Deere Classic","TPC Deere Run"
"Thorbjornsen, Michael",150,0.370,0.000,23,0.039,0.025,0.171,0.156,0.050,-0.016,-0.007,-0.002,-0.025,0.786,2.757,"John Deere Classic","TPC Deere Run"
"Gotterup, Chris",150,0.548,0.000,25,0.029,-0.008,0.075,0.215,0.013,-0.020,-0.065,-0.006,-0.091,0.782,2.749,"John Deere Classic","TPC Deere Run"
"Glover, Lucas",150,0.695,0.000,45,-0.057,-0.100,-0.077,0.065,0.111,0.011,0.106,0.014,0.131,0.768,2.696,"John Deere Classic","TPC Deere Run"
"McCarthy, Denny",150,0.963,0.000,32,0.001,-0.050,-0.087,-0.091,0.066,0.005,0.015,-0.070,-0.050,0.752,2.720,"John Deere Classic","TPC Deere Run"
"Kim, Michael",150,0.755,0.000,31,0.003,0.018,0.018,-0.043,0.054,-0.001,-0.013,-0.038,-0.052,0.752,2.711,"John Deere Classic","TPC Deere Run"
"Kirk, Chris",150,0.631,0.000,40,-0.033,-0.120,0.121,0.041,0.074,0.003,0.036,-0.004,0.034,0.748,2.717,"John Deere Classic","TPC Deere Run"
"Stevens, Sam",150,0.746,0.000,29,0.016,0.023,-0.108,0.109,-0.008,-0.007,0.014,-0.043,-0.035,0.742,2.677,"John Deere Classic","TPC Deere Run"
"Coody, Pierceson",150,0.646,0.000,25,0.031,0.019,0.046,0.039,0.002,-0.014,-0.017,-0.021,-0.052,0.731,2.722,"John Deere Classic","TPC Deere Run"
"Cauley, Bud",150,0.690,0.000,35,-0.012,-0.075,-0.034,0.074,0.045,0.000,0.021,-0.015,0.006,0.694,2.696,"John Deere Classic","TPC Deere Run"
"Smalley, Alex",150,0.431,0.000,28,0.017,0.069,-0.007,0.128,0.037,-0.004,0.031,-0.014,0.012,0.687,2.752,"John Deere Classic","TPC Deere Run"
"Im, Sungjae",150,0.642,0.000,27,0.023,-0.019,-0.084,0.101,0.020,0.003,0.070,-0.071,0.001,0.685,2.737,"John Deere Classic","TPC Deere Run"
"Hubbard, Mark",150,0.474,0.000,36,-0.015,-0.034,0.083,-0.024,0.088,0.003,0.048,-0.013,0.038,0.610,2.723,"John Deere Classic","TPC Deere Run"
"Hodges, Lee",150,0.392,0.000,30,0.011,0.052,0.053,0.035,-0.012,0.002,0.062,0.006,0.070,0.601,2.735,"John Deere Classic","TPC Deere Run"
"Olesen, Thorbjorn",150,0.671,0.000,35,-0.013,0.030,0.025,-0.100,-0.013,-0.002,0.010,-0.041,-0.033,0.567,2.713,"John Deere Classic","TPC Deere Run"
"Knapp, Jake",150,0.499,0.000,31,0.007,-0.020,0.163,0.017,-0.011,-0.014,-0.066,-0.023,-0.103,0.552,2.804,"John Deere Classic","TPC Deere Run"
