name_p1,name_p2,ties,market,betcris_p1,betcris_p2,betcris_tie,pinnacle_p1,pinnacle_p2,pinnacle_tie,draftkings_p1,draftkings_p2,draftkings_tie,bet365_p1,bet365_p2,bet365_tie,fanduel_p1,fanduel_p2,fanduel_tie,betmgm_p1,betmgm_p2,betmgm_tie,pointsbet_p1,pointsbet_p2,pointsbet_tie,bovada_p1,bovada_p2,bovada_tie,betonline_p1,betonline_p2,betonline_tie,caesars_p1,caesars_p2,caesars_tie,unibet_p1,unibet_p2,unibet_tie,datagolf_p1,datagolf_p2,datagolf_tie
"Henley, Russell","Cantlay, Patrick",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-105,-115,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+124,-106,+2389
"Henley, Russell","Cantlay, Patrick",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,-110,null,null,null,null,null,null,null,null,null,null,+115,-115,null
"Spieth, Jordan","Gotterup, Chris",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-125,+105,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+108,+110,+2299
"Spieth, Jordan","Gotterup, Chris",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,-110,null,null,null,null,null,null,null,null,null,null,-101,+101,null
"Straka, Sepp","Hovland, Viktor",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+115,-138,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+125,-106,+2336
"Straka, Sepp","Hovland, Viktor",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+115,-150,null,null,null,null,null,null,null,null,null,null,+115,-115,null
"Fleetwood, Tommy","Lowry, Shane",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-138,+115,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-143,+169,+2463
"Fleetwood, Tommy","Lowry, Shane",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-154,+120,null,null,null,null,-165,+125,null,null,null,null,-155,+125,null,null,null,null,-158,+158,null
"Hatton, Tyrrell","MacIntyre, Robert",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-120,+100,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,+130,+2298
"Hatton, Tyrrell","MacIntyre, Robert",void,72-hole match,null,null,null,-124,+102,null,-130,+100,null,null,null,null,-125,+105,null,null,null,null,null,null,null,-125,-105,null,null,null,null,null,null,null,null,null,null,-120,+120,null
"Matsuyama, Hideki","Griffin, Ben",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+136,-115,+2280
"Matsuyama, Hideki","Griffin, Ben",void,72-hole match,null,null,null,null,null,null,-110,-115,null,null,null,null,+105,-125,null,+100,-125,null,null,null,null,-120,-110,null,null,null,null,null,null,null,null,null,null,+126,-126,null
"Fitzpatrick, Matt","Morikawa, Collin",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+100,-120,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+122,-104,+2401
"Fitzpatrick, Matt","Morikawa, Collin",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+100,-125,null,null,null,null,+100,-130,null,null,null,null,null,null,null,null,null,null,+113,-113,null
"Rahm, Jon","Schauffele, Xander",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-170,+137,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-137,+163,+2377
"Rahm, Jon","Schauffele, Xander",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-175,+135,null,null,null,null,null,null,null,null,null,null,-152,+152,null
"Reed, Patrick","Burns, Sam",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+126,-106,+2295
"Reed, Patrick","Burns, Sam",void,72-hole match,null,null,null,+109,-133,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-120,null,null,null,null,null,null,null,null,null,null,+116,-116,null
"Rose, Justin","Koepka, Brooks",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-105,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+108,+109,+2257
"Rose, Justin","Koepka, Brooks",void,72-hole match,null,null,null,-122,+101,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-125,-105,null,null,null,null,null,null,null,null,null,null,-101,+101,null
"McIlroy, Rory","Scheffler, Scottie",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+125,-163,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+197,-165,+2359
"McIlroy, Rory","Scheffler, Scottie",void,72-hole match,+127,-160,null,+136,-167,null,null,null,null,null,null,null,null,null,null,+130,-167,null,null,null,null,+135,-175,null,+135,-163,null,+140,-170,null,null,null,null,+185,-185,null
"Scott, Adam","Fox, Ryan",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-115,-105,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-117,+138,+2393
"Scott, Adam","Fox, Ryan",void,72-hole match,-123,-107,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,-110,null,-125,+105,null,null,null,null,null,null,null,-128,+128,null
"Thomas, Justin","Niemann, Joaquin",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-115,-105,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+109,+108,+2382
