player_name,sample_size,baseline,major_adj,country_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Scheffler, Scottie",150,2.975,0.086,-0.133,29,0.016,0.014,0.050,0.018,-0.040,0.017,0.045,-0.009,0.053,3.039,2.933,"The Open Championship","Royal Portrush Golf Club"
"Rahm, Jon",150,2.045,0.043,-0.009,30,0.008,-0.042,0.074,0.200,-0.011,0.035,0.013,-0.008,0.040,2.349,2.935,"The Open Championship","Royal Portrush Golf Club"
"McIlroy, Rory",150,2.039,0.112,0.100,36,-0.016,-0.044,0.142,-0.101,-0.028,0.054,-0.031,-0.016,0.008,2.214,2.986,"The Open Championship","Royal Portrush Golf Club"
"DeChambeau, Bryson",150,1.754,0.059,-0.166,31,0.003,-0.007,0.032,0.339,-0.045,0.065,-0.008,-0.006,0.051,2.021,2.980,"The Open Championship","Royal Portrush Golf Club"
"Fleetwood, Tommy",150,1.706,0.064,0.140,34,-0.008,-0.026,0.061,0.027,0.016,-0.003,0.048,-0.006,0.038,2.019,2.909,"The Open Championship","Royal Portrush Golf Club"
"Schauffele, Xander",150,1.517,0.130,-0.011,31,0.004,-0.007,0.065,0.045,-0.023,0.031,-0.016,-0.003,0.012,1.732,2.962,"The Open Championship","Royal Portrush Golf Club"
"Hatton, Tyrrell",150,1.380,-0.004,0.212,33,-0.005,-0.013,0.032,0.015,0.011,0.008,0.007,-0.008,0.007,1.635,2.937,"The Open Championship","Royal Portrush Golf Club"
"Morikawa, Collin",150,1.399,0.090,-0.163,28,0.018,0.013,-0.029,0.256,-0.040,-0.003,0.075,0.004,0.077,1.621,2.971,"The Open Championship","Royal Portrush Golf Club"
"Hovland, Viktor",150,1.412,0.082,0.008,27,0.021,-0.020,0.186,-0.091,-0.040,0.016,0.014,0.005,0.035,1.593,2.968,"The Open Championship","Royal Portrush Golf Club"
"Aberg, Ludvig",150,1.180,-0.007,0.030,25,0.030,0.105,0.086,0.112,-0.040,0.033,0.007,-0.001,0.039,1.537,2.981,"The Open Championship","Royal Portrush Golf Club"
"Fitzpatrick, Matt",150,1.174,0.068,-0.012,30,0.008,0.030,0.166,-0.021,-0.003,0.007,0.016,-0.013,0.010,1.419,2.982,"The Open Championship","Royal Portrush Golf Club"
"Niemann, Joaquin",150,1.364,-0.005,-0.127,26,0.026,-0.013,-0.043,0.195,-0.041,0.044,-0.010,0.002,0.036,1.391,2.968,"The Open Championship","Royal Portrush Golf Club"
"Conners, Corey",150,1.327,0.041,-0.100,33,-0.004,-0.011,0.047,0.041,-0.040,-0.001,0.058,-0.002,0.055,1.356,2.936,"The Open Championship","Royal Portrush Golf Club"
"MacIntyre, Robert",150,1.143,0.046,0.089,28,0.016,0.065,0.023,-0.062,0.024,0.001,0.015,-0.008,0.008,1.352,2.922,"The Open Championship","Royal Portrush Golf Club"
"Thomas, Justin",150,1.592,-0.021,-0.227,32,0.002,0.007,0.058,-0.032,-0.007,0.019,-0.027,-0.014,-0.022,1.350,3.019,"The Open Championship","Royal Portrush Golf Club"
"Scott, Adam",150,1.004,0.094,0.145,45,-0.054,-0.032,0.107,0.097,-0.060,0.018,-0.002,-0.001,0.015,1.316,2.924,"The Open Championship","Royal Portrush Golf Club"
"Straka, Sepp",150,1.448,0.029,-0.077,32,0.002,-0.023,0.049,-0.123,-0.040,-0.007,0.053,-0.000,0.046,1.312,2.963,"The Open Championship","Royal Portrush Golf Club"
"Cantlay, Patrick",150,1.404,0.036,-0.122,33,-0.003,0.016,-0.122,0.110,-0.029,0.017,0.003,-0.001,0.019,1.310,2.935,"The Open Championship","Royal Portrush Golf Club"
"Rai, Aaron",150,0.991,0.016,0.053,30,0.010,0.009,0.057,0.127,-0.040,-0.026,0.098,-0.004,0.068,1.290,2.917,"The Open Championship","Royal Portrush Golf Club"
