player_name,dg_id,proj,my_proj,import_advice
scottie scheffler,18417,83.3,null,1) import file must include at least one of player_name or dg_id columns
rory mcilroy,10091,69.9,null,2) import file must include my_proj column
jon rahm,19195,71.3,null,3) it is not required you import all players; we will set any missing or unmatched players to the current page values
bryson dechambeau,19841,67.4,null,
xander schauffele,19895,63,null,
tommy fleetwood,12294,66.4,null,
shane lowry,13900,55.9,null,
ludvig aberg,23950,59.8,null,
robert macintyre,23323,56.7,null,
tyrrell hatton,14796,60.9,null,
collin morikawa,22085,61.3,null,
justin thomas,14139,57.3,null,
viktor hovland,18841,60.4,null,
joaquin niemann,18079,57.4,null,
patrick cantlay,15466,55.6,null,
brooks koepka,16243,45.6,null,
russell henley,14578,54.5,null,
matt fitzpatrick,17646,57.8,null,
jordan spieth,14636,54.2,null,
justin rose,6093,47.5,null,
hideki matsuyama,13562,49.5,null,
sepp straka,17511,56.2,null,
sam burns,19483,56,null,
adam scott,6430,55.9,null,
ben griffin,24968,53.9,null,
corey conners,17576,56.5,null,
jason day,9771,50.8,null,
cameron young,26651,46.1,null,
patrick reed,14838,51.5,null,
ryan fox,11889,49.1,null,
thomas detry,14181,46.5,null,
brian harman,8825,46.5,null,
aaron rai,18554,55.9,null,
j.j. spaun,17536,53.8,null,
chris gotterup,27774,53.2,null,
min woo lee,16841,47.2,null,
sungjae im,17488,45.8,null,
carlos ortiz,14735,46.6,null,
cameron smith,15856,46.6,null,
tony finau,11676,43.7,null,
keegan bradley,13872,53.4,null,
si woo kim,14609,52.7,null,
akshay bhatia,26096,47.2,null,
wyndham clark,23604,47.2,null,
sergio garcia,5689,42.9,null,
marc leishman,7649,39.2,null,
daniel berger,17606,52.2,null,
tom kim,24766,47.3,null,
dean burmester,14424,42.3,null,
sahith theegala,23014,38.6,null,
taylor pendrith,17780,52.5,null,
nicolai hojgaard,23602,51.6,null,
rickie fowler,12965,47.5,null,
lucas herbert,17064,45.9,null,
rasmus hojgaard,23838,45.7,null,
louis oosthuizen,7672,44.7,null,
harry hall,27194,53.3,null,
harris english,14577,53.1,null,
davis thompson,27364,48.6,null,
byeong hun an,14459,45.8,null,
thriston lawrence,18105,42.1,null,
tom mckibbin,22322,48.8,null,
dustin johnson,12422,43,null,
matthew jordan,25601,40,null,
aldrich potgieter,27900,39.3,null,
lee westwood,4052,28.8,null,
andrew novak,23475,49.6,null,
matt wallace,20706,47.9,null,
christiaan bezuidenhout,18103,47.8,null,
thorbjorn olesen,13412,46.9,null,
laurie canter,14795,46.6,null,
denny mccarthy,19870,46.2,null,
matti schmid,20722,44.4,null,
maverick mcnealy,18634,55.9,null,
bud cauley,14502,45.3,null,
lucas glover,7399,44.9,null,
jesper svensson,26850,44.6,null,
tom hoge,15575,41.5,null,
chris kirk,12423,40.1,null,
nick taylor,13126,51.1,null,
marco penge,22465,51,null,
j.t. poston,21554,47.5,null,
michael kim,17543,47,null,
niklas norgaard,15676,44.2,null,
romain langasque,16652,34.5,null,
max greyserman,23465,49.5,null,
jordan smith,18586,48.5,null,
kristoffer reitan,21407,43.7,null,
martin couvra,27811,38.3,null,
matteo manassero,11460,38.3,null,
matthieu pavon,19960,36.4,null,
kevin yu,17881,48.9,null,
daniel brown,20766,41.4,null,
stephan jaeger,16394,38.4,null,
phil mickelson,1547,33.1,null,
padraig harrington,5716,32.8,null,
guido migliozzi,17357,29.2,null,
nico echavarria,22833,43.6,null,
mackenzie hughes,15556,42.9,null,
haotong li,15310,41.8,null,
sebastian soderberg,18517,36.9,null,
jason kokrak,12337,35.7,null,
john catlin,18524,34.2,null,
matt mccarty,28635,44.6,null,
antoine rozner,18770,41.6,null,
davis riley,19872,37,null,
daniel hillier,21362,35.5,null,
francesco molinari,7655,34.4,null,
jacob skov olesen,25611,34.3,null,
justin suh,22050,28,null,
jhonattan vegas,13508,42,null,
john parry,13764,40.4,null,
julien guerrier,10201,35.7,null,
henrik stenson,5994,34.6,null,
younghan song,16160,28.2,null,
ryggs johnston,32449,26.1,null,
takumi kanaya,19729,37.4,null,
nathan kimsey,18027,35.6,null,
oliver lindell,20085,34.4,null,
brian campbell,18628,34.3,null,
angel hidalgo portillo,24127,29.4,null,
daniel young,19908,27.9,null,
sampson zheng,26764,26,null,
rikuya hoshino,19190,35.7,null,
stewart cink,5665,35.3,null,
shaun norris,7677,33.8,null,
sadom kaewkanjana,19844,32.2,null,
mikiya akutsu,15726,23.6,null,
k.j. choi,1804,20.5,null,
ryan peake,15169,20.4,null,
adrien saddier,14792,36.7,null,
zach johnson,6986,35.3,null,
elvis smylie,24200,34.8,null,
daniel van tonder,15193,31.1,null,
shugo imahira,13485,27.4,null,
justin hastings,31960,25.3,null,
justin walters,8045,21.4,null,
curtis luck,16842,27.9,null,
riki kawamoto,22844,27.8,null,
darren fichardt,5754,26.7,null,
darren clarke,3523,24.6,null,
connor graham,30034865,24.3,null,
john axelsen,19637,24,null,
cameron adam,30031172,23.7,null,
george bloor,26594,22.9,null,
justin leonard,5603,21.1,null,
filip jakubcik,26482,27.7,null,
ethan fang,30032657,27.6,null,
dylan naidoo,19429,26.4,null,
jesper sandborg,20454,19.8,null,
seb cave,30032803,19.2,null,
richard teder,32733,16.5,null,
oj farrell,28292,15.8,null,
frazer jones,30040444,15,null,
curtis knipes,25976,14.2,null,
bryan newman,33256,11.8,null,
