player_name,dg_id,my_pred,import_advice
scottie scheffler,18417,null,1) import file must include at least one of player_name or dg_id columns
jon rahm,19195,null,2) import file must include my_pred column
rory mcilroy,10091,null,3) it is not required you import all players; we will set any missing or unmatched players to our default prediction
bryson dechambeau,19841,null,
tommy fleetwood,12294,null,
xander schauffele,19895,null,
tyrrell hatton,14796,null,
collin morikawa,22085,null,
viktor hovland,18841,null,
ludvig aberg,23950,null,
matt fitzpatrick,17646,null,
joaquin niemann,18079,null,
corey conners,17576,null,
robert macintyre,23323,null,
justin thomas,14139,null,
adam scott,6430,null,
sepp straka,17511,null,
patrick cantlay,15466,null,
aaron rai,18554,null,
shane lowry,13900,null,
sam burns,19483,null,
maverick mcnealy,18634,null,
russell henley,14578,null,
ben griffin,24968,null,
harry hall,27194,null,
jordan spieth,14636,null,
j.j. spaun,17536,null,
keegan bradley,13872,null,
harris english,14577,null,
si woo kim,14609,null,
taylor pendrith,17780,null,
chris gotterup,27774,null,
daniel berger,17606,null,
patrick reed,14838,null,
nick taylor,13126,null,
nicolai hojgaard,23602,null,
jason day,9771,null,
marco penge,22465,null,
andrew novak,23475,null,
hideki matsuyama,13562,null,
ryan fox,11889,null,
max greyserman,23465,null,
tom mckibbin,22322,null,
davis thompson,27364,null,
kevin yu,17881,null,
jordan smith,18586,null,
matt wallace,20706,null,
christiaan bezuidenhout,18103,null,
j.t. poston,21554,null,
akshay bhatia,26096,null,
michael kim,17543,null,
thorbjorn olesen,13412,null,
brian harman,8825,null,
tom kim,24766,null,
min woo lee,16841,null,
laurie canter,14795,null,
wyndham clark,23604,null,
denny mccarthy,19870,null,
rickie fowler,12965,null,
cameron smith,15856,null,
thomas detry,14181,null,
justin rose,6093,null,
carlos ortiz,14735,null,
sungjae im,17488,null,
cameron young,26651,null,
bud cauley,14502,null,
rasmus hojgaard,23838,null,
byeong hun an,14459,null,
lucas glover,7399,null,
lucas herbert,17064,null,
brooks koepka,16243,null,
matt mccarty,28635,null,
louis oosthuizen,7672,null,
jesper svensson,26850,null,
matti schmid,20722,null,
niklas norgaard,15676,null,
kristoffer reitan,21407,null,
nico echavarria,22833,null,
tony finau,11676,null,
sergio garcia,5689,null,
mackenzie hughes,15556,null,
dean burmester,14424,null,
dustin johnson,12422,null,
jhonattan vegas,13508,null,
daniel brown,20766,null,
antoine rozner,18770,null,
thriston lawrence,18105,null,
tom hoge,15575,null,
haotong li,15310,null,
john parry,13764,null,
chris kirk,12423,null,
matthew jordan,25601,null,
aldrich potgieter,27900,null,
marc leishman,7649,null,
stephan jaeger,16394,null,
martin couvra,27811,null,
sahith theegala,23014,null,
matteo manassero,11460,null,
takumi kanaya,19729,null,
adrien saddier,14792,null,
sebastian soderberg,18517,null,
daniel hillier,21362,null,
davis riley,19872,null,
matthieu pavon,19960,null,
zach johnson,6986,null,
rikuya hoshino,19190,null,
nathan kimsey,18027,null,
julien guerrier,10201,null,
jason kokrak,12337,null,
romain langasque,16652,null,
henrik stenson,5994,null,
brian campbell,18628,null,
stewart cink,5665,null,
francesco molinari,7655,null,
john catlin,18524,null,
oliver lindell,20085,null,
elvis smylie,24200,null,
jacob skov olesen,25611,null,
shaun norris,7677,null,
padraig harrington,5716,null,
phil mickelson,1547,null,
sadom kaewkanjana,19844,null,
daniel van tonder,15193,null,
lee westwood,4052,null,
angel hidalgo portillo,24127,null,
guido migliozzi,17357,null,
justin suh,22050,null,
daniel young,19908,null,
younghan song,16160,null,
filip jakubcik,26482,null,
riki kawamoto,22844,null,
ethan fang,30032657,null,
shugo imahira,13485,null,
curtis luck,16842,null,
dylan naidoo,19429,null,
darren fichardt,5754,null,
sampson zheng,26764,null,
ryggs johnston,32449,null,
justin hastings,31960,null,
connor graham,30034865,null,
darren clarke,3523,null,
john axelsen,19637,null,
cameron adam,30031172,null,
mikiya akutsu,15726,null,
george bloor,26594,null,
justin walters,8045,null,
justin leonard,5603,null,
k.j. choi,1804,null,
ryan peake,15169,null,
jesper sandborg,20454,null,
seb cave,30032803,null,
richard teder,32733,null,
oj farrell,28292,null,
frazer jones,30040444,null,
curtis knipes,25976,null,
bryan newman,33256,null,
