name_p1,name_p2,ties,market,betcris_p1,betcris_p2,betcris_tie,pinnacle_p1,pinnacle_p2,pinnacle_tie,draftkings_p1,draftkings_p2,draftkings_tie,bet365_p1,bet365_p2,bet365_tie,fanduel_p1,fanduel_p2,fanduel_tie,betmgm_p1,betmgm_p2,betmgm_tie,pointsbet_p1,pointsbet_p2,pointsbet_tie,bovada_p1,bovada_p2,bovada_tie,betonline_p1,betonline_p2,betonline_tie,caesars_p1,caesars_p2,caesars_tie,unibet_p1,unibet_p2,unibet_tie,datagolf_p1,datagolf_p2,datagolf_tie
"Thomas, Justin","Aberg, Ludvig",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+105,-125,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+110,+110,+1968
"Thomas, Justin","Aberg, Ludvig",void,72-hole match,null,null,null,-108,-112,null,null,null,null,null,null,null,null,null,null,-105,-118,null,null,null,null,-105,-125,null,null,null,null,null,null,null,null,null,null,+100,-100,null
"Bradley, Keegan","Spieth, Jordan",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-138,+115,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-130,+159,+1991
"Bradley, Keegan","Spieth, Jordan",void,72-hole match,-148,+118,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-135,+105,null,-140,+117,null,null,null,null,null,null,null,-147,+147,null
"Cantlay, Patrick","Straka, Sepp",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-115,-105,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+108,+114,+1811
"Cantlay, Patrick","Straka, Sepp",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,-110,null,null,null,null,null,null,null,null,null,null,-103,+103,null
"English, Harris","Griffin, Ben",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-105,-115,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+139,-113,+1882
"English, Harris","Griffin, Ben",void,72-hole match,null,null,null,+111,-135,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-125,null,null,null,null,null,null,null,null,null,null,+127,-127,null
"Hovland, Viktor","Burns, Sam",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-102,+125,+1935
"Hovland, Viktor","Burns, Sam",void,72-hole match,-134,+104,null,-123,+102,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-125,-105,null,-127,+106,null,null,null,null,null,null,null,-114,+114,null
"Lowry, Shane","MacIntyre, Robert",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-115,-105,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+122,+100,+1886
"Lowry, Shane","MacIntyre, Robert",void,72-hole match,null,null,null,-106,-114,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-115,null,null,null,null,null,null,null,null,null,null,+111,-111,null
"Matsuyama, Hideki","Henley, Russell",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+110,-130,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+164,-133,+1898
"Matsuyama, Hideki","Henley, Russell",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+105,-135,null,null,null,null,null,null,null,null,null,null,+151,-151,null
"Spaun, J.J.","Pendrith, Taylor",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-125,+105,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-117,+144,+1879
"Spaun, J.J.","Pendrith, Taylor",void,72-hole match,null,null,null,null,null,null,-140,+110,null,null,null,null,-150,+115,null,null,null,null,null,null,null,-145,+110,null,null,null,null,null,null,null,null,null,null,-132,+132,null
"Schauffele, Xander","Morikawa, Collin",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+105,-125,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+143,-117,+1882
"Schauffele, Xander","Morikawa, Collin",void,72-hole match,+103,-133,null,+103,-125,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-120,null,+106,-127,null,+100,-130,null,null,null,null,+131,-131,null
"McIlroy, Rory","Scheffler, Scottie",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+250,-300,+1800,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+321,-261,+2433
"McIlroy, Rory","Scheffler, Scottie",void,72-hole match,+203,-263,null,+248,-340,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+240,-330,null,+240,-294,null,null,null,null,null,null,null,+305,-305,null
"Im, Sungjae","Young, Cameron",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-111,+136,+1911
"Im, Sungjae","Young, Cameron",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-125,+105,null,null,null,null,null,null,null,null,null,null,-124,+124,null
"Cauley, Bud","Stevens, Sam",void,72-hole match,-121,-109,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-112,-108,null,null,null,null,null,null,null,-105,+105,null
"Campbell, Brian","Highsmith, Joe",void,72-hole match,+106,-136,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+106,-127,null,null,null,null,null,null,null,+103,-103,null
"Yu, Kevin","Hall, Harry",void,72-hole match,-106,-124,null,-108,-112,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,-102,+102,null
"Taylor, Nick","Hughes, Mackenzie",void,72-hole match,-141,+111,null,-132,+109,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-132,+110,null,null,null,null,null,null,null,-121,+121,null
"Vegas, Jhonattan","Kim, Tom",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+130,-157,null,null,null,null,null,null,null,+126,-126,null
"Lee, Min Woo","Bhatia, Akshay",void,72-hole match,+127,-159,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+117,-140,null,null,null,null,null,null,null,+127,-127,null
"Bezuidenhout, Christiaan","Schmid, Matti",void,72-hole match,-173,+137,null,-166,+135,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-159,+132,null,null,null,null,null,null,null,-144,+144,null
"Finau, Tony","Berger, Daniel",void,72-hole match,+107,-137,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+105,-125,null,null,null,null,null,null,null,+143,-143,null
"Clark, Wyndham","Thompson, Davis",void,72-hole match,+109,-139,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+117,-140,null,null,null,null,null,null,null,+147,-147,null
"Davis, Cam","Pavon, Matthieu",void,72-hole match,-122,-108,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-122,+102,null,null,null,null,null,null,null,-113,+113,null
"Day, Jason","Fox, Ryan",void,72-hole match,-176,+140,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-175,+145,null,null,null,null,null,null,null,-143,+143,null
"Woodland, Gary","Homa, Max",void,72-hole match,-124,-106,null,-122,+101,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,+100,null,null,null,null,null,null,null,-127,+127,null
"An, Byeong Hun","Kim, Michael",void,72-hole match,+102,-132,null,+105,-127,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+110,-132,null,null,null,null,null,null,null,+130,-130,null
"Glover, Lucas","Eckroat, Austin",void,72-hole match,-149,+119,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-144,+120,null,null,null,null,null,null,null,-138,+138,null
"Jaeger, Stephan","Gerard, Ryan",void,72-hole match,+109,-139,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+115,-138,null,null,null,null,null,null,null,+155,-155,null
"Fowler, Rickie","Greyserman, Max",void,72-hole match,-127,-103,null,-112,-108,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,+100,null,null,null,null,null,null,null,+103,-103,null
"Hadwin, Adam","Dunlap, Nick",void,72-hole match,-226,+177,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-232,+190,null,null,null,null,null,null,null,-262,+262,null
"Fleetwood, Tommy","Thomas, Justin",void,72-hole match,-142,+112,null,-139,+114,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-150,+125,null,null,null,null,null,null,null,-132,+132,null
"Hoge, Tom","Novak, Andrew",void,72-hole match,-123,-107,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-108,-112,null,null,null,null,null,null,null,+108,-108,null
"Spaun, J.J.","Young, Cameron",void,72-hole match,-135,+105,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-138,+115,null,null,null,null,null,null,null,-157,+157,null
