PLAYER NAME,STROKES PREDICTION,FINAL PREDICTION,AM,COURSE NAME
"Scheffler, Scottie",66.44,3.098225162,0,TPC River Highlands
"Morikawa, Collin",67.52,2.014195549,0,TPC River Highlands
"Schauffele, Xander",67.86,1.677635746,0,TPC River Highlands
"Fleetwood, Tommy",67.88,1.659010219,0,TPC River Highlands
"McIlroy, Rory",67.88,1.650385722,0,TPC River Highlands
"Straka, Sepp",67.90,1.638596138,0,TPC River Highlands
"Cantlay, Patrick",67.90,1.637274213,0,TPC River Highlands
"Bradley, Keegan",67.92,1.616779951,0,TPC River Highlands
"Henley, Russell",67.96,1.57227292,0,TPC River Highlands
"Rai, Aaron",68.02,1.512649673,0,TPC River Highlands
"MacIntyre, Robert",68.12,1.416487297,0,TPC River Highlands
"Berger, Daniel",68.12,1.41024757,0,TPC River Highlands
"Griffin, Ben",68.13,1.400474429,0,TPC River Highlands
"Spaun, J.J.",68.13,1.400329633,0,TPC River Highlands
"Kim, Si Woo",68.15,1.385226302,0,TPC River Highlands
"Thomas, Justin",68.17,1.363802717,0,TPC River Highlands
"Hovland, Viktor",68.18,1.356516784,0,TPC River Highlands
"Lowry, Shane",68.19,1.340130798,0,TPC River Highlands
"Aberg, Ludvig",68.22,1.315202274,0,TPC River Highlands
"McNealy, Maverick",68.28,1.250762062,0,TPC River Highlands
"Spieth, Jordan",68.33,1.205368249,0,TPC River Highlands
"Burns, Sam",68.34,1.195980137,0,TPC River Highlands
"English, Harris",68.42,1.11826725,0,TPC River Highlands
"Matsuyama, Hideki",68.45,1.088766447,0,TPC River Highlands
"Poston, J.T.",68.48,1.056615889,0,TPC River Highlands
"Im, Sungjae",68.48,1.053259275,0,TPC River Highlands
"Day, Jason",68.52,1.011982689,0,TPC River Highlands
"Pendrith, Taylor",68.53,1.003959751,0,TPC River Highlands
"Scott, Adam",68.57,0.9627755882,0,TPC River Highlands
"Finau, Tony",68.57,0.9602160574,0,TPC River Highlands
"Taylor, Nick",68.58,0.9594449426,0,TPC River Highlands
"Bhatia, Akshay",68.59,0.9465304187,0,TPC River Highlands
"Harman, Brian",68.61,0.9245577609,0,TPC River Highlands
"Gerard, Ryan",68.64,0.8944083675,0,TPC River Highlands
"Novak, Andrew",68.65,0.8856962243,0,TPC River Highlands
"Thompson, Davis",68.69,0.8495836989,0,TPC River Highlands
"Fitzpatrick, Matt",68.74,0.7923647891,0,TPC River Highlands
"Cauley, Bud",68.76,0.7772321565,0,TPC River Highlands
"Stevens, Sam",68.77,0.7654364883,0,TPC River Highlands
"Young, Cameron",68.78,0.7594830633,0,TPC River Highlands
"McCarthy, Denny",68.80,0.7391801393,0,TPC River Highlands
"Hughes, Mackenzie",68.81,0.7284787869,0,TPC River Highlands
"Hoge, Tom",68.84,0.6918920478,0,TPC River Highlands
"Glover, Lucas",68.84,0.691629474,0,TPC River Highlands
"Yu, Kevin",68.86,0.6795680116,0,TPC River Highlands
"Hall, Harry",68.87,0.6606364962,0,TPC River Highlands
"Kim, Michael",68.88,0.6532735653,0,TPC River Highlands
"Greyserman, Max",68.88,0.6513004477,0,TPC River Highlands
"Bezuidenhout, Christiaan",68.90,0.636205285,0,TPC River Highlands
"Kim, Tom",68.92,0.6195952682,0,TPC River Highlands
"Fowler, Rickie",68.94,0.5999843542,0,TPC River Highlands
"Fox, Ryan",68.94,0.5994738808,0,TPC River Highlands
"Detry, Thomas",68.96,0.5746170873,0,TPC River Highlands
"Lee, Min Woo",68.98,0.5574423769,0,TPC River Highlands
"Noren, Alex",68.98,0.5565101024,0,TPC River Highlands
"Clanton, Luke",69.08,0.4574164812,0,TPC River Highlands
"Bridgeman, Jacob",69.13,0.4002506966,0,TPC River Highlands
"Vegas, Jhonattan",69.16,0.3762252146,0,TPC River Highlands
"Clark, Wyndham",69.18,0.3521946615,0,TPC River Highlands
"Jaeger, Stephan",69.20,0.333876461,0,TPC River Highlands
"An, Byeong Hun",69.23,0.302421543,0,TPC River Highlands
"Eckroat, Austin",69.27,0.260882579,0,TPC River Highlands
"Woodland, Gary",69.32,0.2171521261,0,TPC River Highlands
"Schmid, Matti",69.36,0.1782150096,0,TPC River Highlands
"Cole, Eric",69.40,0.1306470756,0,TPC River Highlands
"Homa, Max",69.65,-0.1135534646,0,TPC River Highlands
"Highsmith, Joe",69.67,-0.1393951455,0,TPC River Highlands
"Davis, Cam",69.68,-0.1443793459,0,TPC River Highlands
"Campbell, Brian",69.72,-0.187300402,0,TPC River Highlands
"Hadwin, Adam",69.75,-0.2196063843,0,TPC River Highlands
"Pavon, Matthieu",69.89,-0.358576448,0,TPC River Highlands
"Dunlap, Nick",70.96,-1.427299439,0,TPC River Highlands
