player_name,dg_id,my_pred,import_advice
scottie scheffler,18417,null,1) import file must include at least one of player_name or dg_id columns
collin morikawa,22085,null,2) import file must include my_pred column
xander schauffele,19895,null,3) it is not required you import all players; we will set any missing or unmatched players to our default prediction
tommy fleetwood,12294,null,
rory mcilroy,10091,null,
sepp straka,17511,null,
patrick cantlay,15466,null,
keegan bradley,13872,null,
russell henley,14578,null,
aaron rai,18554,null,
robert macintyre,23323,null,
daniel berger,17606,null,
ben griffin,24968,null,
j.j. spaun,17536,null,
si woo kim,14609,null,
justin thomas,14139,null,
viktor hovland,18841,null,
shane lowry,13900,null,
ludvig aberg,23950,null,
maverick mcnealy,18634,null,
jordan spieth,14636,null,
sam burns,19483,null,
harris english,14577,null,
hideki matsuyama,13562,null,
j.t. poston,21554,null,
sungjae im,17488,null,
jason day,9771,null,
taylor pendrith,17780,null,
adam scott,6430,null,
tony finau,11676,null,
nick taylor,13126,null,
akshay bhatia,26096,null,
brian harman,8825,null,
ryan gerard,29767,null,
andrew novak,23475,null,
davis thompson,27364,null,
matt fitzpatrick,17646,null,
bud cauley,14502,null,
sam stevens,25569,null,
cameron young,26651,null,
denny mccarthy,19870,null,
mackenzie hughes,15556,null,
tom hoge,15575,null,
lucas glover,7399,null,
kevin yu,17881,null,
harry hall,27194,null,
michael kim,17543,null,
max greyserman,23465,null,
christiaan bezuidenhout,18103,null,
tom kim,24766,null,
rickie fowler,12965,null,
ryan fox,11889,null,
thomas detry,14181,null,
min woo lee,16841,null,
alex noren,10419,null,
luke clanton,32330,null,
jacob bridgeman,29433,null,
jhonattan vegas,13508,null,
wyndham clark,23604,null,
stephan jaeger,16394,null,
byeong hun an,14459,null,
austin eckroat,26653,null,
gary woodland,12577,null,
matti schmid,20722,null,
eric cole,21756,null,
max homa,17538,null,
joe highsmith,28469,null,
cam davis,17786,null,
brian campbell,18628,null,
adam hadwin,13965,null,
matthieu pavon,19960,null,
nick dunlap,28270,null,
