name_p1,name_p2,ties,market,betcris_p1,betcris_p2,betcris_tie,pinnacle_p1,pinnacle_p2,pinnacle_tie,draftkings_p1,draftkings_p2,draftkings_tie,bet365_p1,bet365_p2,bet365_tie,fanduel_p1,fanduel_p2,fanduel_tie,betmgm_p1,betmgm_p2,betmgm_tie,pointsbet_p1,pointsbet_p2,pointsbet_tie,bovada_p1,bovada_p2,bovada_tie,betonline_p1,betonline_p2,betonline_tie,caesars_p1,caesars_p2,caesars_tie,unibet_p1,unibet_p2,unibet_tie,datagolf_p1,datagolf_p2,datagolf_tie
"Yu, Kevin","Bezuidenhout, Christiaan",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-110,-110,null,-110,-110,null,null,null,null,null,null,null,-106,+106,null
"Taylor, Nick","Kim, Tom",void,r1 match-up,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,null,null,null,-119,+119,null
"Hughes, Mackenzie","Hall, Harry",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-104,+104,null
"Day, Jason","Finau, Tony",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-110,-110,null,-105,-115,null,null,null,null,null,null,null,+101,-101,null
"Fox, Ryan","Thompson, Davis",void,r1 match-up,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,null,null,null,+118,-118,null
"Fleetwood, Tommy","Hovland, Viktor",void,r1 match-up,-123,-107,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,null,null,null,-118,+118,null
"Scott, Adam","Griffin, Ben",void,r1 match-up,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,null,null,null,+118,-118,null
"Berger, Daniel","MacIntyre, Robert",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,+106,-106,null
"Bradley, Keegan","Burns, Sam",void,r1 match-up,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,null,null,null,-120,+120,null
"McIlroy, Rory","Aberg, Ludvig",void,r1 match-up,null,null,null,null,null,null,null,null,null,-130,+110,null,null,null,null,null,null,null,null,null,null,-130,+110,null,-130,+109,null,null,null,null,null,null,null,-115,+115,null
