Team Name,Team Abbreviation,Team Rating,Home Field Advantage
Abilene Christian,ACU,-17.5,2.77
Air Force,AF,0,2.77
Akron,AKR,0,2.77
Alabama,BAMA,0,2.77
Alabama A&M,AAM,-17.5,2.77
Alabama State,ALAST,-17.5,2.77
Albany,ALB,-17.5,2.77
Alcorn State,ALCST,-17.5,2.77
Appalachian State,APP,0,2.77
Arizona,ARI,0,2.77
Arizona State,ASU,0,2.77
Arkansas,ARK,0,2.77
Arkansas-Pine Bluff,APB,-17.5,2.77
Arkansas State,ARKS,0,2.77
Army,ARM,0,2.77
Auburn,AUB,0,2.77
Austin Peay,APY,-17.5,2.77
Ball State,BALL,0,2.77
Baylor,BAY,0,2.77
Bethune-Cookman,BCU,-17.5,2.77
Boise State,BOISE,0,2.77
Boston College,BC,0,2.77
Bowling Green,BGN,0,2.77
Brown,BRN,-17.5,2.77
Bryant,BRY,-17.5,2.77
Bucknell,BUC,-17.5,2.77
Buffalo,BUF,0,2.77
Butler,BUT,-17.5,2.77
BYU,BYU,0,2.77
California,CAL,0,2.77
Cal Poly,CPS,-17.5,2.77
Campbell,CAM,-17.5,2.77
Central Arkansas,UCA,-17.5,2.77
Central Connecticut,CCSU,-17.5,2.77
Central Florida,UCF,0,2.77
Central Michigan,CMC,0,2.77
Charleston Southern,CCH,-17.5,2.77
Charlotte,CHA,0,2.77
Chattanooga,CHT,-17.5,2.77
Cincinnati,CIN,0,2.77
Clemson,CLE,0,2.77
Coastal Carolina,CC,0,2.77
Colgate,CGT,-17.5,2.77
Colorado,COL,0,2.77
Colorado State,CSU,0,2.77
Columbia,CMB,-17.5,2.77
Connecticut,CONN,0,2.77
Cornell,COR,-17.5,2.77
Dartmouth,DRT,-17.5,2.77
Davidson,DAV,-17.5,2.77
Dayton,DAY,-17.5,2.77
Delaware,DEL,-17.5,2.77
Delaware State,DLS,-17.5,2.77
Drake,DRA,-17.5,2.77
Duke,DUK,0,2.77
Duquesne,DUQ,-17.5,2.77
East Carolina,ECU,0,2.77
Eastern Illinois,EIL,-17.5,2.77
Eastern Kentucky,EKY,-17.5,2.77
Eastern Michigan,EMC,0,2.77
East Tennessee State,ETSU,-17.5,2.77
East Washington,EW,-17.5,2.77
Elon,ELO,-17.5,2.77
Florida,FLA,0,2.77
Florida A&M,FAMU,-17.5,2.77
Florida Atlantic,FAU,0,2.77
Florida International,FIU,0,2.77
Florida State,FSU,0,2.77
Fordham,FOR,-17.5,2.77
Fresno State,FRE,0,2.77
Furman,FUR,-17.5,2.77
Gardner-Webb,GWB,-17.5,2.77
Georgetown,GTOWN,-17.5,2.77
Georgia,UGA,0,2.77
Georgia Southern,GSO,0,2.77
Georgia State,GST,0,2.77
Georgia Tech,GT,0,2.77
Grambling,GRA,-17.5,2.77
Hampton,HAMP,-17.5,2.77
Harvard,HAR,-17.5,2.77
Hawaii,HAW,0,2.77
Holy Cross,HC,-17.5,2.77
Houston,HOU,0,2.77
Houston Christian,HB,-17.5,2.77
Howard,HOW,-17.5,2.77
Idaho,IDA,-17.5,2.77
Idaho State,IDS,-17.5,2.77
Illinois,ILL,0,2.77
Illinois State,ILS,-17.5,2.77
Incarnate Word,IW,-17.5,2.77
Indiana,IU,0,2.77
Indiana State,INDS,-17.5,2.77
Iowa,IOW,0,2.77
Iowa State,ISU,0,2.77
Jackson St,JST,-17.5,2.77
Jacksonville State,JVS,0,2.77
James Madison,JMU,0,2.77
Kansas,KAN,0,2.77
Kansas State,KST,0,2.77
Kennesaw St,KENN,0,2.77
Kent State,KNT,0,2.77
Kentucky,KEN,0,2.77
Lafayette,LAF,-17.5,2.77
Lamar,LAM,-17.5,2.77
Lehigh,LEI,-17.5,2.77
Liberty,LIB,0,2.77
Lindenwood University,LINU,-17.5,2.77
Long Island,LIUCWP,-17.5,2.77
Louisiana Tech,LT,0,2.77
Louisville,LOU,0,2.77
LSU,LSU,0,2.77
Maine,UMAINE,-17.5,2.77
Marist Red,MST,-17.5,2.77
Marshall,MSH,0,2.77
Maryland,MAR,0,2.77
Massachusetts,UMASS,0,2.77
McNeese State,MCN,-17.5,2.77
Memphis,MEM,0,2.77
Mercer,MER,-17.5,2.77
Mercyhurst,MHU,-17.5,2.77
Merrimack College,MC,-17.5,2.77
Miami Florida,MFL,0,2.77
Miami Ohio,MOH,0,2.77
Michigan,MICH,0,2.77
Michigan State,MSU,0,2.77
Middle Tennessee State,MTS,0,2.77
Minnesota,MIN,0,2.77
Mississippi,MIS,0,2.77
Mississippi State,MSST,0,2.77
Mississippi Valley State,MVS,-17.5,2.77
Missouri,MIZ,0,2.77
Missouri State,MIZST,-17.5,2.77
Monmouth,MNM,-17.5,2.77
Montana,MONT,-17.5,2.77
Montana State,MOS,-17.5,2.77
Morehead State,MOR,-17.5,2.77
Morgan State,MGN,-17.5,2.77
Murray State,MUR,-17.5,2.77
Navy,NAV,0,2.77
NC State,NCST,0,2.77
Nebraska,NEB,0,2.77
Nevada,NEV,0,2.77
New Hampshire,NH,-17.5,2.77
New Mexico,NM,0,2.77
New Mexico State,NMS,0,2.77
