name_p1,name_p2,ties,market,betcris_p1,betcris_p2,betcris_tie,pinnacle_p1,pinnacle_p2,pinnacle_tie,draftkings_p1,draftkings_p2,draftkings_tie,bet365_p1,bet365_p2,bet365_tie,fanduel_p1,fanduel_p2,fanduel_tie,betmgm_p1,betmgm_p2,betmgm_tie,pointsbet_p1,pointsbet_p2,pointsbet_tie,bovada_p1,bovada_p2,bovada_tie,betonline_p1,betonline_p2,betonline_tie,caesars_p1,caesars_p2,caesars_tie,unibet_p1,unibet_p2,unibet_tie,datagolf_p1,datagolf_p2,datagolf_tie
"Thomas, Justin","Aberg, Ludvig",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-105,-115,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+106,+112,+2306
"Thomas, Justin","Aberg, Ludvig",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+106,-127,null,null,null,null,null,null,null,-103,+103,null
"Berger, Daniel","Rai, Aaron",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,+125,+2238
"Bradley, Keegan","English, Harris",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-104,+124,+2163
"Bradley, Keegan","English, Harris",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,+100,null,-120,-110,null,null,null,null,-114,+114,null
"Hatton, Tyrrell","Cantlay, Patrick",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+110,-134,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+132,-111,+2224
"Burns, Sam","Griffin, Ben",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+110,+107,+2313
"Henley, Russell","Spieth, Jordan",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-115,-105,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+112,+106,+2239
"Koepka, Brooks","Hovland, Viktor",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,+115,-138,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+137,-115,+2218
"Lowry, Shane","Straka, Sepp",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-105,-115,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-100,+120,+2181
"Matsuyama, Hideki","Conners, Corey",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-105,-115,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+133,-113,+2299
"McIlroy, Rory","Rahm, Jon",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-115,-105,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+152,-129,+2350
"McIlroy, Rory","Rahm, Jon",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+100,-125,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+142,-142,null
"McNealy, Maverick","MacIntyre, Robert",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+121,-102,+2206
"Fleetwood, Tommy","Niemann, Joaquin",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-110,-110,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+118,+101,+2221
"Fleetwood, Tommy","Niemann, Joaquin",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-111,-111,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,+109,-109,null
"Schauffele, Xander","Morikawa, Collin",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-115,-105,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+119,-100,+2229
"Schauffele, Xander","Morikawa, Collin",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,+110,-110,null
"Scheffler, Scottie","DeChambeau, Bryson",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,-220,+175,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-137,+164,+2181
"Scheffler, Scottie","DeChambeau, Bryson",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-194,+160,null,null,null,null,null,null,null,-153,+153,null
"Scheffler, Scottie","Rahm, Jon",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-219,+180,null,null,null,null,null,null,null,-208,+208,null
"Rahm, Jon","DeChambeau, Bryson",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+130,-157,null,+125,-155,null,null,null,null,+136,-136,null
"McIlroy, Rory","Schauffele, Xander",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,+100,null,null,null,null,null,null,null,-112,+112,null
"McIlroy, Rory","Morikawa, Collin",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,-102,+102,null
"Lowry, Shane","Niemann, Joaquin",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+112,-134,null,null,null,null,null,null,null,+123,-123,null
"Fleetwood, Tommy","Lowry, Shane",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-125,+105,null,-130,+100,null,null,null,null,-112,+112,null
"Cantlay, Patrick","Aberg, Ludvig",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,-103,+103,null
"Thomas, Justin","Cantlay, Patrick",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-111,-111,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,+100,-100,null
"Straka, Sepp","Conners, Corey",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,+109,-109,null
"Straka, Sepp","Hovland, Viktor",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-118,-105,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,-122,+122,null
"Conners, Corey","Hovland, Viktor",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,+100,null,null,null,null,null,null,null,-131,+131,null
"Spieth, Jordan","Hatton, Tyrrell",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,+100,null,null,null,null,null,null,null,-101,+101,null
"Henley, Russell","Griffin, Ben",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,+105,-105,null
"Matsuyama, Hideki","Burns, Sam",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,+104,-104,null
"Koepka, Brooks","Fitzpatrick, Matt",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,+104,-104,null
