player_name,dg_id,my_pred,import_advice
scottie scheffler,18417,null,1) import file must include at least one of player_name or dg_id columns
bryson dechambeau,19841,null,2) import file must include my_pred column
jon rahm,19195,null,3) it is not required you import all players; we will set any missing or unmatched players to our default prediction
joaquin niemann,18079,null,
rory mcilroy,10091,null,
collin morikawa,22085,null,
tommy fleetwood,12294,null,
xander schauffele,19895,null,
shane lowry,13900,null,
justin thomas,14139,null,
corey conners,17576,null,
patrick cantlay,15466,null,
ludvig aberg,23950,null,
sepp straka,17511,null,
keegan bradley,13872,null,
sam burns,19483,null,
ben griffin,24968,null,
jordan spieth,14636,null,
tyrrell hatton,14796,null,
hideki matsuyama,13562,null,
robert macintyre,23323,null,
russell henley,14578,null,
daniel berger,17606,null,
viktor hovland,18841,null,
taylor pendrith,17780,null,
harris english,14577,null,
maverick mcnealy,18634,null,
si woo kim,14609,null,
j.j. spaun,17536,null,
tony finau,11676,null,
aaron rai,18554,null,
carlos ortiz,14735,null,
akshay bhatia,26096,null,
min woo lee,16841,null,
patrick reed,14838,null,
sungjae im,17488,null,
matt fitzpatrick,17646,null,
andrew novak,23475,null,
cameron young,26651,null,
denny mccarthy,19870,null,
nick taylor,13126,null,
ryan fox,11889,null,
brooks koepka,16243,null,
thorbjorn olesen,13412,null,
ryan gerard,29767,null,
adam scott,6430,null,
davis thompson,27364,null,
j.t. poston,21554,null,
jason day,9771,null,
bud cauley,14502,null,
rasmus hojgaard,23838,null,
rasmus neergaard-petersen,23841,null,
matt wallace,20706,null,
matt mccarty,28635,null,
mackenzie hughes,15556,null,
max greyserman,23465,null,
michael kim,17543,null,
chris gotterup,27774,null,
cameron smith,15856,null,
sam stevens,25569,null,
thomas detry,14181,null,
jordan smith,18586,null,
byeong hun an,14459,null,
emiliano grillo,12808,null,
wyndham clark,23604,null,
jacob bridgeman,29433,null,
mark hubbard,16333,null,
tom hoge,15575,null,
eric cole,21756,null,
christiaan bezuidenhout,18103,null,
stephan jaeger,16394,null,
victor perez,20730,null,
brian harman,8825,null,
doug ghim,24550,null,
johnny keefer,32457,null,
marc leishman,7649,null,
tom kim,24766,null,
dustin johnson,12422,null,
erik van rooyen,17550,null,
gary woodland,12577,null,
lucas glover,7399,null,
davis riley,19872,null,
jackson koivun,32319,null,
niklas norgaard,15676,null,
jhonattan vegas,13508,null,
chris kirk,12423,null,
justin rose,6093,null,
laurie canter,14795,null,
richard bland,6516,null,
nico echavarria,22833,null,
matthew jordan,25601,null,
sam bairstow,28615,null,
cam davis,17786,null,
joe highsmith,28469,null,
takumi kanaya,19729,null,
justin lower,17723,null,
frederic lacroix,23733,null,
brian campbell,18628,null,
guido migliozzi,17357,null,
scott vincent,14559,null,
lanto griffin,15330,null,
jacques kruyswijk,16896,null,
jinichiro kozuma,14209,null,
edoardo molinari,7033,null,
thriston lawrence,18105,null,
matthieu pavon,19960,null,
michael la sasso,30036168,null,
phil mickelson,1547,null,
emilio gonzalez,28016,null,
alistair docherty,24962,null,
ben james,29827,null,
andrea pavan,12177,null,
zac blair,17639,null,
alvaro ortiz,26190,null,
adam schenk,19477,null,
trent phillips,26913,null,
chandler blanchet,24956,null,
kevin velo,27762,null,
zach bauchou,19846,null,
trevor cone,21880,null,
joakim lagergren,14780,null,
riki kawamoto,22844,null,
jose luis ballester,28473,null,
ryan mccormick,18536,null,
yuta sugiura,24223,null,
preston summerhays,26746,null,
will chandler,31212,null,
roberto diaz,15394,null,
nick dunlap,28270,null,
james hahn,11374,null,
lance simpson,30037717,null,
james nicholas,27598,null,
justin hastings,31960,null,
jackson buchanan,32333,null,
tyler weaver,30035392,null,
riley lewis,32521,null,
frankie harris,30029940,null,
maxwell moldovan,29769,null,
zachery pollo,30035503,null,
philip barbaree,21993,null,
austen truslow,18239,null,
cameron tankersley,28271,null,
bryan lee,30029799,null,
evan beck,22025,null,
brady calkins,29766,null,
chase johnson,25334,null,
mason howell,30040406,null,
george duangmanee,27350,null,
noah kent,33354,null,
harrison ott,29922,null,
george kneiser,27658,null,
justin hicks,9166,null,
grant haefner,30034233,null,
matt vogt,30032406,null,
joey herrera,31518,null,
trevor gutschewski,32684,null,
