PLAYER NAME,STROKES PREDICTION,FINAL PREDICTION,AM,COURSE NAME
"Scheffler, Scottie",69.69,3.35596631,0,Oakmont Country Club
"DeChambeau, Bryson",70.26,2.793234928,0,Oakmont Country Club
"Rahm, Jon",70.71,2.338304994,0,Oakmont Country Club
"Niemann, Joaquin",71.17,1.883287819,0,Oakmont Country Club
"McIlroy, Rory",71.18,1.866218378,0,Oakmont Country Club
"Morikawa, Collin",71.24,1.809097416,0,Oakmont Country Club
"Fleetwood, Tommy",71.28,1.768086982,0,Oakmont Country Club
"Schauffele, Xander",71.37,1.682289004,0,Oakmont Country Club
"Lowry, Shane",71.46,1.58590547,0,Oakmont Country Club
"Thomas, Justin",71.48,1.573267121,0,Oakmont Country Club
"Conners, Corey",71.49,1.559379377,0,Oakmont Country Club
"Cantlay, Patrick",71.50,1.549572484,0,Oakmont Country Club
"Aberg, Ludvig",71.54,1.511403969,0,Oakmont Country Club
"Straka, Sepp",71.60,1.453769599,0,Oakmont Country Club
"Bradley, Keegan",71.70,1.35104246,0,Oakmont Country Club
"Burns, Sam",71.74,1.308680089,0,Oakmont Country Club
"Griffin, Ben",71.74,1.308540191,0,Oakmont Country Club
"Spieth, Jordan",71.75,1.297216535,0,Oakmont Country Club
"Hatton, Tyrrell",71.79,1.264154387,0,Oakmont Country Club
"Matsuyama, Hideki",71.80,1.250523414,0,Oakmont Country Club
"MacIntyre, Robert",71.80,1.248466903,0,Oakmont Country Club
"Henley, Russell",71.80,1.245235348,0,Oakmont Country Club
"Berger, Daniel",71.83,1.217926591,0,Oakmont Country Club
"Hovland, Viktor",71.88,1.174285321,0,Oakmont Country Club
"Pendrith, Taylor",71.89,1.158190742,0,Oakmont Country Club
"English, Harris",71.90,1.150520631,0,Oakmont Country Club
"McNealy, Maverick",71.96,1.087830658,0,Oakmont Country Club
"Kim, Si Woo",71.99,1.063126352,0,Oakmont Country Club
"Spaun, J.J.",72.01,1.040808341,0,Oakmont Country Club
"Finau, Tony",72.02,1.029306443,0,Oakmont Country Club
"Rai, Aaron",72.05,1.003002731,0,Oakmont Country Club
"Ortiz, Carlos",72.12,0.9291891637,0,Oakmont Country Club
"Bhatia, Akshay",72.14,0.9124035995,0,Oakmont Country Club
"Lee, Min Woo",72.14,0.9095729088,0,Oakmont Country Club
"Reed, Patrick",72.15,0.904074968,0,Oakmont Country Club
"Im, Sungjae",72.15,0.8993136926,0,Oakmont Country Club
"Fitzpatrick, Matt",72.18,0.8714846276,0,Oakmont Country Club
"Novak, Andrew",72.22,0.8336530931,0,Oakmont Country Club
"Young, Cameron",72.24,0.8136121184,0,Oakmont Country Club
"McCarthy, Denny",72.24,0.8131100236,0,Oakmont Country Club
"Taylor, Nick",72.24,0.8113563224,0,Oakmont Country Club
"Fox, Ryan",72.25,0.7995212495,0,Oakmont Country Club
"Koepka, Brooks",72.26,0.7898722338,0,Oakmont Country Club
"Olesen, Thorbjorn",72.26,0.7866769398,0,Oakmont Country Club
"Gerard, Ryan",72.28,0.7737146491,0,Oakmont Country Club
"Scott, Adam",72.28,0.7679899692,0,Oakmont Country Club
"Thompson, Davis",72.28,0.7662874579,0,Oakmont Country Club
"Poston, J.T.",72.29,0.761310872,0,Oakmont Country Club
"Day, Jason",72.33,0.7237168901,0,Oakmont Country Club
"Cauley, Bud",72.34,0.7125152828,0,Oakmont Country Club
"Hojgaard, Rasmus",72.38,0.6693584757,0,Oakmont Country Club
"Neergaard-Petersen, Rasmus",72.41,0.644200255,0,Oakmont Country Club
"Wallace, Matt",72.41,0.6419240275,0,Oakmont Country Club
"McCarty, Matt",72.42,0.630991651,0,Oakmont Country Club
"Hughes, Mackenzie",72.42,0.6295334643,0,Oakmont Country Club
"Greyserman, Max",72.44,0.6114402776,0,Oakmont Country Club
"Kim, Michael",72.44,0.6103846184,0,Oakmont Country Club
"Gotterup, Chris",72.48,0.5726549233,0,Oakmont Country Club
"Smith, Cameron",72.50,0.5547802408,0,Oakmont Country Club
"Stevens, Sam",72.50,0.5477354287,0,Oakmont Country Club
"Detry, Thomas",72.50,0.5461594474,0,Oakmont Country Club
"Smith, Jordan",72.52,0.5313993014,0,Oakmont Country Club
"An, Byeong Hun",72.52,0.5266262416,0,Oakmont Country Club
"Grillo, Emiliano",72.57,0.4767239271,0,Oakmont Country Club
"Clark, Wyndham",72.58,0.4743860249,0,Oakmont Country Club
"Bridgeman, Jacob",72.62,0.4284815055,0,Oakmont Country Club
"Hubbard, Mark",72.63,0.4219105063,0,Oakmont Country Club
"Hoge, Tom",72.64,0.4141733928,0,Oakmont Country Club
"Cole, Eric",72.65,0.4031579133,0,Oakmont Country Club
"Bezuidenhout, Christiaan",72.65,0.3963927547,0,Oakmont Country Club
"Jaeger, Stephan",72.66,0.3933489581,0,Oakmont Country Club
"Perez, Victor",72.66,0.3900160776,0,Oakmont Country Club
"Harman, Brian",72.67,0.3847099139,0,Oakmont Country Club
"Ghim, Doug",72.67,0.3808142653,0,Oakmont Country Club
"Keefer, Johnny",72.70,0.3524945171,0,Oakmont Country Club
"Leishman, Marc",72.70,0.3481935556,0,Oakmont Country Club
"Kim, Tom",72.71,0.3421857998,0,Oakmont Country Club
"Johnson, Dustin",72.73,0.3214399549,0,Oakmont Country Club
"Van Rooyen, Erik",72.74,0.3064150174,0,Oakmont Country Club
"Woodland, Gary",72.76,0.2948476801,0,Oakmont Country Club
"Glover, Lucas",72.81,0.2434101184,0,Oakmont Country Club
"Riley, Davis",72.83,0.2243554276,0,Oakmont Country Club
"Koivun, Jackson",72.83,0.2227324245,1,Oakmont Country Club
"Norgaard, Niklas",72.83,0.2170774881,0,Oakmont Country Club
"Vegas, Jhonattan",72.88,0.1735772148,0,Oakmont Country Club
"Kirk, Chris",72.88,0.1655595241,0,Oakmont Country Club
"Rose, Justin",72.93,0.1182570847,0,Oakmont Country Club
"Canter, Laurie",72.96,0.09388461965,0,Oakmont Country Club
"Bland, Richard",72.97,0.08229917949,0,Oakmont Country Club
"Echavarria, Nico",72.99,0.05958927478,0,Oakmont Country Club
"Jordan, Matthew",73.08,-0.03067110086,0,Oakmont Country Club
"Bairstow, Sam",73.09,-0.03775132932,0,Oakmont Country Club
"Davis, Cam",73.09,-0.04289758704,0,Oakmont Country Club
"Highsmith, Joe",73.10,-0.05464149898,0,Oakmont Country Club
"Kanaya, Takumi",73.11,-0.05796286542,0,Oakmont Country Club
"Lower, Justin",73.15,-0.1017781532,0,Oakmont Country Club
"Lacroix, Frederic",73.27,-0.2218223681,0,Oakmont Country Club
"Campbell, Brian",73.28,-0.2333128587,0,Oakmont Country Club
"Migliozzi, Guido",73.37,-0.3198656383,0,Oakmont Country Club
"Vincent, Scott",73.39,-0.3428031034,0,Oakmont Country Club
"Griffin, Lanto",73.40,-0.3489680479,0,Oakmont Country Club
"Kruyswijk, Jacques",73.42,-0.3746721412,0,Oakmont Country Club
"Kozuma, Jinichiro",73.45,-0.401877358,0,Oakmont Country Club
"Molinari, Edoardo",73.46,-0.4124451708,0,Oakmont Country Club
"Lawrence, Thriston",73.47,-0.4153219969,0,Oakmont Country Club
"Pavon, Matthieu",73.49,-0.4376342355,0,Oakmont Country Club
"La Sasso, Michael",73.50,-0.4508868353,0,Oakmont Country Club
"Mickelson, Phil",73.52,-0.4694916371,0,Oakmont Country Club
