name_p1,name_p2,ties,market,betcris_p1,betcris_p2,betcris_tie,pinnacle_p1,pinnacle_p2,pinnacle_tie,draftkings_p1,draftkings_p2,draftkings_tie,bet365_p1,bet365_p2,bet365_tie,fanduel_p1,fanduel_p2,fanduel_tie,betmgm_p1,betmgm_p2,betmgm_tie,pointsbet_p1,pointsbet_p2,pointsbet_tie,bovada_p1,bovada_p2,bovada_tie,betonline_p1,betonline_p2,betonline_tie,caesars_p1,caesars_p2,caesars_tie,unibet_p1,unibet_p2,unibet_tie,datagolf_p1,datagolf_p2,datagolf_tie
"Kim, Si Woo","Pendrith, Taylor",void,r1 match-up,null,null,null,null,null,null,-120,-105,null,-105,-115,null,-115,-110,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,null,null,null,+107,-107,null
"Schauffele, Xander","Aberg, Ludvig",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-108,+108,null
"Bradley, Keegan","Fitzpatrick, Matt",void,r1 match-up,null,null,null,null,null,null,null,null,null,-120,+100,null,null,null,null,null,null,null,null,null,null,-120,+100,null,null,null,null,null,null,null,null,null,null,-122,+122,null
"Matsuyama, Hideki","Cantlay, Patrick",void,r1 match-up,null,null,null,null,null,null,null,null,null,+105,-125,null,null,null,null,null,null,null,null,null,null,+105,-125,null,null,null,null,null,null,null,null,null,null,+113,-113,null
"Fleetwood, Tommy","Lowry, Shane",void,r1 match-up,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,null,null,null,-108,+108,null
"English, Harris","Griffin, Ben",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,+107,-107,null
"McIlroy, Rory","DeChambeau, Bryson",void,r1 match-up,null,null,null,null,null,null,null,null,null,+145,-170,null,null,null,null,null,null,null,null,null,null,+145,-175,null,+129,-155,null,null,null,null,null,null,null,+151,-151,null
"McNealy, Maverick","MacIntyre, Robert",void,r1 match-up,null,null,null,null,null,null,-110,-115,null,-110,-110,null,-110,-115,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,+105,-105,null
"Clark, Wyndham","Bhatia, Akshay",void,r1 match-up,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,null,null,null,+120,-120,null
"Fox, Ryan","Young, Cameron",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,+101,-101,null
"Henley, Russell","Hovland, Viktor",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-103,+103,null
"Lee, Min Woo","Im, Sungjae",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-101,+101,null
"Koepka, Brooks","Berger, Daniel",void,r1 match-up,null,null,null,null,null,null,+100,-130,null,+100,-120,null,+100,-125,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,null,null,null,+120,-120,null
"Taylor, Nick","Ortiz, Carlos",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,+105,-105,null
"Thomas, Justin","Straka, Sepp",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-104,+104,null
"Spieth, Jordan","Conners, Corey",void,r1 match-up,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,null,null,null,+114,-114,null
"Hatton, Tyrrell","Burns, Sam",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,+103,-103,null
"Leishman, Marc","Johnson, Dustin",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,+101,-101,null
"Scheffler, Scottie","Rahm, Jon",void,r1 match-up,null,null,null,null,null,null,null,null,null,-170,+145,null,null,null,null,null,null,null,null,null,null,-175,+145,null,-180,+149,null,null,null,null,null,null,null,-157,+157,null
"Niemann, Joaquin","Morikawa, Collin",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,-102,+102,null
"Day, Jason","Finau, Tony",void,r1 match-up,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,null,null,null,+113,-113,null
