player_name,sample_size,DG_odds,bet365_odds,bet365_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,betcris_odds,betcris_ev,caesars_odds,caesars_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,betonline_odds,betonline_ev,unibet_odds,unibet_ev,betmgm_odds,betmgm_ev,betfair_odds,betfair_ev,pinnacle_odds,pinnacle_ev
"Reed, Patrick",150,-377,-455,-0.036,,0.00,-450,-0.034,,0.00,-455,-0.036,,0.00,,0.00,-417,-0.020,-556,-0.067,-455,-0.036,,0.00,,0.00
"Neergaard-Petersen, Rasmus",150,-310,-345,-0.024,,0.00,-340,-0.021,,0.00,-333,-0.017,,0.00,,0.00,-345,-0.024,-400,-0.055,,0.00,,0.00,,0.00
"Puig, David",150,-310,-400,-0.055,,0.00,-300,0.008,,0.00,-303,0.005,,0.00,,0.00,-323,-0.010,-345,-0.025,-345,-0.025,,0.00,,0.00
"Smith, Jordan",150,-288,-278,0.009,,0.00,-275,0.012,,0.00,-278,0.009,,0.00,,0.00,-303,-0.013,-345,-0.043,-278,0.009,,0.00,,0.00
"Penge, Marco",150,-223,-278,-0.061,,0.00,-225,-0.003,,0.00,-227,-0.006,,0.00,,0.00,-250,-0.034,-294,-0.075,-278,-0.061,,0.00,,0.00
"Chacarra, Eugenio",150,-223,-250,-0.034,,0.00,-225,-0.003,,0.00,-227,-0.006,,0.00,,0.00,-250,-0.034,-270,-0.054,-227,-0.006,,0.00,,0.00
"Schmid, Matti",150,-217,-278,-0.068,,0.00,-225,-0.011,,0.00,-227,-0.014,,0.00,,0.00,-250,-0.041,-270,-0.062,-250,-0.041,,0.00,,0.00
"Li, Haotong",150,-188,-250,-0.086,,0.00,-250,-0.086,,0.00,-250,-0.086,,0.00,,0.00,,0.00,-250,-0.086,-250,-0.086,,0.00,,0.00
"Ferguson, Ewen",150,-225,-200,0.039,,0.00,-200,0.039,,0.00,-200,0.039,,0.00,,0.00,-250,-0.030,-270,-0.051,-200,0.039,,0.00,,0.00
"Schaper, Jayden",150,-213,-227,-0.019,,0.00,-225,-0.016,,0.00,-227,-0.019,,0.00,,0.00,-250,-0.047,-294,-0.088,-227,-0.019,,0.00,,0.00
"Laporta, Francesco",150,-202,-200,0.003,,0.00,-200,0.003,,0.00,-200,0.003,,0.00,,0.00,,0.00,-270,-0.084,-200,0.003,,0.00,,0.00
"Garcia, Sergio",150,-196,-250,-0.072,,0.00,-275,-0.096,,0.00,-278,-0.099,,0.00,,0.00,-227,-0.046,-270,-0.092,-278,-0.099,,0.00,,0.00
"Nakajima, Keita",150,-186,-200,-0.024,,0.00,-190,-0.007,,0.00,-189,-0.004,,0.00,,0.00,,0.00,-200,-0.024,-200,-0.024,,0.00,,0.00
"Couvra, Martin",150,-182,-250,-0.097,,0.00,-225,-0.068,,0.00,-227,-0.071,,0.00,,0.00,,0.00,-250,-0.097,-250,-0.097,,0.00,,0.00
"Saddier, Adrien",150,-191,-189,0.004,,0.00,-200,-0.015,,0.00,-200,-0.015,,0.00,,0.00,,0.00,-250,-0.081,-200,-0.015,,0.00,,0.00
"Canter, Laurie",150,-180,-227,-0.075,,0.00,-190,-0.019,,0.00,-189,-0.017,,0.00,,0.00,,0.00,-222,-0.068,-227,-0.075,,0.00,,0.00
"Schneider, Marcel",150,-174,-189,-0.028,,0.00,-190,-0.030,,0.00,-189,-0.028,,0.00,,0.00,,0.00,,0.00,-189,-0.028,,0.00,,0.00
"Reitan, Kristoffer",150,-168,-227,-0.097,,0.00,-175,-0.015,,0.00,-175,-0.016,,0.00,,0.00,,0.00,-222,-0.091,-189,-0.041,,0.00,,0.00
"Luiten, Joost",150,-189,-189,-0.000,,0.00,-190,-0.003,,0.00,-189,-0.000,,0.00,,0.00,,0.00,-222,-0.053,-189,-0.000,,0.00,,0.00
"Ayora, Angel",150,-179,-189,-0.019,,0.00,-175,0.008,,0.00,-175,0.007,,0.00,,0.00,,0.00,,0.00,-189,-0.019,,0.00,,0.00
"Von Dellingshausen, Nicolai",150,-176,-189,-0.024,,0.00,-175,0.002,,0.00,-175,0.001,,0.00,,0.00,,0.00,,0.00,-200,-0.043,,0.00,,0.00
"Fitzpatrick, Alex",150,-164,,0.00,,0.00,-150,0.036,,0.00,-149,0.038,,0.00,,0.00,,0.00,,0.00,-161,0.007,,0.00,,0.00
"Stone, Brandon",150,-159,,0.00,,0.00,-140,0.053,,0.00,-141,0.050,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Campillo, Jorge",150,-155,-175,-0.045,,0.00,-165,-0.023,,0.00,-164,-0.021,,0.00,,0.00,,0.00,-200,-0.087,-161,-0.014,,0.00,,0.00
"Parry, John",150,-164,,0.00,,0.00,-150,0.036,,0.00,-149,0.038,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Jordan, Matthew",150,-145,,0.00,,0.00,-165,-0.050,,0.00,-164,-0.048,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Hill, Calum",150,-138,-175,-0.090,,0.00,-165,-0.069,,0.00,-164,-0.067,,0.00,,0.00,,0.00,,0.00,-175,-0.090,,0.00,,0.00
"Lacroix, Frederic",150,-146,,0.00,,0.00,-140,0.018,,0.00,-141,0.016,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Crocker, Sean",150,-135,,0.00,,0.00,-140,-0.015,,0.00,-141,-0.017,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Mansell, Richard",150,-149,,0.00,,0.00,-140,0.025,,0.00,-141,0.023,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Hillier, Daniel",150,-144,-189,-0.097,,0.00,-150,-0.016,,0.00,-149,-0.014,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Lindell, Oliver",150,-147,-161,-0.037,,0.00,-165,-0.045,,0.00,-164,-0.043,,0.00,,0.00,,0.00,-172,-0.061,-175,-0.067,,0.00,,0.00
"Zanotti, Fabrizio",150,-143,,0.00,,0.00,-140,0.008,,0.00,-141,0.006,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Molinari, Edoardo",150,-135,,0.00,,0.00,-140,-0.017,,0.00,-161,-0.071,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Guerrier, Julien",150,-136,,0.00,,0.00,-165,-0.076,,0.00,-164,-0.073,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Sullivan, Andy",150,-136,,0.00,,0.00,-150,-0.040,,0.00,-149,-0.038,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Bairstow, Sam",150,-136,,0.00,,0.00,-150,-0.039,,0.00,-149,-0.037,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Kruyswijk, Jacques",150,-135,,0.00,,0.00,-150,-0.042,,0.00,-149,-0.040,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Olesen, Jacob Skov",150,-124,,0.00,,0.00,-120,0.016,,0.00,-120,0.014,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Norris, Shaun",150,-130,,0.00,,0.00,-150,-0.059,,0.00,-149,-0.057,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Veerman, Johannes",150,-121,,0.00,,0.00,-150,-0.088,,0.00,-149,-0.086,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
