player_name,sample_size,DG_odds,bet365_odds,bet365_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,betcris_odds,betcris_ev,caesars_odds,caesars_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,betonline_odds,betonline_ev,unibet_odds,unibet_ev,betmgm_odds,betmgm_ev,betfair_odds,betfair_ev,pinnacle_odds,pinnacle_ev
"Reed, Patrick",150,+377,+300,-0.162,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,+325,-0.109,+335,-0.088,+320,-0.120,,0.00,,0.00
"Neergaard-Petersen, Rasmus",150,+310,+250,-0.147,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,+275,-0.086,+250,-0.147,,0.00,,0.00,,0.00
"Puig, David",150,+310,+275,-0.085,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,+250,-0.146,+225,-0.207,+260,-0.121,,0.00,,0.00
"Smith, Jordan",150,+288,+200,-0.226,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,+240,-0.123,+225,-0.162,+210,-0.201,,0.00,,0.00
"Penge, Marco",150,+223,+200,-0.071,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,+200,-0.071,+200,-0.071,+210,-0.040,,0.00,,0.00
"Chacarra, Eugenio",150,+223,+175,-0.148,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,+200,-0.071,+188,-0.108,+175,-0.148,,0.00,,0.00
"Schmid, Matti",150,+217,+200,-0.055,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,+200,-0.055,+188,-0.093,+190,-0.086,,0.00,,0.00
"Li, Haotong",150,+188,+175,-0.044,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,+175,-0.044,+190,0.008,,0.00,,0.00
"Ferguson, Ewen",150,+225,+150,-0.231,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,+200,-0.078,+188,-0.114,+160,-0.201,,0.00,,0.00
"Schaper, Jayden",150,+213,+163,-0.161,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,+200,-0.043,+200,-0.043,+175,-0.123,,0.00,,0.00
