player_name,sample_size,DG_odds,bet365_odds,bet365_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,betcris_odds,betcris_ev,caesars_odds,caesars_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,betonline_odds,betonline_ev,unibet_odds,unibet_ev,betmgm_odds,betmgm_ev,betfair_odds,betfair_ev,pinnacle_odds,pinnacle_ev
"Reed, Patrick",150,+216,+175,-0.129,+160,-0.176,+160,-0.176,,0.00,+160,-0.176,+138,-0.246,+125,-0.287,+165,-0.160,+163,-0.167,+137,-0.249,,0.00,,0.00
"Neergaard-Petersen, Rasmus",150,+262,+230,-0.090,+200,-0.172,+200,-0.172,,0.00,+200,-0.172,+210,-0.145,+180,-0.228,+200,-0.172,+250,-0.034,+180,-0.228,,0.00,,0.00
"Puig, David",150,+276,+210,-0.175,+220,-0.148,+225,-0.135,,0.00,+175,-0.268,+210,-0.175,+160,-0.308,+215,-0.161,+240,-0.095,+200,-0.201,,0.00,,0.00
"Smith, Jordan",150,+314,+300,-0.034,+280,-0.083,+280,-0.083,,0.00,+280,-0.083,+250,-0.155,+260,-0.131,+250,-0.155,+260,-0.131,+260,-0.131,,0.00,,0.00
"Penge, Marco",150,+404,+300,-0.206,+360,-0.087,+360,-0.087,,0.00,+360,-0.087,+333,-0.141,+260,-0.286,+300,-0.206,+300,-0.206,+260,-0.286,,0.00,,0.00
"Chacarra, Eugenio",150,+440,+333,-0.198,+360,-0.147,+360,-0.147,,0.00,+360,-0.147,+350,-0.166,+280,-0.296,+315,-0.231,+375,-0.120,+275,-0.305,,0.00,,0.00
"Schmid, Matti",150,+441,+300,-0.261,+360,-0.150,+360,-0.150,,0.00,+360,-0.150,+333,-0.200,+260,-0.335,+300,-0.261,+300,-0.261,+275,-0.307,,0.00,,0.00
"Li, Haotong",150,+502,+333,-0.280,+300,-0.335,+300,-0.335,,0.00,+300,-0.335,+275,-0.377,+280,-0.368,+300,-0.335,+300,-0.335,+300,-0.335,,0.00,,0.00
"Ferguson, Ewen",150,+441,+450,0.017,+450,0.017,+450,0.017,,0.00,+450,0.017,+400,-0.075,+350,-0.168,+315,-0.233,+450,0.017,+350,-0.168,,0.00,,0.00
"Schaper, Jayden",150,+461,+425,-0.065,+360,-0.181,+360,-0.181,,0.00,+360,-0.181,+333,-0.229,+280,-0.323,+300,-0.288,+300,-0.288,+350,-0.198,,0.00,,0.00
"Laporta, Francesco",150,+499,+450,-0.082,+400,-0.166,+400,-0.166,,0.00,+400,-0.166,+400,-0.166,+400,-0.166,+400,-0.166,+500,0.001,+350,-0.249,,0.00,,0.00
"Garcia, Sergio",150,+498,+375,-0.206,+280,-0.365,+280,-0.365,,0.00,+280,-0.365,+275,-0.373,+260,-0.398,+300,-0.331,+300,-0.331,+260,-0.398,,0.00,,0.00
"Nakajima, Keita",150,+558,+450,-0.164,+500,-0.087,+500,-0.087,,0.00,+500,-0.087,+450,-0.164,+350,-0.316,+400,-0.240,+450,-0.164,+350,-0.316,,0.00,,0.00
"Couvra, Martin",150,+557,+333,-0.341,+400,-0.239,+400,-0.239,,0.00,+400,-0.239,+350,-0.315,+260,-0.452,+400,-0.239,+300,-0.391,+300,-0.391,,0.00,,0.00
"Saddier, Adrien",150,+553,+550,-0.005,+450,-0.158,+450,-0.158,,0.00,+450,-0.158,+400,-0.235,+425,-0.196,+400,-0.235,+450,-0.158,+350,-0.311,,0.00,,0.00
"Canter, Laurie",150,+615,+425,-0.266,+400,-0.301,+400,-0.301,,0.00,+400,-0.301,+400,-0.301,+350,-0.370,+450,-0.231,+450,-0.231,+333,-0.394,,0.00,,0.00
"Schneider, Marcel",150,+589,+550,-0.056,+500,-0.129,+500,-0.129,,0.00,+500,-0.129,+500,-0.129,+425,-0.238,+400,-0.274,+500,-0.129,+450,-0.201,,0.00,,0.00
"Reitan, Kristoffer",150,+631,+425,-0.281,+500,-0.179,+500,-0.179,,0.00,+400,-0.316,+500,-0.179,+425,-0.281,+450,-0.247,+500,-0.179,+350,-0.384,,0.00,,0.00
"Luiten, Joost",150,+600,+500,-0.143,+450,-0.215,+450,-0.215,,0.00,+450,-0.215,+400,-0.286,+425,-0.250,+450,-0.215,+500,-0.143,+400,-0.286,,0.00,,0.00
"Ayora, Angel",150,+607,+550,-0.081,+500,-0.151,+500,-0.151,,0.00,+500,-0.151,+500,-0.151,+425,-0.257,+500,-0.151,+600,-0.010,+400,-0.293,,0.00,,0.00
"Von Dellingshausen, Nicolai",150,+652,+550,-0.135,+500,-0.202,+500,-0.202,,0.00,+500,-0.202,+500,-0.202,+425,-0.302,+450,-0.268,+500,-0.202,+350,-0.401,,0.00,,0.00
"Fitzpatrick, Alex",150,+721,+750,0.035,+650,-0.087,+650,-0.087,,0.00,+650,-0.087,+600,-0.148,+550,-0.209,+600,-0.148,+600,-0.148,+550,-0.209,,0.00,,0.00
"Stone, Brandon",150,+756,+700,-0.065,+750,-0.007,+750,-0.007,,0.00,+750,-0.007,+700,-0.065,+650,-0.124,+600,-0.182,+750,-0.007,+650,-0.124,,0.00,,0.00
"Campillo, Jorge",150,+791,+550,-0.271,+650,-0.158,+650,-0.158,,0.00,+650,-0.158,+550,-0.271,+425,-0.411,+650,-0.158,+500,-0.327,+550,-0.271,,0.00,,0.00
"Parry, John",150,+739,+750,0.013,+550,-0.225,+550,-0.225,,0.00,+550,-0.225,+650,-0.106,+600,-0.166,+600,-0.166,+650,-0.106,+600,-0.166,,0.00,,0.00
"Jordan, Matthew",150,+874,+700,-0.179,+550,-0.333,+550,-0.333,,0.00,+550,-0.333,+500,-0.384,+500,-0.384,+550,-0.333,+600,-0.282,+550,-0.333,,0.00,,0.00
"Hill, Calum",150,+862,+550,-0.324,+600,-0.272,+600,-0.272,,0.00,+600,-0.272,+550,-0.324,+500,-0.376,+450,-0.428,+600,-0.272,+500,-0.376,,0.00,,0.00
"Lacroix, Frederic",150,+845,+750,-0.101,+750,-0.101,+750,-0.101,,0.00,+750,-0.101,+700,-0.154,+650,-0.207,+650,-0.207,+650,-0.207,+650,-0.207,,0.00,,0.00
"Crocker, Sean",150,+888,+750,-0.140,+750,-0.140,+750,-0.140,,0.00,+750,-0.140,+700,-0.190,+600,-0.291,+700,-0.190,+650,-0.241,+650,-0.241,,0.00,,0.00
"Mansell, Richard",150,+829,+750,-0.085,+750,-0.085,+750,-0.085,,0.00,+750,-0.085,+700,-0.139,+600,-0.246,+650,-0.193,+750,-0.085,+600,-0.246,,0.00,,0.00
"Hillier, Daniel",150,+842,+550,-0.310,+650,-0.204,+650,-0.204,,0.00,+650,-0.204,+600,-0.257,+550,-0.310,+450,-0.416,+600,-0.257,+450,-0.416,,0.00,,0.00
"Lindell, Oliver",150,+840,+600,-0.255,+600,-0.255,+600,-0.255,,0.00,+600,-0.255,+550,-0.309,+500,-0.362,+700,-0.149,+500,-0.362,+500,-0.362,,0.00,,0.00
"Zanotti, Fabrizio",150,+839,+800,-0.041,+800,-0.041,+800,-0.041,,0.00,+800,-0.041,+750,-0.095,+650,-0.201,+650,-0.201,+650,-0.201,+750,-0.095,,0.00,,0.00
"Molinari, Edoardo",150,+917,+850,-0.066,+850,-0.066,+850,-0.066,,0.00,+850,-0.066,+800,-0.115,+800,-0.115,+700,-0.213,+650,-0.262,+850,-0.066,,0.00,,0.00
"Guerrier, Julien",150,+938,+750,-0.181,+650,-0.277,+650,-0.277,,0.00,+650,-0.277,+650,-0.277,+550,-0.374,+700,-0.229,+600,-0.326,+600,-0.326,,0.00,,0.00
"Sullivan, Andy",150,+915,+750,-0.162,+650,-0.261,+650,-0.261,,0.00,+650,-0.261,+550,-0.359,+500,-0.409,+500,-0.409,+600,-0.310,+600,-0.310,,0.00,,0.00
"Bairstow, Sam",150,+956,+700,-0.242,+700,-0.242,+700,-0.242,,0.00,+700,-0.242,+700,-0.242,+550,-0.385,+700,-0.242,+900,-0.053,+650,-0.290,,0.00,,0.00
"Kruyswijk, Jacques",150,+1002,+850,-0.138,+700,-0.274,+700,-0.274,,0.00,+700,-0.274,+700,-0.274,+650,-0.319,+800,-0.183,+900,-0.093,+800,-0.183,,0.00,,0.00
"Olesen, Jacob Skov",150,+1030,+850,-0.159,+850,-0.159,+850,-0.159,,0.00,+850,-0.159,+850,-0.159,+650,-0.336,+800,-0.204,+650,-0.336,+750,-0.248,,0.00,,0.00
"Norris, Shaun",150,+1010,+850,-0.144,+650,-0.325,+650,-0.325,,0.00,+650,-0.325,+650,-0.325,+650,-0.325,+700,-0.279,+900,-0.099,+600,-0.370,,0.00,,0.00
"Veerman, Johannes",150,+1090,+850,-0.202,+650,-0.370,+650,-0.370,,0.00,+650,-0.370,+650,-0.370,+550,-0.454,+600,-0.412,+650,-0.370,+550,-0.454,,0.00,,0.00
"Clements, Todd",150,+1111,+1000,-0.092,+1000,-0.092,+1000,-0.092,,0.00,+1000,-0.092,+900,-0.174,+800,-0.257,+800,-0.257,+900,-0.174,+1000,-0.092,,0.00,,0.00
