player_name,sample_size,DG_odds,bet365_odds,bet365_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,betcris_odds,betcris_ev,caesars_odds,caesars_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,betonline_odds,betonline_ev,unibet_odds,unibet_ev,betmgm_odds,betmgm_ev,betfair_odds,betfair_ev,pinnacle_odds,pinnacle_ev
"Reed, Patrick",150,+1609,+1200,-0.239,+1200,-0.239,+1200,-0.239,+1326,-0.166,+1200,-0.239,+1200,-0.239,+1200,-0.239,+1400,-0.122,+1000,-0.356,+1200,-0.239,,0.00,+1412,-0.115
"Neergaard-Petersen, Rasmus",150,+1928,+1800,-0.063,+1600,-0.162,+1600,-0.162,+1858,-0.035,+1600,-0.162,+1600,-0.162,+1800,-0.063,+1800,-0.063,+1800,-0.063,+1400,-0.261,,0.00,+1651,-0.137
"Puig, David",150,+2135,+1400,-0.329,+1600,-0.239,+1800,-0.150,+1351,-0.351,+1600,-0.239,+1400,-0.329,+1600,-0.239,+1400,-0.329,+1400,-0.329,+1600,-0.239,,0.00,+1711,-0.190
"Smith, Jordan",150,+2608,+2500,-0.040,+2500,-0.040,+2500,-0.040,+2351,-0.095,+2200,-0.151,+2500,-0.040,+2800,0.071,+2500,-0.040,+2500,-0.040,+2500,-0.040,,0.00,+2471,-0.050
"Penge, Marco",150,+3455,+2500,-0.269,+3300,-0.043,+3000,-0.128,+2751,-0.198,+3000,-0.128,+2200,-0.353,+2800,-0.184,+3000,-0.128,+2800,-0.184,+2500,-0.269,,0.00,+2818,-0.179
"Chacarra, Eugenio",150,+3982,+2800,-0.289,+3500,-0.118,+3000,-0.240,+3152,-0.203,+2800,-0.289,+2800,-0.289,+3000,-0.240,+2500,-0.363,+3300,-0.167,+2800,-0.289,,0.00,+3265,-0.176
"Schmid, Matti",150,+4070,+2500,-0.376,+3500,-0.137,+3000,-0.257,+2301,-0.424,+2800,-0.304,+2500,-0.376,+2800,-0.304,+2800,-0.304,+2800,-0.304,+2800,-0.304,,0.00,+2982,-0.261
"Li, Haotong",150,+4251,+2800,-0.333,+2500,-0.402,+2500,-0.402,+3352,-0.207,+2200,-0.471,+2800,-0.333,+3000,-0.288,+3000,-0.288,+2800,-0.333,+3000,-0.288,,0.00,+3345,-0.208
"Ferguson, Ewen",150,+4267,+4000,-0.061,+4500,0.053,+4000,-0.061,+3572,-0.159,+3500,-0.176,+3300,-0.221,+4000,-0.061,+4000,-0.061,+3300,-0.221,+4000,-0.061,,0.00,+4267,0.000
"Schaper, Jayden",150,+4401,+3500,-0.200,+3500,-0.200,+3500,-0.200,+3152,-0.278,+3500,-0.200,+3300,-0.245,+3000,-0.311,+4000,-0.089,+3300,-0.245,+4000,-0.089,,0.00,+3831,-0.127
