tournament_year,course_name,round_num,hole_num,hole_par,hole_yardage,scoring_avg,rel_scoring_avg,eagles_or_better,birdies,pars,bogeys,doubles_or_worse
2023,Detroit Golf Club,1,1,4,380,3.69,-0.31,1,51,100,4,0
2023,Detroit Golf Club,1,2,4,456,4.2,0.2,0,15,107,26,8
2023,Detroit Golf Club,1,3,4,386,3.78,-0.22,0,46,99,11,0
2023,Detroit Golf Club,1,4,5,631,4.78,-0.22,1,44,100,11,0
2023,Detroit Golf Club,1,5,3,165,2.89,-0.11,0,35,104,16,1
2023,Detroit Golf Club,1,6,4,472,4.24,0.24,0,14,94,45,3
2023,Detroit Golf Club,1,7,5,540,4.32,-0.68,11,89,51,5,0
2023,Detroit Golf Club,1,8,4,383,3.99,-0.01,0,30,101,22,3
2023,Detroit Golf Club,1,9,3,200,3.19,0.19,0,14,101,38,3
2023,Detroit Golf Club,1,10,4,422,3.92,-0.08,1,27,112,16,0
2023,Detroit Golf Club,1,11,3,223,3.17,0.17,0,12,105,39,0
2023,Detroit Golf Club,1,12,4,499,4.22,0.22,0,14,95,45,2
2023,Detroit Golf Club,1,13,4,401,3.99,-0.01,1,25,105,24,1
2023,Detroit Golf Club,1,14,5,570,4.53,-0.47,2,85,54,14,1
2023,Detroit Golf Club,1,15,3,142,2.96,-0.04,0,24,114,18,0
2023,Detroit Golf Club,1,16,4,449,4.06,0.06,0,18,112,24,2
2023,Detroit Golf Club,1,17,5,578,4.42,-0.58,3,91,56,6,0
2023,Detroit Golf Club,1,18,4,462,4.03,0.03,2,19,108,27,0
2023,Detroit Golf Club,2,1,4,396,3.9,-0.1,0,37,99,16,3
2023,Detroit Golf Club,2,2,4,441,3.93,-0.07,0,28,112,13,2
2023,Detroit Golf Club,2,3,4,397,3.74,-0.26,0,51,94,9,1
2023,Detroit Golf Club,2,4,5,618,4.62,-0.38,2,65,79,8,1
2023,Detroit Golf Club,2,5,3,157,2.85,-0.15,0,35,110,9,1
2023,Detroit Golf Club,2,6,4,456,4.19,0.19,0,11,104,40,0
2023,Detroit Golf Club,2,7,5,564,4.54,-0.46,1,84,56,13,1
2023,Detroit Golf Club,2,8,4,358,3.86,-0.14,1,41,95,15,3
2023,Detroit Golf Club,2,9,3,205,3.2,0.2,0,9,108,36,2
2023,Detroit Golf Club,2,10,4,423,3.85,-0.15,0,40,101,12,2
2023,Detroit Golf Club,2,11,3,238,3.2800000000000002,0.28,0,10,95,46,4
2023,Detroit Golf Club,2,12,4,496,4.14,0.14,0,14,107,33,1
2023,Detroit Golf Club,2,13,4,383,3.86,-0.14,0,35,106,14,0
2023,Detroit Golf Club,2,14,5,561,4.56,-0.44,4,72,67,12,0
2023,Detroit Golf Club,2,15,3,153,2.83,-0.17,0,33,115,7,0
2023,Detroit Golf Club,2,16,4,456,4.04,0.04,0,18,113,24,0
2023,Detroit Golf Club,2,17,5,568,4.43,-0.57,7,79,64,5,0
2023,Detroit Golf Club,2,18,4,451,3.94,-0.06,0,32,106,12,5
2023,Detroit Golf Club,3,1,4,396,3.93,-0.07,0,16,58,10,0
2023,Detroit Golf Club,3,2,4,456,3.96,-0.04,0,19,50,14,1
2023,Detroit Golf Club,3,3,4,376,3.69,-0.31,0,26,58,0,0
2023,Detroit Golf Club,3,4,5,633,4.51,-0.49,3,39,38,4,0
2023,Detroit Golf Club,3,5,3,147,2.82,-0.18,0,18,63,3,0
2023,Detroit Golf Club,3,6,4,472,4.19,0.19,0,8,52,24,0
2023,Detroit Golf Club,3,7,5,562,4.38,-0.62,5,45,31,3,0
2023,Detroit Golf Club,3,8,4,372,4.01,0.01,0,16,52,15,1
2023,Detroit Golf Club,3,9,3,186,2.93,-0.07,0,13,64,7,0
2023,Detroit Golf Club,3,10,4,427,3.89,-0.11,0,19,56,8,1
2023,Detroit Golf Club,3,11,3,206,3.08,0.08,0,10,59,13,2
2023,Detroit Golf Club,3,12,4,484,3.96,-0.04,0,14,60,9,1
2023,Detroit Golf Club,3,13,4,389,3.87,-0.13,0,20,55,9,0
2023,Detroit Golf Club,3,14,5,554,4.52,-0.48,3,46,29,2,4
2023,Detroit Golf Club,3,15,3,161,2.82,-0.18,0,20,59,5,0
2023,Detroit Golf Club,3,16,4,456,3.96,-0.04,1,8,68,7,0
2023,Detroit Golf Club,3,17,5,579,4.48,-0.52,1,44,37,2,0
2023,Detroit Golf Club,3,18,4,443,3.93,-0.07,0,19,52,13,0
2023,Detroit Golf Club,4,1,4,390,3.88,-0.12,0,17,60,7,0
2023,Detroit Golf Club,4,2,4,460,4.12,0.12,0,9,57,17,1
2023,Detroit Golf Club,4,3,4,403,3.88,-0.12,0,19,57,7,1
2023,Detroit Golf Club,4,4,5,619,4.81,-0.19,0,21,58,5,0
2023,Detroit Golf Club,4,5,3,174,2.95,-0.05,0,14,61,8,1
2023,Detroit Golf Club,4,6,4,480,4.12,0.12,0,8,58,18,0
2023,Detroit Golf Club,4,7,5,544,4.33,-0.67,6,51,21,5,1
2023,Detroit Golf Club,4,8,4,379,3.86,-0.14,0,20,56,8,0
2023,Detroit Golf Club,4,9,3,212,3.11,0.11,0,8,59,17,0
2023,Detroit Golf Club,4,10,4,429,3.85,-0.15,0,22,54,7,1
2023,Detroit Golf Club,4,11,3,235,3.11,0.11,0,7,61,16,0
2023,Detroit Golf Club,4,12,4,487,3.98,-0.02,0,10,66,8,0
2023,Detroit Golf Club,4,13,4,398,3.94,-0.06,1,11,64,8,0
2023,Detroit Golf Club,4,14,5,571,4.98,-0.02,0,23,48,7,6
2023,Detroit Golf Club,4,15,3,140,2.82,-0.18,1,21,54,8,0
2023,Detroit Golf Club,4,16,4,453,4.04,0.04,0,8,65,11,0
2023,Detroit Golf Club,4,17,5,569,4.55,-0.45,0,41,40,3,0
2023,Detroit Golf Club,4,18,4,474,4.02,0.02,0,9,65,9,1
