player_name,sample_size,baseline,country_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"McNealy, Maverick",150,1.202,0.000,29,0.013,0.081,0.041,0.138,0.062,-0.052,0.021,-0.005,-0.036,1.499,2.862,"3M Open","TPC Twin Cities"
"Burns, Sam",150,1.315,0.000,29,0.016,-0.010,0.030,0.017,0.079,-0.059,0.010,-0.013,-0.063,1.384,2.867,"3M Open","TPC Twin Cities"
"Gotterup, Chris",150,1.164,0.000,26,0.029,-0.009,0.075,0.163,0.021,-0.141,-0.054,-0.004,-0.200,1.243,2.866,"3M Open","TPC Twin Cities"
"Kim, Si Woo",150,0.879,0.000,30,0.011,-0.052,0.005,0.278,-0.016,0.028,0.085,0.003,0.116,1.222,2.808,"3M Open","TPC Twin Cities"
"Bhatia, Akshay",150,0.828,0.000,23,0.040,0.069,0.033,0.103,-0.039,0.003,0.042,0.001,0.046,1.081,2.843,"3M Open","TPC Twin Cities"
"Pendrith, Taylor",150,1.001,0.000,34,-0.007,0.038,-0.002,0.003,0.023,-0.094,-0.016,-0.002,-0.111,0.945,2.822,"3M Open","TPC Twin Cities"
"Clark, Wyndham",150,0.807,0.000,31,0.004,0.031,0.085,0.006,0.061,-0.081,-0.044,-0.012,-0.138,0.857,2.920,"3M Open","TPC Twin Cities"
"Im, Sungjae",150,0.451,0.000,27,0.023,0.005,0.064,0.150,0.039,0.026,0.069,-0.014,0.080,0.814,2.860,"3M Open","TPC Twin Cities"
"Fowler, Rickie",150,0.742,0.000,36,-0.017,-0.041,0.108,-0.020,0.012,-0.014,0.031,-0.004,0.014,0.797,2.901,"3M Open","TPC Twin Cities"
"Bezuidenhout, Christiaan",150,0.684,0.000,31,0.006,-0.027,0.074,-0.033,-0.035,0.083,0.053,-0.012,0.124,0.794,2.822,"3M Open","TPC Twin Cities"
"Thompson, Davis",150,0.593,0.000,26,0.029,0.016,-0.013,0.205,-0.031,-0.038,0.030,0.000,-0.008,0.790,2.820,"3M Open","TPC Twin Cities"
"Yu, Kevin",150,0.747,0.000,26,0.025,0.011,0.008,0.054,-0.019,-0.068,0.013,0.001,-0.054,0.773,2.838,"3M Open","TPC Twin Cities"
"Putnam, Andrew",150,0.667,0.000,36,-0.017,-0.007,0.089,-0.260,0.025,0.177,0.093,-0.014,0.256,0.751,2.806,"3M Open","TPC Twin Cities"
"Kitayama, Kurt",150,0.588,0.000,32,0.000,0.065,0.056,0.121,0.009,-0.098,-0.030,0.005,-0.122,0.717,2.874,"3M Open","TPC Twin Cities"
