player_name,sample_size,baseline,country_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"DeChambeau, Bryson",150,1.828,-0.025,31,0.003,-0.006,0.072,0.334,-0.005,0.154,0.013,0.000,0.168,2.369,2.920,"LIV United Kingdom","JCB Golf and Country Club"
"Rahm, Jon",150,1.947,0.045,30,0.008,-0.036,0.058,0.178,0.027,0.079,-0.015,0.000,0.064,2.292,2.858,"LIV United Kingdom","JCB Golf and Country Club"
"Niemann, Joaquin",150,1.304,-0.016,26,0.026,-0.012,-0.013,0.190,0.028,0.101,0.016,0.000,0.117,1.623,2.899,"LIV United Kingdom","JCB Golf and Country Club"
"Hatton, Tyrrell",150,1.433,0.048,33,-0.005,-0.011,0.060,0.057,0.028,0.022,-0.011,0.000,0.011,1.619,2.860,"LIV United Kingdom","JCB Golf and Country Club"
"Reed, Patrick",150,0.845,0.065,34,-0.010,-0.015,0.039,-0.074,-0.021,-0.020,0.003,0.000,-0.017,0.811,2.850,"LIV United Kingdom","JCB Golf and Country Club"
"Puig, David",150,0.657,-0.037,23,0.039,-0.015,-0.055,0.006,0.034,0.087,0.066,0.000,0.153,0.784,2.927,"LIV United Kingdom","JCB Golf and Country Club"
"Munoz, Sebastian",150,0.669,-0.003,32,0.000,-0.001,0.036,0.093,-0.002,-0.019,-0.072,0.000,-0.091,0.702,2.859,"LIV United Kingdom","JCB Golf and Country Club"
"Ortiz, Carlos",150,0.592,-0.009,34,-0.007,-0.016,-0.001,0.068,-0.029,0.029,0.006,0.000,0.034,0.632,2.921,"LIV United Kingdom","JCB Golf and Country Club"
"McKibbin, Tom",150,0.401,0.007,22,0.044,-0.014,0.045,0.122,-0.060,0.045,-0.015,0.000,0.030,0.575,2.842,"LIV United Kingdom","JCB Golf and Country Club"
"Herbert, Lucas",150,0.299,0.043,29,0.013,0.003,-0.023,0.085,0.012,0.043,0.040,0.000,0.083,0.516,2.948,"LIV United Kingdom","JCB Golf and Country Club"
"Smith, Cameron",150,0.474,-0.007,31,0.003,0.007,0.061,-0.217,0.050,-0.005,0.087,0.000,0.083,0.453,2.906,"LIV United Kingdom","JCB Golf and Country Club"
"Gooch, Talor",150,0.422,-0.012,33,-0.005,0.013,0.082,-0.041,0.032,-0.028,-0.053,0.000,-0.082,0.410,2.895,"LIV United Kingdom","JCB Golf and Country Club"
"Johnson, Dustin",150,0.282,-0.009,41,-0.037,-0.027,0.222,-0.087,0.002,0.030,0.014,0.000,0.045,0.389,2.941,"LIV United Kingdom","JCB Golf and Country Club"
"Burmester, Dean",150,0.144,-0.021,36,-0.015,-0.014,-0.034,0.093,-0.016,0.100,0.083,0.000,0.183,0.320,2.875,"LIV United Kingdom","JCB Golf and Country Club"
"Tringale, Cameron",150,0.513,-0.017,37,-0.023,0.000,0.019,-0.168,0.035,-0.019,-0.020,0.000,-0.040,0.319,2.853,"LIV United Kingdom","JCB Golf and Country Club"
"Varner III, Harold",150,-0.092,-0.022,34,-0.010,-0.000,0.074,0.308,0.024,0.039,-0.003,0.000,0.036,0.317,2.892,"LIV United Kingdom","JCB Golf and Country Club"
"Casey, Paul",150,0.381,0.046,48,-0.068,-0.002,-0.048,0.004,0.035,-0.005,-0.052,0.000,-0.057,0.292,2.858,"LIV United Kingdom","JCB Golf and Country Club"
