player_name,sample_size,baseline,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Rai, Aaron",150,0.987,30,0.010,0.008,-0.079,0.187,0.024,0.102,0.353,0.001,0.456,1.592,2.636,"Wyndham Championship","Sedgefield Country Club"
"Fitzpatrick, Matt",150,1.331,30,0.007,0.026,0.071,-0.020,-0.017,-0.022,0.062,-0.031,0.009,1.406,2.707,"Wyndham Championship","Sedgefield Country Club"
"Bradley, Keegan",150,1.423,39,-0.028,-0.007,-0.054,-0.003,0.019,-0.048,0.077,-0.014,0.014,1.365,2.661,"Wyndham Championship","Sedgefield Country Club"
"Kim, Si Woo",150,0.779,30,0.011,-0.045,-0.048,0.256,0.169,0.036,0.182,0.010,0.228,1.349,2.643,"Wyndham Championship","Sedgefield Country Club"
"MacIntyre, Robert",150,1.287,29,0.016,0.058,-0.115,0.035,-0.038,-0.013,0.076,-0.018,0.045,1.287,2.639,"Wyndham Championship","Sedgefield Country Club"
"Griffin, Ben",150,1.359,29,0.015,0.017,-0.188,0.006,0.076,-0.025,0.008,-0.020,-0.037,1.247,2.632,"Wyndham Championship","Sedgefield Country Club"
"Glover, Lucas",150,0.920,45,-0.057,-0.101,-0.051,-0.007,0.196,0.086,0.221,0.014,0.320,1.221,2.641,"Wyndham Championship","Sedgefield Country Club"
"Spieth, Jordan",150,1.107,32,0.003,-0.063,-0.000,0.089,0.020,-0.063,0.024,-0.015,-0.054,1.101,2.655,"Wyndham Championship","Sedgefield Country Club"
"Matsuyama, Hideki",150,1.324,33,-0.004,-0.021,-0.067,-0.129,0.031,0.006,-0.033,-0.024,-0.051,1.083,2.699,"Wyndham Championship","Sedgefield Country Club"
"Gerard, Ryan",150,0.676,26,0.029,0.035,-0.105,0.247,-0.024,0.000,0.129,0.022,0.150,1.008,2.694,"Wyndham Championship","Sedgefield Country Club"
"Bhatia, Akshay",150,0.846,23,0.040,0.057,0.030,0.001,-0.044,0.003,0.070,-0.002,0.071,1.002,2.681,"Wyndham Championship","Sedgefield Country Club"
"Bezuidenhout, Christiaan",150,0.749,31,0.006,-0.051,0.072,-0.023,0.043,0.101,0.135,-0.038,0.197,0.993,2.658,"Wyndham Championship","Sedgefield Country Club"
"Poston, J.T.",150,0.628,32,0.002,-0.046,-0.125,0.172,0.128,0.048,0.147,-0.012,0.183,0.943,2.672,"Wyndham Championship","Sedgefield Country Club"
