player_name,dg_id,proj,my_proj,import_advice
sam burns,19483,79.8,null,1) import file must include at least one of player_name or dg_id columns
maverick mcnealy,18634,81.8,null,2) import file must include my_proj column
chris gotterup,27774,76.8,null,3) it is not required you import all players; we will set any missing or unmatched players to the current page values
wyndham clark,23604,70.9,null,
rickie fowler,12965,69.8,null,
taylor pendrith,17780,71.4,null,
max greyserman,23465,67.3,null,
si woo kim,14609,76.3,null,
tony finau,11676,63.9,null,
sungjae im,17488,69.5,null,
jake knapp,19396,65.1,null,
davis thompson,27364,67.8,null,
kurt kitayama,21891,67.8,null,
keith mitchell,17365,63.4,null,
michael thorbjornsen,26649,67.3,null,
emiliano grillo,12808,65.4,null,
max homa,17538,60.5,null,
adam scott,6430,66.1,null,
luke clanton,32330,60,null,
akshay bhatia,26096,73.5,null,
kevin yu,17881,68.5,null,
haotong li,15310,59.1,null,
cameron champ,23542,55.9,null,
rico hoey,23504,67.3,null,
alex smalley,18474,65.3,null,
vince whaley,25908,63,null,
lee hodges,25157,62.1,null,
matt wallace,20706,67,null,
jesper svensson,26850,64,null,
pierceson coody,28309,61.1,null,
sam stevens,25569,66.3,null,
jacob bridgeman,29433,61.1,null,
patrick fishburn,25094,58.6,null,
sahith theegala,23014,57.3,null,
alex noren,10419,62.8,null,
tom kim,24766,62.6,null,
jhonattan vegas,13508,61.4,null,
taylor moore,21944,58.3,null,
doug ghim,24550,66.3,null,
kevin roy,18424,62.3,null,
matti schmid,20722,62.2,null,
thorbjorn olesen,13412,61.9,null,
niklas norgaard,15676,56.5,null,
christiaan bezuidenhout,18103,68.1,null,
matt mccarty,28635,64.6,null,
erik van rooyen,17550,61.7,null,
byeong hun an,14459,60.9,null,
mark hubbard,16333,60,null,
beau hossler,15470,66.7,null,
austin eckroat,26653,61.3,null,
mackenzie hughes,15556,61.3,null,
chris kirk,12423,60.1,null,
victor perez,20730,58.9,null,
gary woodland,12577,57.1,null,
cam davis,17786,53.1,null,
andrew putnam,14704,67.9,null,
tom hoge,15575,60.9,null,
ryo hisatsune,22760,60.1,null,
hayden springer,21995,56.8,null,
patrick rodgers,16283,55.9,null,
eric cole,21756,55.5,null,
sami valimaki,23816,55.5,null,
william mouw,29770,54.3,null,
max mcgreevy,23505,64.1,null,
sam ryder,16715,59.8,null,
thriston lawrence,18105,59.6,null,
antoine rozner,18770,57.9,null,
ricky castillo,27819,57.4,null,
chandler phillips,27164,57,null,
jackson suber,29279,52.9,null,
davis riley,19872,51,null,
kris ventura,15651,57.2,null,
steven fisk,26657,55.5,null,
chan kim,15004,55.1,null,
seamus power,10104,54.7,null,
chad ramey,19840,53.8,null,
david lipsky,15980,53.8,null,
brice garnett,11451,53.5,null,
garrick higgo,24342,52,null,
henrik norlander,11657,56.2,null,
david skinns,10873,54.6,null,
joe highsmith,28469,53.7,null,
webb simpson,11049,52.2,null,
nick hardy,19865,51.2,null,
luke list,7960,51.1,null,
preston stout,32089,50.9,null,
joseph bramlett,14698,50.8,null,
takumi kanaya,19729,61.3,null,
carson young,23656,57.4,null,
quade cummins,27996,56,null,
thomas rosenmueller,22736,55.9,null,
ben kohles,16395,55.5,null,
isaiah salinda,27183,53.8,null,
adam hadwin,13965,52,null,
karl vilips,24304,46.3,null,
joel dahmen,14509,56.1,null,
greyson sigg,23482,53.5,null,
nate lashley,10943,53.2,null,
will gordon,26660,52.4,null,
adam svensson,13997,51.6,null,
mac meissner,28159,50.6,null,
dylan wu,25002,50.6,null,
jeremy paul,22087,48.7,null,
zach johnson,6986,54,null,
lanto griffin,15330,53,null,
brandt snedeker,8820,50.7,null,
justin lower,17723,49.9,null,
matthieu pavon,19960,49.4,null,
danny walker,25003,49.1,null,
adam schenk,19477,48.7,null,
taylor montgomery,25442,48.5,null,
gordon sargent,30814,33.5,null,
paul peterson,16341,54.9,null,
ben silverman,17381,53.8,null,
trevor cone,21880,48.6,null,
chesson hadley,14967,48.6,null,
harry higgs,14140,48.1,null,
trey mullinax,18761,46.4,null,
david ford,31343,45.8,null,
troy merritt,13367,42,null,
michael la sasso,33755,41,null,
max herendeen,30035226,37.4,null,
brendan valdes,31188,50.5,null,
noah goodwin,24837,48.8,null,
john pak,27820,47.3,null,
hayden buckley,25363,45,null,
patton kizzire,13470,44.8,null,
danny willett,12920,44.2,null,
peter malnati,14926,43.7,null,
kevin kisner,11328,41.5,null,
josh radcliff,24496,27.2,null,
carson herron,32819,24.8,null,
kevin velo,27762,43.5,null,
matthew riedel,30892,41.7,null,
camilo villegas,9171,41,null,
philip knowles,24562,40.9,null,
cristobal del solar,17422,40.5,null,
kaito onishi,25263,40.3,null,
will chandler,31212,40.1,null,
nick dunlap,28270,39.7,null,
rafael campos,12909,39,null,
frankie capan iii,21412,36.1,null,
stephen stallings jr.,25335,27.2,null,
chez reavie,7961,45.2,null,
taylor dickson,27420,39.7,null,
braden thornberry,23502,37.4,null,
anders albertson,21235,37.1,null,
harrison endycott,19208,36.5,null,
mason andersen,23540,36.5,null,
yi cao,15067,35.9,null,
aaron baddeley,6252,34.6,null,
ryan palmer,7820,31,null,
thomas campbell,18359,29.5,null,
michael feuerstein,24502,28.6,null,
brandon matthews,22981,25.8,null,
