player_name,dg_id,proj,my_proj,import_advice
bryson dechambeau,19841,82.9,null,1) import file must include at least one of player_name or dg_id columns
jon rahm,19195,80.9,null,2) import file must include my_proj column
tyrrell hatton,14796,73.1,null,3) it is not required you import all players; we will set any missing or unmatched players to the current page values
joaquin niemann,18079,73.1,null,
david puig,28984,64.1,null,
patrick reed,14838,63.7,null,
talor gooch,18580,60.2,null,
sebastian munoz,20770,62.6,null,
abraham ancer,18238,57.7,null,
carlos ortiz,14735,62.3,null,
cameron smith,15856,60.6,null,
sergio garcia,5689,57.8,null,
cameron tringale,14013,58.4,null,
brooks koepka,16243,58.5,null,
tom mckibbin,22322,60.6,null,
lucas herbert,17064,61.2,null,
paul casey,7108,58.1,null,
dustin johnson,12422,60.3,null,
louis oosthuizen,7672,56.7,null,
anirban lahiri,12669,56.4,null,
dean burmester,14424,59.1,null,
marc leishman,7649,56.3,null,
harold varner iii,16602,59,null,
thomas pieters,13944,57.9,null,
charl schwartzel,7398,55.9,null,
bubba watson,7334,55.9,null,
richard bland,6516,53.2,null,
jinichiro kozuma,14209,56.5,null,
charles howell iii,6892,56.6,null,
sam horsfield,19866,53.8,null,
jason kokrak,12337,54.6,null,
lee westwood,4052,48.7,null,
adrian meronk,14196,53.4,null,
phil mickelson,1547,51,null,
peter uihlein,11357,53.9,null,
branden grace,11952,53.4,null,
brendan steele,11019,53.3,null,
caleb surratt,30463,52.1,null,
graeme mcdowell,7548,48.4,null,
ben campbell,14373,48.3,null,
matthew wolff,25919,51.4,null,
matt jones,8605,48.5,null,
martin kaymer,8117,48.5,null,
andy ogletree,27597,46.4,null,
henrik stenson,5994,50,null,
ian poulter,1435,43.8,null,
jose luis ballester,28473,48.7,null,
kevin na,7452,47.8,null,
mito pereira,19455,42.8,null,
danny lee,11826,42.7,null,
chieh-po lee,16563,45.9,null,
yubin jang,28276,44.8,null,
frederik kjettrup,24660,38.8,null,
anthony kim,11641,38.2,null,
