datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"Scheffler, Scottie","Scottie Scheffler",150,39304138,13100,33.559,8:28 am,1,83.2,10.5,0,93.7,0.79,100,33.576404198623315,
"McIlroy, Rory","Rory McIlroy",150,39304139,11400,34.120,1:43 pm,0,75.1,7.3,0,82.3,0.6,100,23.87816205767481,
"Schauffele, Xander","Xander Schauffele",150,39304140,10100,33.077,1:43 pm,0,68.1,5.2,0,73.2,0.41,100,14.676070300614505,
"Fleetwood, Tommy","Tommy Fleetwood",150,39304141,9900,33.039,1:54 pm,0,70.1,5.8,0,75.9,0.73,100,17.039639968777507,
"Morikawa, Collin","Collin Morikawa",150,39304142,9600,33.071,8:39 am,1,65.8,4.7,0,70.5,0.41,100,11.435872266968403,
"Aberg, Ludvig","Ludvig Aberg",150,39304143,9400,32.900,8:39 am,1,66,4.6,0,70.6,0.51,100,18.97251424930121,
"Hovland, Viktor","Viktor Hovland",150,39304144,9300,33.014,1:43 pm,0,64.5,4.3,0,68.8,0.4,100,15.632426101129104,
"Thomas, Justin","Justin Thomas",150,39304145,9200,33.286,8:17 am,1,66,4.5,0,70.5,0.59,100,10.013195976754703,
"MacIntyre, Robert","Robert Macintyre",150,39304146,9100,32.428,8:28 am,1,67.1,4.9,0,72,0.77,100,21.05387645945021,
"Burns, Sam","Sam Burns",150,39304147,9000,32.053,8:50 am,1,62.7,3.8,0,66.4,0.33,100,13.927986019132405,
"Conners, Corey","Corey Conners",150,39304148,8900,31.849,7:55 am,1,61.5,3.7,0,65.2,0.27,100,6.498917545757962,
"Fitzpatrick, Matt","Matt Fitzpatrick",150,39304149,8800,32.300,1:21 pm,0,62.7,3.8,0,66.5,0.44,100,18.103451797867407,
"Straka, Sepp","Sepp Straka",150,39304150,8700,31.353,8:17 am,1,59.4,3.1,0,62.5,0.14,100,6.720978883389912,
"Scott, Adam","Adam Scott",150,39304151,8600,31.741,8:28 am,1,61.8,3.7,0,65.6,0.44,100,14.723318068257504,
"Fox, Ryan","Ryan Fox",150,39304152,8500,31.504,1:32 pm,0,60.7,3.4,0,64.1,0.37,100,14.563760522914606,
"Hall, Harry","Harry Hall",150,39304153,8400,31.147,12:59 pm,0,60.8,3.5,0,64.3,0.42,100,10.802560325124006,
"Rai, Aaron","Aaron Rai",150,39304154,8300,30.937,7:44 am,1,59,3.1,0,62.1,0.29,100,8.297130283407894,
"Clark, Wyndham","Wyndham Clark",150,39304155,8200,30.384,8:06 am,1,54.6,2.2,0,56.8,-0.08,100,6.435868587527762,
"Spaun, J.J.","J.J. Spaun",150,39304156,8100,31.586,1:54 pm,0,61,3.5,0,64.5,0.58,100,6.449670313516802,
"McNealy, Maverick","Maverick McNealy",150,39304158,8000,31.781,7:33 am,1,61.8,3.6,0,65.3,0.7,100,11.126549118419003,
"English, Harris","Harris English",150,39304157,8000,31.084,1:10 pm,0,58.6,3,0,61.6,0.38,100,8.061025877007603,
"Pendrith, Taylor","Taylor Pendrith",150,39304159,7900,30.955,12:48 pm,0,58.4,3,0,61.4,0.41,100,5.195857999892142,
"Hojgaard, Rasmus","Rasmus Hojgaard",150,39304160,7900,31.829,12:48 pm,0,60.7,3.3,0,64,0.63,100,10.688859798508606,
"Greyserman, Max","Max Greyserman",150,39304161,7800,31.346,2:16 pm,0,59.6,3.1,0,62.7,0.57,100,10.420321695112104,
"Detry, Thomas","Thomas Detry",150,39304162,7800,30.797,8:50 am,1,56.9,2.6,0,59.5,0.29,100,9.795360323390234,
"Kim, Si Woo","Si Woo Kim",150,39304164,7700,30.423,12:37 pm,0,57.9,2.8,0,60.7,0.44,100,3.8661451137837117,
"Im, Sungjae","Sungjae Im",150,39304163,7700,29.844,8:06 am,1,53.9,2.2,0,56.1,0.05,100,3.099706847258671,
"Neergaard-Petersen, Rasmus","Rasmus Neergaard-Petersen",150,39304166,7600,31.744,12:59 pm,0,60.3,3.3,0,63.6,0.73,100,12.875657050629805,
"Kim, Tom","Tom Kim",150,39304165,7600,29.649,2:05 pm,0,52.8,2,0,54.9,-0.01,100,5.949093823453702,
"Taylor, Nick","Nick Taylor",150,39304167,7600,30.361,1:10 pm,0,55.8,2.5,0,58.3,0.28,100,5.432683723313972,
"Harman, Brian","Brian Harman",150,39304171,7500,28.986,1:21 pm,0,51.9,1.9,0,53.7,-0.04,100,7.156130299177403,
"Hojgaard, Nicolai","Nicolai Hojgaard",150,39304170,7500,31.190,7:33 am,1,58.2,2.9,0,61,0.56,100,9.050356109208934,
"An, Byeong Hun","Byeong Hun An",150,39304169,7500,30.993,1:10 pm,0,57,2.7,0,59.7,0.45,100,5.395195235818072,
"Noren, Alex","Alex Noren",150,39304168,7500,30.632,1:32 pm,0,57,2.7,0,59.7,0.45,100,5.043538488470702,
"Mitchell, Keith","Keith Mitchell",150,39304175,7400,30.070,1:10 pm,0,54.3,2.3,0,56.5,0.22,100,1.8496590938896607,
"Olesen, Thorbjorn","Thorbjorn Olesen",150,39304173,7400,30.250,8:06 am,1,56.4,2.6,0,59,0.43,100,3.3529849082251713,
"Berger, Daniel","Daniel Berger",150,39304172,7400,30.635,2:05 pm,0,56.6,2.6,0,59.2,0.45,100,4.264896798337402,
"Stevens, Sam","Sam Stevens",150,39304174,7400,30.223,12:15 pm,0,57.4,2.7,0,60.1,0.53,100,3.188376569169341,
"Norgaard, Niklas","Niklas Norgaard Moller",150,39304179,7300,30.494,12:26 pm,0,55.1,2.4,0,57.5,0.35,100,8.191521065963894,
"Smith, Jordan","Jordan L. Smith",150,39304178,7300,30.236,7:44 am,1,56.2,2.5,0,58.7,0.45,100,7.644970548387223,
"Wallace, Matt","Matt Wallace",150,39304177,7300,31.195,1:32 pm,0,57.9,2.9,0,60.7,0.62,100,3.091540097853871,
"Manassero, Matteo","Matteo Manassero",150,39304180,7300,26.747,1:54 pm,0,45.7,1.1,0,46.8,-0.39,100,4.566508233127072,
"Rose, Justin","Justin Rose",150,39304176,7300,27.136,1:32 pm,0,46.4,1.2,0,47.6,-0.34,100,4.521392649721282,
"Lawrence, Thriston","Thriston Lawrence",150,39304181,7200,29.137,2:16 pm,0,51.6,1.8,0,53.4,0.05,100,4.944096049813342,
"McCarthy, Denny","Denny McCarthy",150,39304185,7200,30.291,7:22 am,1,55.3,2.4,0,57.7,0.41,100,5.262846177833731,
"Perez, Victor","Victor Perez",150,39304184,7200,30.036,12:26 pm,0,55.2,2.4,0,57.6,0.41,100,5.781858235500453,
