tournament_year,course_name,round_num,hole_num,hole_par,hole_yardage,scoring_avg,rel_scoring_avg,eagles_or_better,birdies,pars,bogeys,doubles_or_worse
2024,golfclub münchen eichenried,1,1,4,458,4.18,0.18,0,11,108,35,2
2024,golfclub münchen eichenried,1,2,3,227,3.07,0.07,0,17,111,28,0
2024,golfclub münchen eichenried,1,3,4,489,4.29,0.29,0,12,92,47,5
2024,golfclub münchen eichenried,1,4,4,397,4.01,0.01,0,18,120,17,1
2024,golfclub münchen eichenried,1,5,4,340,3.76,-0.24,0,53,91,8,4
2024,golfclub münchen eichenried,1,6,5,546,4.9,-0.1,0,49,85,14,8
2024,golfclub münchen eichenried,1,7,4,441,4.03,0.03,0,17,118,21,0
2024,golfclub münchen eichenried,1,8,3,210,3.11,0.11,0,16,109,29,2
2024,golfclub münchen eichenried,1,9,5,557,4.67,-0.33,0,66,78,10,2
2024,golfclub münchen eichenried,1,10,4,472,4.2,0.2,0,11,110,28,7
2024,golfclub münchen eichenried,1,11,5,555,4.57,-0.43,7,67,70,10,2
2024,golfclub münchen eichenried,1,12,3,162,2.99,-0.01,1,15,125,12,2
2024,golfclub münchen eichenried,1,13,4,434,3.79,-0.21,0,42,103,10,0
2024,golfclub münchen eichenried,1,14,4,490,4.45,0.45,0,9,81,53,12
2024,golfclub münchen eichenried,1,15,4,470,4,0,0,18,120,16,1
2024,golfclub münchen eichenried,1,16,4,319,3.99,-0.01,0,27,109,14,5
2024,golfclub münchen eichenried,1,17,3,212,3.12,0.12,0,16,107,30,2
2024,golfclub münchen eichenried,1,18,5,568,4.42,-0.58,8,85,52,9,1
2024,golfclub münchen eichenried,2,1,4,458,4.24,0.24,0,14,96,41,4
2024,golfclub münchen eichenried,2,2,3,227,2.91,-0.09,0,23,123,9,0
2024,golfclub münchen eichenried,2,3,4,489,4.14,0.14,0,14,107,33,1
2024,golfclub münchen eichenried,2,4,4,397,3.95,-0.05,0,35,96,21,3
2024,golfclub münchen eichenried,2,5,4,340,3.75,-0.25,0,52,93,7,3
2024,golfclub münchen eichenried,2,6,5,546,4.63,-0.37,3,67,71,13,1
2024,golfclub münchen eichenried,2,7,4,441,4.1,0.1,0,22,96,36,1
2024,golfclub münchen eichenried,2,8,3,210,3,0,0,29,99,25,2
2024,golfclub münchen eichenried,2,9,5,557,4.8,-0.2,5,41,92,15,2
