player_name,nationality,player_id,tour,amateur
"Abbate, Ryan",United States,32153,,0
"Abbott, Jamie",England,14794,,0
"Aberg, Ludvig",Sweden,23950,,0
"Abou El Ela, Issa",Egypt,8863,,1
"Abreu, Alexandre",Portugal,24555,,0
"Acikalin, Leon",Turkey,21644,,0
"Ackerman, Derek",United States,27455,,0
"Adam, Cameron",Scotland,30031172,,1
"Adamonis, Brad",United States,7612,,0
"Adrounie, Tom",United States,30736,,0
"Africa, Keelan",South Africa,24573,,0
"Agren, Jonathan",Sweden,20400,,0
"Aguado, Camilo",Colombia,25686,,0
"Aguilar, Felipe",Chile,8135,,0
"Aguilar, Mario Galiano",Spain,19557,,0
"Ahlawat, Veer",India,22897,,0
"Ahlers, Jaco",South Africa,11852,,0
"Ahokas, Antti",Finland,11897,,0
"Aiken, Thomas",South Africa,7679,,0
"Akana, Blaze",United States,30618,,1
"Akesson, Bjorn",Sweden,11530,,0
"Akina, Kihei",United States,32652,,1
"Akope, Deo",Uganda,8749,,0
"Akutsu, Mikiya",Japan,15726,,0
"Al Kaabi, Saleh",Qatar,17056,,1
"Al Kurdi, Shergo",Saudi Arabia,23074,,0
"Al Mulla, Othman",Saudi Arabia,11985,,0
"Al Musharrekh, Ahmed",United Arab Emirates,14407,,0
"Al Musharrekh, Hassin",United Arab Emirates,22704,,0
"Al Rumhy, Azzan",Oman,18024,,1
"Al Shahrani, Abdulrahman Abdulla",Qatar,15960,,1
"Al Sharif, Saud",Saudi Arabia,22606,,0
"Al Zayed, Ahmed",Bahrain,30586,,1
"Albano, Jr., Anthony",United States,29601,,0
"Albers, Anton",Germany,25305,,0
"Albertse, Louis",South Africa,24341,,0
"Albertson, Anders",United States,21235,,0
"Albertus, Max",Netherlands,16496,,0
"Alexander, Tyson",United States,14002,,0
"Alford, Ryan",United States,29152,,0
"Alkaabi, Khalifa",Bahrain,30582,,0
"Alker, Steven",New Zealand,4871,,0
"Alkowari, Ali",Bahrain,26093,,0
"Alkuwari, Jaham",Qatar,24543,,1
"Allan, James",England,18778,,0
"Allan, Stephen",Australia,5697,,0
"Allenby, Robert",Australia,4949,,0
"Alligood, Andrew",United States,27560,,0
"Alvarado, Benjamin",Chile,12547,,0
"Alvarez, Felipe",Colombia,19461,,0
"Amat, Bastien",France,28592,,0
"Amin, Paresh",unknown,10058297,,0
"Amm, David",Zimbabwe,18286,,0
"An, Byeong Hun",Korea - Republic of,14459,,0
"Anand, Vinamra",India,32006,,1
"Ancer, Abraham",Mexico,18238,,0
"Andersen, Jeppe Kristian",Denmark,20158,,0
"Andersen, Mason",United States,23540,,0
