tournament_year,course_name,round_num,hole_num,hole_par,hole_yardage,scoring_avg,rel_scoring_avg,eagles_or_better,birdies,pars,bogeys,doubles_or_worse
2024,international,1,1,4,437,4.08,0.08,0,20,111,19,6
2024,international,1,2,4,395,4.14,0.14,0,30,79,42,5
2024,international,1,3,5,544,5.1,0.1,2,33,90,17,14
2024,international,1,4,3,169,3.22,0.22,1,22,97,20,16
2024,international,1,5,4,341,3.83,-0.17,0,43,97,15,1
2024,international,1,6,4,375,3.92,-0.08,0,32,105,18,1
2024,international,1,7,3,229,3.26,0.26,0,16,91,43,6
2024,international,1,8,5,589,5.05,0.05,1,40,77,27,11
2024,international,1,9,4,475,4.27,0.27,0,19,91,34,12
2024,international,1,10,4,438,4.33,0.33,0,13,96,32,15
2024,international,1,11,3,127,2.69,-0.31,0,62,82,11,1
2024,international,1,12,4,459,4.21,0.21,0,20,93,34,8
2024,international,1,13,3,194,3,0,0,23,112,18,2
2024,international,1,14,4,406,4.38,0.38,0,11,90,40,14
2024,international,1,15,5,580,4.76,-0.24,4,45,92,12,2
2024,international,1,16,4,396,3.97,-0.03,0,29,105,18,3
2024,international,1,17,3,233,3.07,0.07,1,21,100,32,1
2024,international,1,18,5,527,4.7,-0.3,4,64,66,16,5
2024,international,2,1,4,437,4.04,0.04,0,23,106,18,5
2024,international,2,2,4,395,3.94,-0.06,0,27,108,16,1
2024,international,2,3,5,544,4.84,-0.16,0,58,68,20,6
2024,international,2,4,3,169,2.97,-0.03,0,23,115,9,5
2024,international,2,5,4,341,3.75,-0.25,0,47,98,5,2
2024,international,2,6,4,375,3.84,-0.16,0,33,111,7,1
2024,international,2,7,3,229,3.33,0.33,0,8,92,47,5
2024,international,2,8,5,589,4.84,-0.16,0,46,89,14,3
2024,international,2,9,4,475,4.27,0.27,0,17,90,37,8
2024,international,2,10,4,438,4.14,0.14,0,25,89,31,8
2024,international,2,11,3,127,2.56,-0.44,0,75,71,6,1
2024,international,2,12,4,459,4.43,0.43,0,10,76,59,8
2024,international,2,13,3,194,3.08,0.08,0,15,112,25,1
2024,international,2,14,4,406,3.91,-0.09,1,36,97,15,4
2024,international,2,15,5,580,4.99,-0.01,0,32,95,22,4
2024,international,2,16,4,396,4.02,0.02,0,33,91,22,7
2024,international,2,17,3,233,3.35,0.35,0,6,95,44,8
2024,international,2,18,5,527,4.71,-0.29,1,64,69,16,3
2024,international,3,1,4,437,4,0,0,7,60,7,0
2024,international,3,2,4,395,4.12,0.12,1,10,45,15,3
2024,international,3,3,5,544,4.85,-0.15,1,33,22,14,4
2024,international,3,4,3,169,3.05,0.05,0,9,54,9,2
2024,international,3,5,4,341,3.97,-0.03,0,14,49,10,1
2024,international,3,6,4,375,4.07,0.07,0,13,45,15,1
2024,international,3,7,3,229,3.16,0.16,1,10,40,22,1
2024,international,3,8,5,589,5.22,0.22,0,12,42,13,7
2024,international,3,9,4,475,4.27,0.27,0,5,49,15,5
2024,international,3,10,4,438,4.34,0.34,0,13,39,13,9
2024,international,3,11,3,127,2.93,-0.07,0,20,39,15,0
2024,international,3,12,4,459,4.35,0.35,0,5,44,19,6
2024,international,3,13,3,194,2.93,-0.07,0,10,59,5,0
2024,international,3,14,4,406,3.88,-0.12,0,18,47,9,0
2024,international,3,15,5,580,4.93,-0.07,0,21,41,8,4
2024,international,3,16,4,396,3.91,-0.09,0,16,50,7,1
2024,international,3,17,3,233,3.35,0.35,0,2,47,22,3
2024,international,3,18,5,527,5.12,0.12,0,24,27,15,8
2024,international,4,1,4,437,4.08,0.08,0,6,58,8,2
2024,international,4,2,4,395,4.07,0.07,0,11,50,10,3
2024,international,4,3,5,544,4.82,-0.18,2,28,28,14,2
2024,international,4,4,3,169,3.11,0.11,1,6,54,10,3
2024,international,4,5,4,341,3.74,-0.26,0,23,48,2,1
2024,international,4,6,4,375,3.95,-0.05,0,13,52,9,0
2024,international,4,7,3,229,3.2,0.2,0,13,36,22,3
2024,international,4,8,5,589,5.09,0.09,0,17,39,13,5
2024,international,4,9,4,475,4.22,0.22,0,5,49,19,1
2024,international,4,10,4,438,4.3,0.3,0,16,27,26,5
2024,international,4,11,3,127,2.59,-0.41,0,32,40,2,0
2024,international,4,12,4,459,4.42,0.42,0,4,42,24,4
2024,international,4,13,3,194,2.99,-0.01,0,10,56,7,1
2024,international,4,14,4,406,4.28,0.28,0,8,44,16,6
2024,international,4,15,5,580,4.85,-0.15,0,19,48,6,1
2024,international,4,16,4,396,3.85,-0.15,0,17,52,4,1
2024,international,4,17,3,233,3.3,0.3,0,4,47,20,3
2024,international,4,18,5,527,4.61,-0.39,4,31,30,8,1
