player_name,sample_size,DG_odds,bet365_odds,bet365_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,betcris_odds,betcris_ev,caesars_odds,caesars_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,betonline_odds,betonline_ev,unibet_odds,unibet_ev,betmgm_odds,betmgm_ev,betfair_odds,betfair_ev,pinnacle_odds,pinnacle_ev
"Thorbjornsen, Michael",150,-355,-500,-0.063,,0.00,-350,0.003,,0.00,-357,-0.001,,0.00,,0.00,-400,-0.024,-400,-0.024,-455,-0.048,,0.00,,0.00
"Hoey, Rico",150,-303,-333,-0.022,,0.00,-300,0.003,,0.00,-303,0.000,,0.00,,0.00,-345,-0.030,-400,-0.060,-357,-0.037,,0.00,,0.00
"Grillo, Emiliano",150,-296,-400,-0.066,,0.00,-340,-0.033,,0.00,-333,-0.028,,0.00,,0.00,-345,-0.036,-400,-0.066,-400,-0.066,,0.00,,0.00
"Koivun, Jackson",150,-284,-400,-0.075,,0.00,-300,-0.013,,0.00,-303,-0.016,,0.00,,0.00,-303,-0.016,-333,-0.038,-333,-0.038,,0.00,,0.00
"Roy, Kevin",150,-316,-400,-0.050,,0.00,-340,-0.017,,0.00,-333,-0.012,,0.00,,0.00,-345,-0.020,-400,-0.050,-400,-0.050,,0.00,,0.00
"Whaley, Vince",150,-292,-303,-0.010,,0.00,-300,-0.007,,0.00,-303,-0.010,,0.00,,0.00,-303,-0.010,-333,-0.032,-333,-0.032,,0.00,,0.00
"Hubbard, Mark",150,-266,-333,-0.055,,0.00,-300,-0.031,,0.00,-303,-0.033,,0.00,,0.00,-303,-0.033,-333,-0.055,-333,-0.055,,0.00,,0.00
"Hossler, Beau",150,-226,-278,-0.057,,0.00,-250,-0.029,,0.00,-250,-0.029,,0.00,,0.00,-278,-0.057,-294,-0.071,-270,-0.050,,0.00,,0.00
"Fishburn, Patrick",150,-213,-250,-0.047,,0.00,-250,-0.047,,0.00,-250,-0.047,,0.00,,0.00,-250,-0.047,-270,-0.068,-250,-0.047,,0.00,,0.00
"Ventura, Kris",150,-198,-227,-0.044,,0.00,-225,-0.041,,0.00,-227,-0.044,,0.00,,0.00,-227,-0.044,-270,-0.090,-250,-0.070,,0.00,,0.00
"Champ, Cameron",150,-205,-303,-0.106,,0.00,-250,-0.059,,0.00,-250,-0.059,,0.00,,0.00,-238,-0.045,-250,-0.059,-250,-0.059,,0.00,,0.00
"Power, Seamus",150,-196,-250,-0.073,,0.00,-250,-0.073,,0.00,-250,-0.073,,0.00,,0.00,-217,-0.033,-270,-0.093,-250,-0.073,,0.00,,0.00
"Kanaya, Takumi",150,-196,-189,0.013,,0.00,-190,0.010,,0.00,-189,0.013,,0.00,,0.00,,0.00,,0.00,-200,-0.007,,0.00,,0.00
"Ryder, Sam",150,-186,-200,-0.024,,0.00,-225,-0.060,,0.00,-227,-0.063,,0.00,,0.00,,0.00,-250,-0.089,-227,-0.063,,0.00,,0.00
"Fisk, Steven",150,-194,-175,0.036,,0.00,-200,-0.010,,0.00,-200,-0.010,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Cummins, Quade",150,-190,-200,-0.018,,0.00,-200,-0.018,,0.00,-200,-0.018,,0.00,,0.00,,0.00,,0.00,-227,-0.057,,0.00,,0.00
"Castillo, Ricky",150,-175,-200,-0.046,,0.00,-200,-0.046,,0.00,-200,-0.046,,0.00,,0.00,,0.00,,0.00,-200,-0.046,,0.00,,0.00
"Kim, Chan",150,-174,-200,-0.047,,0.00,-200,-0.047,,0.00,-200,-0.047,,0.00,,0.00,,0.00,-222,-0.079,-200,-0.047,,0.00,,0.00
"Ayora, Angel",150,-176,-189,-0.025,,0.00,-190,-0.027,,0.00,-189,-0.025,,0.00,,0.00,,0.00,,0.00,-189,-0.025,,0.00,,0.00
"Young, Carson",150,-178,-227,-0.079,,0.00,-200,-0.040,,0.00,-200,-0.040,,0.00,,0.00,,0.00,,0.00,-227,-0.079,,0.00,,0.00
"Phillips, Chandler",150,-174,-200,-0.046,,0.00,-225,-0.082,,0.00,-227,-0.085,,0.00,,0.00,,0.00,-222,-0.078,-227,-0.085,,0.00,,0.00
"Springer, Hayden",150,-168,-189,-0.041,,0.00,-175,-0.015,,0.00,-175,-0.016,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Kim, S.H.",150,-165,-227,-0.102,,0.00,-225,-0.100,,0.00,-227,-0.102,,0.00,,0.00,,0.00,,0.00,-200,-0.065,,0.00,,0.00
"Svensson, Adam",150,-174,,0.00,,0.00,-190,-0.031,,0.00,-189,-0.029,,0.00,,0.00,,0.00,,0.00,-200,-0.048,,0.00,,0.00
"List, Luke",150,-177,,0.00,,0.00,-190,-0.024,,0.00,-189,-0.022,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Sigg, Greyson",150,-166,,0.00,,0.00,-175,-0.020,,0.00,-175,-0.021,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
