player_name,sample_size,DG_odds,bet365_odds,bet365_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,betcris_odds,betcris_ev,caesars_odds,caesars_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,betonline_odds,betonline_ev,unibet_odds,unibet_ev,betmgm_odds,betmgm_ev,betfair_odds,betfair_ev,pinnacle_odds,pinnacle_ev
"Thorbjornsen, Michael",150,+355,+333,-0.049,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,+300,-0.122,+260,-0.210,+333,-0.049,,0.00,,0.00
"Hoey, Rico",150,+303,+240,-0.157,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,+275,-0.071,+260,-0.108,+275,-0.071,,0.00,,0.00
"Grillo, Emiliano",150,+296,+275,-0.053,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,+275,-0.053,+260,-0.091,+300,0.011,,0.00,,0.00
"Koivun, Jackson",150,+284,+275,-0.025,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,+240,-0.116,+225,-0.155,+250,-0.090,,0.00,,0.00
"Roy, Kevin",150,+316,+275,-0.099,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,+275,-0.099,+260,-0.135,+300,-0.039,,0.00,,0.00
"Whaley, Vince",150,+292,+225,-0.170,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,+240,-0.132,+225,-0.170,+250,-0.106,,0.00,,0.00
"Hubbard, Mark",150,+266,+240,-0.071,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,+240,-0.071,+225,-0.112,+250,-0.043,,0.00,,0.00
"Hossler, Beau",150,+226,+200,-0.081,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,+215,-0.035,+200,-0.081,+210,-0.050,,0.00,,0.00
"Fishburn, Patrick",150,+213,+175,-0.122,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,+200,-0.042,+188,-0.080,+200,-0.042,,0.00,,0.00
"Ventura, Kris",150,+198,+163,-0.117,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,+185,-0.043,+188,-0.033,+200,0.007,,0.00,,0.00
"Champ, Cameron",150,+205,+225,0.065,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,+190,-0.050,+175,-0.099,+200,-0.017,,0.00,,0.00
"Power, Seamus",150,+196,+175,-0.071,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,+180,-0.054,+188,-0.027,+200,0.014,,0.00,,0.00
"Kanaya, Takumi",150,+196,+138,-0.195,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,+160,-0.121,,0.00,,0.00
"Ryder, Sam",150,+186,+150,-0.127,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,+175,-0.040,+180,-0.022,,0.00,,0.00
"Fisk, Steven",150,+194,+125,-0.235,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Cummins, Quade",150,+190,+150,-0.137,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,+180,-0.034,,0.00,,0.00
"Castillo, Ricky",150,+175,+150,-0.091,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,+160,-0.054,,0.00,,0.00
"Kim, Chan",150,+174,+150,-0.088,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,+160,-0.051,+160,-0.051,,0.00,,0.00
"Ayora, Angel",150,+176,+138,-0.137,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,+140,-0.129,,0.00,,0.00
"Young, Carson",150,+178,+163,-0.052,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,+180,0.009,,0.00,,0.00
"Phillips, Chandler",150,+174,+150,-0.089,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,+160,-0.053,+180,0.020,,0.00,,0.00
"Springer, Hayden",150,+168,+138,-0.111,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Kim, S.H.",150,+165,+163,-0.009,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,+160,-0.021,,0.00,,0.00
"Svensson, Adam",150,+174,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,+160,-0.050,,0.00,,0.00
"List, Luke",150,+177,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Sigg, Greyson",150,+166,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Bramlett, Joseph",150,+171,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,+140,-0.114,,0.00,,0.00
"Paul, Jeremy",150,+164,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Mouw, William",150,+154,+138,-0.061,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Gordon, Will",150,+142,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Rosenmueller, Thomas",150,+153,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Kohles, Ben",150,+155,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Kobori, Kazuma",150,+151,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Hadwin, Adam",150,+147,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Meissner, Mac",150,+153,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Garnett, Brice",150,+143,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Ding, Wenyi",150,+141,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Griffin, Lanto",150,+148,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Suber, Jackson",150,+145,+138,-0.030,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,+140,-0.021,,0.00,,0.00
"Wu, Dylan",150,+148,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Lower, Justin",150,+135,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Ramey, Chad",150,+144,+138,-0.025,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Armitage, Marcus",150,+134,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Schenk, Adam",150,+138,+125,-0.053,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Montgomery, Taylor",150,+121,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Goodwin, Noah",150,+127,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Higgs, Harry",150,+120,+138,0.082,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Hardy, Nick",150,+133,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Olesen, Jacob Skov",150,+123,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Pak, John",150,+120,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Laird, Martin",150,+125,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Bryant, Davis",150,+115,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Blair, Zac",150,+125,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Cone, Trevor",150,+120,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Skinns, David",150,+117,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Robinson-Thompson, Brandon",150,+121,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Silverman, Ben",150,+116,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Zanotti, Fabrizio",150,+119,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Lipsky, David",150,+123,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Cantero Gutierrez, Ivan",150,+115,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Martin, Ben",150,+121,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Russell, Miles",106,+106,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Aphibarnrat, Kiradech",150,+108,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Pavan, Andrea",150,+115,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Kizzire, Patton",150,+108,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Jamieson, Scott",150,+102,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Dantorp, Jens",150,+103,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Duncan, Tyler",150,+105,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Halvorsen, Andreas",150,+105,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
