player_name,sample_size,DG_odds,bet365_odds,bet365_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,betcris_odds,betcris_ev,caesars_odds,caesars_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,betonline_odds,betonline_ev,unibet_odds,unibet_ev,betmgm_odds,betmgm_ev,betfair_odds,betfair_ev,pinnacle_odds,pinnacle_ev
"Thorbjornsen, Michael",150,+116,-130,-0.179,+105,-0.049,+105,-0.049,,0.00,+105,-0.049,-125,-0.165,-135,-0.192,-110,-0.114,+105,-0.049,-133,-0.188,,0.00,,0.00
"Hoey, Rico",150,+145,+130,-0.061,+130,-0.061,+130,-0.061,,0.00,+130,-0.061,+125,-0.082,-105,-0.203,+110,-0.143,+120,-0.102,+100,-0.184,,0.00,,0.00
"Grillo, Emiliano",150,+148,+105,-0.172,+115,-0.132,+115,-0.132,,0.00,+115,-0.132,+110,-0.152,-125,-0.273,+110,-0.152,+105,-0.172,+100,-0.192,,0.00,,0.00
"Koivun, Jackson",150,+155,+105,-0.196,+130,-0.098,+130,-0.098,,0.00,+115,-0.157,+125,-0.117,-105,-0.234,+110,-0.176,+125,-0.117,+110,-0.176,,0.00,,0.00
"Roy, Kevin",150,+144,+110,-0.138,+115,-0.118,+115,-0.118,,0.00,+115,-0.118,+110,-0.138,-125,-0.261,+110,-0.138,+110,-0.138,+100,-0.179,,0.00,,0.00
"Whaley, Vince",150,+160,+150,-0.039,+140,-0.078,+140,-0.078,,0.00,+140,-0.078,+138,-0.085,+105,-0.212,+125,-0.135,+138,-0.085,+137,-0.089,,0.00,,0.00
"Hubbard, Mark",150,+175,+130,-0.163,+140,-0.126,+140,-0.126,,0.00,+140,-0.126,+130,-0.163,+115,-0.217,+130,-0.163,+120,-0.199,+125,-0.181,,0.00,,0.00
"Hossler, Beau",150,+214,+163,-0.163,+160,-0.173,+160,-0.173,,0.00,+125,-0.284,+162,-0.166,+125,-0.284,+150,-0.204,+138,-0.243,+140,-0.236,,0.00,,0.00
"Fishburn, Patrick",150,+238,+170,-0.202,+180,-0.172,+180,-0.172,,0.00,+180,-0.172,+162,-0.225,+115,-0.364,+160,-0.231,+150,-0.261,+150,-0.261,,0.00,,0.00
"Ventura, Kris",150,+260,+210,-0.138,+210,-0.138,+210,-0.138,,0.00,+190,-0.194,+188,-0.199,+175,-0.235,+150,-0.305,+188,-0.199,+180,-0.221,,0.00,,0.00
"Champ, Cameron",150,+253,+150,-0.292,+160,-0.263,+160,-0.263,,0.00,+160,-0.263,+150,-0.292,+115,-0.391,+165,-0.249,+150,-0.292,+140,-0.320,,0.00,,0.00
"Power, Seamus",150,+266,+180,-0.234,+190,-0.207,+190,-0.207,,0.00,+190,-0.207,+175,-0.248,+140,-0.344,+165,-0.275,+150,-0.316,+160,-0.289,,0.00,,0.00
"Kanaya, Takumi",150,+268,+275,0.018,+270,0.004,+275,0.018,,0.00,+275,0.018,+250,-0.050,+240,-0.077,+175,-0.254,+250,-0.050,+250,-0.050,,0.00,,0.00
"Ryder, Sam",150,+282,+240,-0.110,+210,-0.188,+210,-0.188,,0.00,+210,-0.188,+200,-0.215,+175,-0.280,+180,-0.267,+175,-0.280,+200,-0.215,,0.00,,0.00
"Fisk, Steven",150,+273,+280,0.018,+230,-0.116,+230,-0.116,,0.00,+230,-0.116,+210,-0.170,+190,-0.223,+185,-0.237,+200,-0.197,+188,-0.229,,0.00,,0.00
