player_name,sample_size,DG_odds,bet365_odds,bet365_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,betcris_odds,betcris_ev,caesars_odds,caesars_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,betonline_odds,betonline_ev,unibet_odds,unibet_ev,betmgm_odds,betmgm_ev,betfair_odds,betfair_ev,pinnacle_odds,pinnacle_ev
"Thorbjornsen, Michael",150,+1649,+1100,-0.314,+1600,-0.028,+1600,-0.028,+1355,-0.168,+1400,-0.142,+1200,-0.257,+1400,-0.142,+1200,-0.257,+1400,-0.142,+1400,-0.142,,0.00,+1437,-0.121
"Hoey, Rico",150,+2285,+2000,-0.119,+2200,-0.036,+2200,-0.036,+1652,-0.265,+2200,-0.036,+2000,-0.119,+2200,-0.036,+1800,-0.203,+2000,-0.119,+2000,-0.119,,0.00,+1949,-0.141
"Grillo, Emiliano",150,+2338,+1600,-0.303,+1800,-0.221,+1800,-0.221,+1555,-0.321,+1600,-0.303,+1800,-0.221,+1800,-0.221,+1800,-0.221,+1600,-0.303,+1800,-0.221,,0.00,+1874,-0.190
"Koivun, Jackson",150,+2440,+1600,-0.331,+2200,-0.095,+2200,-0.095,+2149,-0.115,+1800,-0.252,+1600,-0.331,+1800,-0.252,+1800,-0.252,+2200,-0.095,+2000,-0.173,,0.00,+1924,-0.203
"Roy, Kevin",150,+2459,+1800,-0.257,+2000,-0.179,+1800,-0.257,+2458,-0.000,+1800,-0.257,+1800,-0.257,+2200,-0.101,+2000,-0.179,+1800,-0.257,+1800,-0.257,,0.00,+2191,-0.105
"Whaley, Vince",150,+2878,+2500,-0.127,+2500,-0.127,+2500,-0.127,+2950,0.024,+2500,-0.127,+2500,-0.127,+2800,-0.026,+3000,0.041,+2500,-0.127,+2800,-0.026,,0.00,+2813,-0.022
"Hubbard, Mark",150,+3014,+2200,-0.261,+2800,-0.069,+2500,-0.165,+2555,-0.147,+2500,-0.165,+2500,-0.165,+2800,-0.069,+2500,-0.165,+2200,-0.261,+2500,-0.165,,0.00,+2990,-0.008
"Hossler, Beau",150,+4161,+3000,-0.273,+3000,-0.273,+3000,-0.273,+2863,-0.305,+2500,-0.390,+2800,-0.319,+3000,-0.273,+4000,-0.038,+2800,-0.319,+2800,-0.319,,0.00,+3126,-0.243
"Fishburn, Patrick",150,+4774,+3300,-0.302,+3500,-0.261,+3000,-0.364,+3817,-0.196,+2500,-0.467,+3300,-0.302,+3500,-0.261,+4500,-0.056,+3000,-0.364,+3000,-0.364,,0.00,+3775,-0.205
"Ventura, Kris",150,+5350,+4000,-0.248,+4500,-0.156,+4000,-0.248,+4662,-0.126,+3500,-0.339,+4000,-0.248,+4000,-0.248,+4500,-0.156,+4500,-0.156,+4500,-0.156,,0.00,+3891,-0.268
