player_name,sample_size,DG_odds,bet365_odds,bet365_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,betcris_odds,betcris_ev,caesars_odds,caesars_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,betonline_odds,betonline_ev,unibet_odds,unibet_ev,betmgm_odds,betmgm_ev,betfair_odds,betfair_ev,pinnacle_odds,pinnacle_ev
"Smith, Jordan",150,-325,-333,-0.006,-340,-0.010,-340,-0.010,,0.00,-333,-0.006,,0.00,,0.00,-345,-0.013,-400,-0.044,,0.00,,0.00,,0.00
"Ferguson, Ewen",150,-269,-303,-0.031,-310,-0.036,-300,-0.028,,0.00,-303,-0.031,,0.00,,0.00,-303,-0.031,-435,-0.103,,0.00,,0.00,,0.00
"Laporta, Francesco",150,-273,-303,-0.027,-235,0.043,-250,0.025,,0.00,-250,0.025,,0.00,,0.00,-278,-0.005,-294,-0.019,,0.00,,0.00,,0.00
"Schaper, Jayden",150,-268,-303,-0.031,-280,-0.012,-250,0.019,,0.00,-250,0.019,,0.00,,0.00,-278,-0.010,-294,-0.024,,0.00,,0.00,,0.00
"Reitan, Kristoffer",150,-232,-278,-0.050,-250,-0.022,-225,0.009,,0.00,-227,0.006,,0.00,,0.00,,0.00,-270,-0.043,,0.00,,0.00,,0.00
"Nakajima, Keita",150,-221,-250,-0.037,-280,-0.066,-250,-0.037,,0.00,-250,-0.037,,0.00,,0.00,-250,-0.037,-294,-0.078,,0.00,,0.00,,0.00
"Penge, Marco",150,-223,-303,-0.082,-250,-0.034,-250,-0.034,,0.00,-250,-0.034,,0.00,,0.00,-250,-0.034,-270,-0.054,,0.00,,0.00,,0.00
"Chacarra, Eugenio",150,-216,-278,-0.071,-215,0.001,-225,-0.013,,0.00,-227,-0.016,,0.00,,0.00,-250,-0.044,-270,-0.064,,0.00,,0.00,,0.00
"Parry, John",150,-234,-250,-0.019,-215,0.027,-200,0.052,,0.00,-200,0.052,,0.00,,0.00,-250,-0.019,-270,-0.040,,0.00,,0.00,,0.00
"Couvra, Martin",150,-187,-303,-0.134,-215,-0.046,-225,-0.059,,0.00,-227,-0.062,,0.00,,0.00,,0.00,-250,-0.088,,0.00,,0.00,,0.00
"Ayora, Angel",150,-196,-250,-0.073,-192,0.007,-200,-0.007,,0.00,-200,-0.007,,0.00,,0.00,-204,-0.014,-250,-0.073,,0.00,,0.00,,0.00
"Lindell, Oliver",150,-201,-200,0.002,-192,0.016,-175,0.049,,0.00,-185,0.028,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Ding, Wenyi",150,-202,-200,0.003,-192,0.017,-200,0.003,,0.00,-200,0.003,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Lacroix, Frederic",150,-180,-200,-0.036,,0.00,-190,-0.019,,0.00,-189,-0.017,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Von Dellingshausen, Nicolai",150,-196,-200,-0.007,,0.00,-175,0.040,,0.00,-175,0.039,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Molinari, Edoardo",150,-177,,0.00,,0.00,-175,0.003,,0.00,-175,0.002,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Crocker, Sean",150,-164,-200,-0.068,,0.00,-175,-0.024,,0.00,-175,-0.025,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Saddier, Adrien",150,-197,-189,0.015,-192,0.009,-175,0.043,,0.00,-175,0.042,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
