player_name,sample_size,DG_odds,bet365_odds,bet365_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,betcris_odds,betcris_ev,caesars_odds,caesars_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,betonline_odds,betonline_ev,unibet_odds,unibet_ev,betmgm_odds,betmgm_ev,betfair_odds,betfair_ev,pinnacle_odds,pinnacle_ev
"Smith, Jordan",150,+5015,+3300,-0.335,+4500,-0.101,+4000,-0.198,,0.00,+4000,-0.198,+4000,-0.198,,0.00,+3500,-0.296,+3300,-0.335,+3300,-0.335,,0.00,,0.00
"Ferguson, Ewen",150,+3853,+3500,-0.089,+4000,0.037,+4500,0.164,,0.00,+3500,-0.089,+4000,0.037,,0.00,+3500,-0.089,+4000,0.037,+3500,-0.089,,0.00,,0.00
"Laporta, Francesco",150,+6209,+3500,-0.429,+5500,-0.112,+5000,-0.192,,0.00,+5000,-0.192,+5000,-0.192,,0.00,+3500,-0.429,+4500,-0.271,+4000,-0.350,,0.00,,0.00
"Schaper, Jayden",150,+6582,+3500,-0.461,+5500,-0.162,+5000,-0.237,,0.00,+5000,-0.237,+5000,-0.237,,0.00,+4500,-0.312,+4500,-0.312,+4000,-0.386,,0.00,,0.00
"Reitan, Kristoffer",150,+7103,+4000,-0.431,+5000,-0.292,+5000,-0.292,,0.00,+5000,-0.292,+5000,-0.292,,0.00,+4500,-0.361,+4500,-0.361,+4000,-0.431,,0.00,,0.00
"Nakajima, Keita",150,+4505,+4500,-0.001,+5000,0.108,+4500,-0.001,,0.00,+4500,-0.001,+5000,0.108,,0.00,+4000,-0.110,+5000,0.108,+5000,0.108,,0.00,,0.00
"Penge, Marco",150,+7164,+3500,-0.504,+5000,-0.298,+5000,-0.298,,0.00,+5000,-0.298,+4000,-0.436,,0.00,+3500,-0.504,+4500,-0.367,+4000,-0.436,,0.00,,0.00
"Chacarra, Eugenio",150,+4331,+4000,-0.075,+5000,0.151,+5000,0.151,,0.00,+5000,0.151,+5000,0.151,,0.00,+3500,-0.188,+5000,0.151,+4500,0.038,,0.00,,0.00
"Parry, John",150,+8842,+4500,-0.486,+7000,-0.206,+6000,-0.318,,0.00,+6000,-0.318,+5000,-0.430,,0.00,+4500,-0.486,+5000,-0.430,+5000,-0.430,,0.00,,0.00
"Couvra, Martin",150,+5507,+3500,-0.358,+6500,0.177,+6000,0.088,,0.00,+6000,0.088,+5000,-0.091,,0.00,+3500,-0.358,+5000,-0.091,+4000,-0.269,,0.00,,0.00
