player_name,sample_size,DG_odds,bet365_odds,bet365_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,betcris_odds,betcris_ev,caesars_odds,caesars_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,betonline_odds,betonline_ev,unibet_odds,unibet_ev,betmgm_odds,betmgm_ev,betfair_odds,betfair_ev,pinnacle_odds,pinnacle_ev
"Smith, Jordan",150,+325,+250,-0.177,+245,-0.189,,0.00,,0.00,,0.00,,0.00,,0.00,+275,-0.118,+250,-0.177,,0.00,,0.00,,0.00
"Ferguson, Ewen",150,+269,+225,-0.119,+220,-0.132,,0.00,,0.00,,0.00,,0.00,,0.00,+240,-0.078,+275,0.017,,0.00,,0.00,,0.00
"Laporta, Francesco",150,+273,+225,-0.129,+174,-0.266,,0.00,,0.00,,0.00,,0.00,,0.00,+215,-0.156,+200,-0.196,,0.00,,0.00,,0.00
"Schaper, Jayden",150,+268,+225,-0.117,+220,-0.130,,0.00,,0.00,,0.00,,0.00,,0.00,+215,-0.144,+200,-0.185,,0.00,,0.00,,0.00
"Reitan, Kristoffer",150,+232,+200,-0.096,+200,-0.096,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,+188,-0.132,,0.00,,0.00,,0.00
"Nakajima, Keita",150,+221,+175,-0.142,+220,-0.002,,0.00,,0.00,,0.00,,0.00,,0.00,+200,-0.064,+200,-0.064,,0.00,,0.00,,0.00
"Penge, Marco",150,+223,+225,0.007,+200,-0.071,,0.00,,0.00,,0.00,,0.00,,0.00,+200,-0.071,+188,-0.108,,0.00,,0.00,,0.00
"Chacarra, Eugenio",150,+216,+200,-0.049,+174,-0.132,,0.00,,0.00,,0.00,,0.00,,0.00,+200,-0.049,+188,-0.087,,0.00,,0.00,,0.00
"Parry, John",150,+234,+175,-0.178,+174,-0.181,,0.00,,0.00,,0.00,,0.00,,0.00,+200,-0.103,+188,-0.139,,0.00,,0.00,,0.00
"Couvra, Martin",150,+187,+225,0.133,+174,-0.045,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,+175,-0.041,,0.00,,0.00,,0.00
"Ayora, Angel",150,+196,+175,-0.071,+162,-0.115,,0.00,,0.00,,0.00,,0.00,,0.00,+165,-0.104,+175,-0.071,,0.00,,0.00,,0.00
