player_name,sample_size,DG_odds,bet365_odds,bet365_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,betcris_odds,betcris_ev,caesars_odds,caesars_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,betonline_odds,betonline_ev,unibet_odds,unibet_ev,betmgm_odds,betmgm_ev,betfair_odds,betfair_ev,pinnacle_odds,pinnacle_ev
"Smith, Jordan",150,+135,+125,-0.041,+115,-0.084,+115,-0.084,,0.00,+115,-0.084,+120,-0.063,-105,-0.168,+100,-0.148,+138,0.014,+120,-0.063,,0.00,,0.00
"Ferguson, Ewen",150,+162,+145,-0.065,+125,-0.141,+125,-0.141,,0.00,+130,-0.122,+138,-0.092,-105,-0.255,+110,-0.199,+145,-0.065,+125,-0.141,,0.00,,0.00
"Laporta, Francesco",150,+176,+145,-0.112,+150,-0.094,+150,-0.094,,0.00,+150,-0.094,+138,-0.138,+115,-0.221,+125,-0.185,+163,-0.047,+130,-0.167,,0.00,,0.00
"Schaper, Jayden",150,+181,+145,-0.127,+150,-0.110,+150,-0.110,,0.00,+150,-0.110,+138,-0.152,+115,-0.234,+120,-0.216,+163,-0.063,+130,-0.181,,0.00,,0.00
"Reitan, Kristoffer",150,+212,+160,-0.166,+170,-0.134,+170,-0.134,,0.00,+170,-0.134,+162,-0.160,+125,-0.278,+150,-0.198,+163,-0.156,+130,-0.262,,0.00,,0.00
"Nakajima, Keita",150,+205,+188,-0.055,+140,-0.213,+140,-0.213,,0.00,+140,-0.213,+162,-0.140,+130,-0.245,+135,-0.229,+175,-0.098,+160,-0.147,,0.00,,0.00
"Penge, Marco",150,+217,+160,-0.179,+160,-0.179,+160,-0.179,,0.00,+160,-0.179,+150,-0.211,+115,-0.321,+150,-0.211,+163,-0.169,+130,-0.274,,0.00,,0.00
"Chacarra, Eugenio",150,+210,+160,-0.160,+160,-0.160,+160,-0.160,,0.00,+160,-0.160,+162,-0.154,+130,-0.257,+150,-0.193,+175,-0.112,+150,-0.193,,0.00,,0.00
"Parry, John",150,+213,+188,-0.079,+190,-0.073,+190,-0.073,,0.00,+190,-0.073,+188,-0.079,+170,-0.137,+160,-0.169,+175,-0.121,+162,-0.162,,0.00,,0.00
"Couvra, Martin",150,+257,+160,-0.272,+190,-0.188,+190,-0.188,,0.00,+175,-0.230,+175,-0.230,+130,-0.356,+150,-0.300,+175,-0.230,+140,-0.328,,0.00,,0.00
"Ayora, Angel",150,+250,+188,-0.178,+210,-0.115,+210,-0.115,,0.00,+210,-0.115,+200,-0.144,+170,-0.229,+165,-0.244,+200,-0.144,+170,-0.229,,0.00,,0.00
"Lindell, Oliver",150,+268,+230,-0.104,+240,-0.077,+240,-0.077,,0.00,+240,-0.077,+225,-0.118,+210,-0.158,+175,-0.253,+225,-0.118,+220,-0.131,,0.00,,0.00
"Ding, Wenyi",150,+269,+240,-0.080,+210,-0.161,+210,-0.161,,0.00,+210,-0.161,+250,-0.053,+210,-0.161,+200,-0.188,+250,-0.053,+225,-0.120,,0.00,,0.00
"Lacroix, Frederic",150,+291,+240,-0.130,+230,-0.156,+230,-0.156,,0.00,+230,-0.156,+225,-0.169,+210,-0.207,+200,-0.233,+250,-0.105,+220,-0.181,,0.00,,0.00
"Von Dellingshausen, Nicolai",150,+278,+240,-0.101,+260,-0.048,+260,-0.048,,0.00,+260,-0.048,+225,-0.141,+170,-0.286,+200,-0.207,+200,-0.207,+210,-0.180,,0.00,,0.00
"Molinari, Edoardo",150,+308,+300,-0.021,+250,-0.143,+250,-0.143,,0.00,+240,-0.168,+300,-0.021,+260,-0.119,+250,-0.143,+300,-0.021,+250,-0.143,,0.00,,0.00
"Crocker, Sean",150,+315,+240,-0.181,+240,-0.181,+240,-0.181,,0.00,+240,-0.181,+250,-0.157,+210,-0.253,+225,-0.217,+275,-0.097,+225,-0.217,,0.00,,0.00
"Saddier, Adrien",150,+288,+280,-0.021,+250,-0.098,+250,-0.098,,0.00,+250,-0.098,+250,-0.098,+240,-0.124,+225,-0.162,+300,0.031,+225,-0.162,,0.00,,0.00
"Campillo, Jorge",150,+311,+240,-0.173,+230,-0.198,+230,-0.198,,0.00,+230,-0.198,+225,-0.210,+210,-0.246,+260,-0.125,+175,-0.331,+210,-0.246,,0.00,,0.00
"Sullivan, Andy",150,+319,+230,-0.213,+230,-0.213,+230,-0.213,,0.00,+230,-0.213,+225,-0.225,+210,-0.260,+200,-0.284,+200,-0.284,+210,-0.260,,0.00,,0.00
