player_name,sample_size,DG_odds,bet365_odds,bet365_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,betcris_odds,betcris_ev,caesars_odds,caesars_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,betonline_odds,betonline_ev,unibet_odds,unibet_ev,betmgm_odds,betmgm_ev,betfair_odds,betfair_ev,pinnacle_odds,pinnacle_ev
"Smith, Jordan",150,+2089,+2000,-0.041,+2000,-0.041,+2000,-0.041,+1959,-0.059,+2000,-0.041,+1800,-0.132,+2000,-0.041,+2000,-0.041,+1800,-0.132,+2000,-0.041,,0.00,+2085,-0.002
"Ferguson, Ewen",150,+2637,+2200,-0.160,+2200,-0.160,+2200,-0.160,+1859,-0.284,+2000,-0.233,+2200,-0.160,+2000,-0.233,+2500,-0.050,+2000,-0.233,+2200,-0.160,,0.00,+2201,-0.159
"Laporta, Francesco",150,+3050,+2800,-0.079,+3000,-0.016,+3000,-0.016,+2253,-0.253,+3000,-0.016,+2500,-0.174,+2500,-0.174,+2800,-0.079,+2500,-0.174,+2500,-0.174,,0.00,+2475,-0.182
"Schaper, Jayden",150,+3086,+2800,-0.090,+3000,-0.027,+3000,-0.027,+2552,-0.168,+2500,-0.184,+2200,-0.278,+2000,-0.341,+2200,-0.278,+2500,-0.184,+2800,-0.090,,0.00,+2396,-0.217
"Reitan, Kristoffer",150,+3547,+3000,-0.150,+3000,-0.150,+3000,-0.150,+1701,-0.506,+3000,-0.150,+2200,-0.369,+2800,-0.205,+2200,-0.369,+2500,-0.287,+2500,-0.287,,0.00,+2329,-0.334
"Nakajima, Keita",150,+3579,+3000,-0.157,+2500,-0.293,+2500,-0.293,+2803,-0.211,+2500,-0.293,+2500,-0.293,+3000,-0.157,+3300,-0.076,+2800,-0.212,+3300,-0.076,,0.00,+2822,-0.206
"Penge, Marco",150,+3681,+3000,-0.180,+3000,-0.180,+3000,-0.180,+3455,-0.060,+3000,-0.180,+2200,-0.392,+2500,-0.312,+3000,-0.180,+2500,-0.312,+2500,-0.312,,0.00,+3152,-0.140
"Chacarra, Eugenio",150,+3736,+3000,-0.192,+3000,-0.192,+3000,-0.192,+3754,0.005,+3000,-0.192,+2800,-0.244,+3000,-0.192,+2800,-0.244,+3300,-0.114,+3000,-0.192,,0.00,+2919,-0.213
"Parry, John",150,+4302,+3500,-0.182,+4000,-0.069,+4000,-0.069,+3550,-0.171,+3500,-0.182,+3300,-0.228,+4000,-0.069,+3500,-0.182,+3300,-0.228,+3500,-0.182,,0.00,+3098,-0.274
"Couvra, Martin",150,+4850,+2500,-0.475,+3300,-0.313,+3500,-0.273,+3050,-0.364,+2500,-0.475,+2800,-0.414,+3000,-0.374,+3000,-0.374,+2800,-0.414,+2500,-0.475,,0.00,+3203,-0.333
"Ayora, Angel",150,+5046,+3500,-0.300,+4000,-0.203,+4000,-0.203,+4556,-0.095,+4000,-0.203,+3300,-0.339,+4000,-0.203,+3000,-0.398,+4000,-0.203,+4000,-0.203,,0.00,+3760,-0.250
"Lindell, Oliver",150,+5305,+5000,-0.056,+5500,0.036,+5500,0.036,+4952,-0.065,+4000,-0.242,+4000,-0.242,+4500,-0.149,+4500,-0.149,+4500,-0.149,+4000,-0.242,,0.00,+4407,-0.166
"Ding, Wenyi",150,+5374,+5500,0.023,+4500,-0.160,+4500,-0.160,+4556,-0.150,+4500,-0.160,+4000,-0.251,+5000,-0.068,+5000,-0.068,+5000,-0.068,+5000,-0.068,,0.00,+5499,0.023
"Lacroix, Frederic",150,+6073,+5000,-0.174,+5000,-0.174,+4500,-0.255,+4406,-0.270,+5000,-0.174,+4000,-0.336,+5000,-0.174,+5500,-0.093,+5000,-0.174,+5000,-0.174,,0.00,+5095,-0.158
"Von Dellingshausen, Nicolai",150,+6150,+5500,-0.104,+6000,-0.024,+5500,-0.104,+6382,0.037,+6000,-0.024,+4000,-0.344,+4000,-0.344,+5000,-0.184,+4000,-0.344,+4500,-0.264,,0.00,+6000,-0.024
"Molinari, Edoardo",150,+6317,+7000,0.106,+6500,0.028,+6000,-0.049,+7067,0.117,+4500,-0.283,+5000,-0.205,+6500,0.028,+6000,-0.049,+6600,0.044,+6600,0.044,,0.00,+6571,0.040
"Crocker, Sean",150,+6331,+5000,-0.207,+5000,-0.207,+5000,-0.207,+5056,-0.198,+5000,-0.207,+5000,-0.207,+5000,-0.207,+5500,-0.129,+5500,-0.129,+5500,-0.129,,0.00,+5874,-0.071
"Saddier, Adrien",150,+6379,+6600,0.034,+5500,-0.136,+5500,-0.136,+4556,-0.281,+5500,-0.136,+5000,-0.213,+6000,-0.059,+6000,-0.059,+5000,-0.213,+5500,-0.136,,0.00,+5933,-0.069
"Campillo, Jorge",150,+6959,+5000,-0.277,+5500,-0.207,+5000,-0.277,+5274,-0.239,+4500,-0.348,+4000,-0.419,+5000,-0.277,+4500,-0.348,+3300,-0.518,+4500,-0.348,,0.00,+5338,-0.230
"Sullivan, Andy",150,+6992,+4500,-0.351,+5000,-0.281,+5000,-0.281,+5256,-0.245,+5000,-0.281,+4000,-0.422,+5000,-0.281,+5000,-0.281,+4000,-0.422,+4500,-0.351,,0.00,+5372,-0.228
"Fitzpatrick, Alex",150,+7164,+4500,-0.367,+5000,-0.298,+4500,-0.367,+5056,-0.290,+5000,-0.298,+4000,-0.436,+4500,-0.367,+5000,-0.298,+4500,-0.367,+5000,-0.298,,0.00,+5104,-0.284
"Mansell, Richard",150,+7253,+5500,-0.238,+5000,-0.306,+4500,-0.374,+5813,-0.196,+5000,-0.306,+5000,-0.306,+5000,-0.306,+5500,-0.238,+5000,-0.306,+5000,-0.306,,0.00,+5499,-0.239
"Hillier, Daniel",150,+7485,+5500,-0.262,+5500,-0.262,+5500,-0.262,+6281,-0.159,+5500,-0.262,+4000,-0.459,+5000,-0.328,+5000,-0.328,+5000,-0.328,+4500,-0.394,,0.00,+7412,-0.010
"Zanotti, Fabrizio",150,+7847,+6000,-0.232,+7500,-0.044,+7000,-0.107,+7559,-0.036,+7500,-0.044,+6600,-0.157,+6500,-0.170,+7500,-0.044,+6600,-0.157,+7500,-0.044,,0.00,+6591,-0.158
"Stone, Brandon",150,+7900,+4500,-0.425,+5000,-0.362,+4500,-0.425,+5356,-0.318,+5000,-0.362,+4000,-0.487,+5000,-0.362,+5000,-0.362,+5000,-0.362,+5000,-0.362,,0.00,+5892,-0.251
"Catlin, John",150,+7986,+5500,-0.307,+6000,-0.246,+5500,-0.307,+5857,-0.263,+5500,-0.307,+5000,-0.369,+6000,-0.246,+4000,-0.493,+5000,-0.369,+6600,-0.171,,0.00,+6153,-0.227
"Schneider, Marcel",150,+7997,+6000,-0.247,+5500,-0.308,+5500,-0.308,+7086,-0.113,+5500,-0.308,+5000,-0.370,+7000,-0.123,+7000,-0.123,+6600,-0.173,+5500,-0.308,,0.00,+6812,-0.146
