player_name,sample_size,DG_odds,bet365_odds,bet365_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,betcris_odds,betcris_ev,caesars_odds,caesars_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,betonline_odds,betonline_ev,unibet_odds,unibet_ev,betmgm_odds,betmgm_ev,betfair_odds,betfair_ev,pinnacle_odds,pinnacle_ev
"Neergaard-Petersen, Rasmus",150,-361,-345,0.010,-380,-0.011,-340,0.013,,0.00,-333,0.018,,0.00,,0.00,-400,-0.021,-500,-0.060,,0.00,,0.00,,0.00
"Li, Haotong",150,-264,-278,-0.013,-250,0.016,-300,-0.033,,0.00,-303,-0.035,,0.00,,0.00,-303,-0.035,-294,-0.028,,0.00,,0.00,,0.00
"Luiten, Joost",150,-297,-278,0.017,-340,-0.032,-275,0.020,,0.00,-278,0.017,,0.00,,0.00,-323,-0.020,-400,-0.065,,0.00,,0.00,,0.00
"Nakajima, Keita",150,-266,-250,0.017,-340,-0.060,-250,0.017,,0.00,-250,0.017,,0.00,,0.00,-303,-0.034,-345,-0.063,,0.00,,0.00,,0.00
"Ferguson, Ewen",150,-247,-227,0.025,-250,-0.004,-250,-0.004,,0.00,-250,-0.004,,0.00,,0.00,-278,-0.032,-294,-0.047,,0.00,,0.00,,0.00
"Chacarra, Eugenio",150,-219,-227,-0.011,-250,-0.039,-225,-0.008,,0.00,-227,-0.011,,0.00,,0.00,-238,-0.025,-270,-0.059,,0.00,,0.00,,0.00
"Canter, Laurie",150,-222,-227,-0.007,-250,-0.034,-225,-0.003,,0.00,-227,-0.007,,0.00,,0.00,-250,-0.034,,0.00,,0.00,,0.00,,0.00
"Stone, Brandon",150,-209,-189,0.035,-174,0.065,-200,0.015,,0.00,-200,0.015,,0.00,,0.00,,0.00,-270,-0.073,,0.00,,0.00,,0.00
"Bairstow, Sam",150,-205,-250,-0.058,-250,-0.058,-200,0.009,,0.00,-200,0.009,,0.00,,0.00,-227,-0.031,-250,-0.058,,0.00,,0.00,,0.00
"Reitan, Kristoffer",150,-205,-227,-0.032,-215,-0.015,-200,0.008,,0.00,-200,0.008,,0.00,,0.00,,0.00,-250,-0.059,,0.00,,0.00,,0.00
"Schaper, Jayden",150,-212,-200,0.019,-215,-0.005,-225,-0.019,,0.00,-227,-0.022,,0.00,,0.00,-227,-0.022,-270,-0.070,,0.00,,0.00,,0.00
"Laporta, Francesco",150,-213,-189,0.041,-215,-0.004,-225,-0.018,,0.00,-227,-0.021,,0.00,,0.00,-238,-0.034,-270,-0.068,,0.00,,0.00,,0.00
"Schneider, Marcel",150,-198,-200,-0.003,,0.00,-200,-0.003,,0.00,-200,-0.003,,0.00,,0.00,,0.00,-250,-0.070,,0.00,,0.00,,0.00
"Ding, Wenyi",150,-185,-175,0.020,-215,-0.048,-175,0.021,,0.00,-175,0.020,,0.00,,0.00,,0.00,-250,-0.091,,0.00,,0.00,,0.00
"Pavan, Andrea",150,-177,-175,0.004,,0.00,-175,0.005,,0.00,-175,0.004,,0.00,,0.00,,0.00,-250,-0.105,,0.00,,0.00,,0.00
"Ayora, Angel",150,-182,-161,0.045,,0.00,-150,0.076,,0.00,-179,0.007,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Mansell, Richard",150,-178,-175,0.005,,0.00,-175,0.006,,0.00,-175,0.005,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Veerman, Johannes",150,-169,-189,-0.038,,0.00,-165,0.010,,0.00,-164,0.012,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00
"Hillier, Daniel",150,-176,-175,0.002,-154,0.052,-165,0.025,,0.00,-164,0.027,,0.00,,0.00,,0.00,-200,-0.043,,0.00,,0.00,,0.00
"Guerrier, Julien",150,-162,-161,0.001,-154,0.019,-165,-0.007,,0.00,-164,-0.005,,0.00,,0.00,,0.00,-200,-0.073,,0.00,,0.00,,0.00
"Parry, John",150,-178,-189,-0.020,-192,-0.026,-165,0.029,,0.00,-164,0.032,,0.00,,0.00,,0.00,-222,-0.071,,0.00,,0.00,,0.00
