player_name,sample_size,DG_odds,bet365_odds,bet365_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,betcris_odds,betcris_ev,caesars_odds,caesars_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,betonline_odds,betonline_ev,unibet_odds,unibet_ev,betmgm_odds,betmgm_ev,betfair_odds,betfair_ev,pinnacle_odds,pinnacle_ev
"Neergaard-Petersen, Rasmus",150,+225,+225,-0.001,+210,-0.047,+210,-0.047,,0.00,+210,-0.047,+210,-0.047,+160,-0.201,+175,-0.154,+225,-0.001,+187,-0.118,,0.00,,0.00
"Li, Haotong",150,+323,+300,-0.055,+250,-0.173,+250,-0.173,,0.00,+250,-0.173,+275,-0.114,+210,-0.268,+225,-0.233,+300,-0.055,+250,-0.173,,0.00,,0.00
"Luiten, Joost",150,+308,+300,-0.020,+300,-0.020,+300,-0.020,,0.00,+300,-0.020,+275,-0.081,+210,-0.240,+225,-0.204,+275,-0.081,+250,-0.142,,0.00,,0.00
"Nakajima, Keita",150,+338,+350,0.028,+300,-0.086,+300,-0.086,,0.00,+300,-0.086,+300,-0.086,+240,-0.223,+225,-0.257,+335,-0.006,+300,-0.086,,0.00,,0.00
"Ferguson, Ewen",150,+403,+400,-0.006,+360,-0.085,+360,-0.085,,0.00,+360,-0.085,+350,-0.105,+280,-0.244,+275,-0.254,+335,-0.135,+300,-0.205,,0.00,,0.00
"Chacarra, Eugenio",150,+435,+400,-0.066,+350,-0.160,+350,-0.160,,0.00,+350,-0.160,+350,-0.160,+280,-0.290,+275,-0.300,+400,-0.066,+300,-0.253,,0.00,,0.00
"Canter, Laurie",150,+451,+400,-0.093,+330,-0.220,+330,-0.220,,0.00,+330,-0.220,+350,-0.184,+260,-0.347,+275,-0.320,+350,-0.184,+300,-0.274,,0.00,,0.00
"Stone, Brandon",150,+478,+550,0.125,+400,-0.135,+400,-0.135,,0.00,+400,-0.135,+400,-0.135,+310,-0.291,+400,-0.135,+400,-0.135,+400,-0.135,,0.00,,0.00
"Bairstow, Sam",150,+501,+350,-0.252,+400,-0.169,+400,-0.169,,0.00,+400,-0.169,+350,-0.252,+240,-0.435,+350,-0.252,+350,-0.252,+300,-0.335,,0.00,,0.00
"Reitan, Kristoffer",150,+507,+400,-0.176,+400,-0.176,+400,-0.176,,0.00,+400,-0.176,+350,-0.258,+280,-0.374,+350,-0.258,+400,-0.176,+333,-0.286,,0.00,,0.00
"Schaper, Jayden",150,+490,+500,0.016,+400,-0.153,+400,-0.153,,0.00,+400,-0.153,+400,-0.153,+310,-0.305,+400,-0.153,+400,-0.153,+350,-0.238,,0.00,,0.00
"Laporta, Francesco",150,+476,+550,0.128,+400,-0.132,+400,-0.132,,0.00,+400,-0.132,+450,-0.045,+400,-0.132,+400,-0.132,+450,-0.045,+450,-0.045,,0.00,,0.00
"Schneider, Marcel",150,+524,+500,-0.038,+400,-0.199,+400,-0.199,,0.00,+400,-0.199,+400,-0.199,+310,-0.343,+350,-0.279,+400,-0.199,+350,-0.279,,0.00,,0.00
"Ding, Wenyi",150,+559,+600,0.063,+500,-0.089,+500,-0.089,,0.00,+500,-0.089,+500,-0.089,+475,-0.127,+350,-0.317,+550,-0.013,+500,-0.089,,0.00,,0.00
"Pavan, Andrea",150,+622,+600,-0.030,+550,-0.099,+550,-0.099,,0.00,+550,-0.099,+550,-0.099,+475,-0.203,+400,-0.307,+550,-0.099,+500,-0.169,,0.00,,0.00
"Ayora, Angel",150,+634,+650,0.021,+600,-0.047,+600,-0.047,,0.00,+600,-0.047,+600,-0.047,+475,-0.217,+500,-0.183,+650,0.021,+500,-0.183,,0.00,,0.00
"Mansell, Richard",150,+634,+550,-0.114,+400,-0.319,+400,-0.319,,0.00,+400,-0.319,+500,-0.183,+400,-0.319,+500,-0.183,+600,-0.046,+500,-0.183,,0.00,,0.00
"Veerman, Johannes",150,+705,+550,-0.192,+500,-0.254,+500,-0.254,,0.00,+500,-0.254,+500,-0.254,+400,-0.379,+600,-0.130,+600,-0.130,+450,-0.316,,0.00,,0.00
"Hillier, Daniel",150,+661,+600,-0.080,+550,-0.146,+550,-0.146,,0.00,+550,-0.146,+550,-0.146,+425,-0.310,+500,-0.212,+600,-0.080,+500,-0.212,,0.00,,0.00
"Guerrier, Julien",150,+719,+650,-0.085,+550,-0.207,+550,-0.207,,0.00,+550,-0.207,+550,-0.207,+500,-0.268,+500,-0.268,+500,-0.268,+500,-0.268,,0.00,,0.00
"Parry, John",150,+682,+550,-0.169,+600,-0.105,+600,-0.105,,0.00,+500,-0.233,+550,-0.169,+400,-0.361,+500,-0.233,+500,-0.233,+400,-0.361,,0.00,,0.00
