player_name,sample_size,DG_odds,bet365_odds,bet365_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,betcris_odds,betcris_ev,caesars_odds,caesars_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,betonline_odds,betonline_ev,unibet_odds,unibet_ev,betmgm_odds,betmgm_ev,betfair_odds,betfair_ev,pinnacle_odds,pinnacle_ev
"Neergaard-Petersen, Rasmus",150,+1614,+1600,-0.008,+1600,-0.008,+1600,-0.008,+1454,-0.093,+1600,-0.008,+1400,-0.125,+1600,-0.008,+1400,-0.125,+1600,-0.008,+1600,-0.008,,0.00,+1536,-0.045
"Li, Haotong",150,+2458,+2200,-0.101,+2000,-0.179,+2000,-0.179,+2104,-0.138,+2000,-0.179,+2000,-0.179,+2200,-0.101,+2200,-0.101,+2000,-0.179,+2200,-0.101,,0.00,+2109,-0.136
"Luiten, Joost",150,+2570,+2200,-0.139,+2500,-0.026,+2500,-0.026,+2153,-0.156,+2500,-0.026,+2200,-0.139,+2200,-0.139,+2200,-0.139,+2000,-0.214,+2200,-0.139,,0.00,+2262,-0.115
"Nakajima, Keita",150,+2757,+2800,0.015,+2500,-0.090,+2500,-0.090,+2055,-0.246,+2200,-0.195,+2500,-0.090,+2500,-0.090,+2500,-0.090,+2200,-0.195,+2800,0.015,,0.00,+2543,-0.075
"Ferguson, Ewen",150,+3731,+3300,-0.113,+3300,-0.113,+3000,-0.191,+2709,-0.267,+2500,-0.321,+2800,-0.243,+3000,-0.191,+3500,-0.060,+3300,-0.113,+3000,-0.191,,0.00,+3001,-0.191
"Chacarra, Eugenio",150,+3799,+3300,-0.128,+3000,-0.205,+3000,-0.205,+3650,-0.038,+2800,-0.256,+3300,-0.128,+3000,-0.205,+3300,-0.128,+3300,-0.128,+3000,-0.205,,0.00,+3029,-0.197
"Canter, Laurie",150,+4035,+3000,-0.250,+3000,-0.250,+2800,-0.299,+3304,-0.177,+3000,-0.250,+2500,-0.371,+2800,-0.299,+3000,-0.250,+2800,-0.299,+2800,-0.299,,0.00,+3172,-0.209
"Stone, Brandon",150,+4494,+4500,0.001,+4000,-0.108,+3500,-0.216,+3260,-0.269,+3500,-0.216,+3300,-0.260,+3500,-0.216,+4000,-0.108,+3300,-0.260,+4500,0.001,,0.00,+4002,-0.107
"Bairstow, Sam",150,+4530,+2800,-0.374,+3500,-0.222,+3500,-0.222,+3427,-0.238,+3000,-0.330,+2500,-0.438,+2500,-0.438,+3300,-0.266,+2800,-0.374,+2800,-0.374,,0.00,+3350,-0.255
"Reitan, Kristoffer",150,+4577,+3300,-0.273,+3500,-0.230,+3000,-0.337,+2151,-0.519,+1800,-0.594,+2800,-0.380,+3000,-0.337,+3500,-0.230,+2800,-0.380,+3300,-0.273,,0.00,+3051,-0.326
"Schaper, Jayden",150,+4577,+4000,-0.123,+4000,-0.123,+3500,-0.230,+2651,-0.412,+2500,-0.444,+4000,-0.123,+3500,-0.230,+4000,-0.123,+3300,-0.273,+4000,-0.123,,0.00,+3682,-0.191
"Laporta, Francesco",150,+4628,+4500,-0.027,+4000,-0.133,+4000,-0.133,+3862,-0.162,+4000,-0.133,+4000,-0.133,+4500,-0.027,+4500,-0.027,+5000,0.079,+5000,0.079,,0.00,+4275,-0.075
"Schneider, Marcel",150,+4754,+4000,-0.155,+4000,-0.155,+4000,-0.155,+4856,0.021,+3500,-0.258,+4000,-0.155,+3500,-0.258,+4500,-0.052,+4000,-0.155,+4000,-0.155,,0.00,+4653,-0.021
"Ding, Wenyi",150,+5415,+5500,0.015,+5500,0.015,+5000,-0.075,+4264,-0.209,+3500,-0.347,+5000,-0.075,+5500,0.015,+5500,0.015,+4500,-0.166,+6000,0.106,,0.00,+4578,-0.152
"Pavan, Andrea",150,+6256,+5500,-0.119,+6000,-0.040,+5500,-0.119,+4264,-0.313,+6000,-0.040,+5000,-0.198,+5500,-0.119,+6000,-0.040,+5000,-0.198,+6000,-0.040,,0.00,+5147,-0.174
"Ayora, Angel",150,+6317,+6000,-0.049,+6000,-0.049,+5500,-0.127,+5667,-0.101,+6000,-0.049,+5000,-0.205,+5500,-0.127,+6000,-0.049,+6600,0.044,+6000,-0.049,,0.00,+5823,-0.077
"Mansell, Richard",150,+6457,+5000,-0.222,+4000,-0.375,+3500,-0.451,+5066,-0.212,+4000,-0.375,+5000,-0.222,+4500,-0.298,+6000,-0.070,+5000,-0.222,+5500,-0.146,,0.00,+6069,-0.059
"Veerman, Johannes",150,+6951,+4500,-0.348,+5000,-0.277,+4500,-0.348,+6051,-0.128,+5000,-0.277,+4000,-0.418,+4500,-0.348,+4500,-0.348,+5000,-0.277,+5000,-0.277,,0.00,+5510,-0.204
"Hillier, Daniel",150,+7051,+5500,-0.217,+5500,-0.217,+5000,-0.287,+6869,-0.026,+5500,-0.217,+5000,-0.287,+5000,-0.287,+6000,-0.147,+5000,-0.287,+5500,-0.217,,0.00,+6280,-0.108
"Guerrier, Julien",150,+7164,+6000,-0.160,+6000,-0.160,+5500,-0.229,+6521,-0.089,+6000,-0.160,+5000,-0.298,+6000,-0.160,+7000,-0.023,+6000,-0.160,+6000,-0.160,,0.00,+7048,-0.016
"Parry, John",150,+7723,+4500,-0.412,+6500,-0.156,+6000,-0.220,+5556,-0.277,+3500,-0.540,+4000,-0.476,+4500,-0.412,+4500,-0.412,+5000,-0.348,+4500,-0.412,,0.00,+5002,-0.348
"Sullivan, Andy",150,+8063,+6000,-0.253,+6000,-0.253,+5500,-0.314,+6271,-0.220,+6000,-0.253,+5000,-0.375,+6000,-0.253,+6500,-0.192,+6000,-0.253,+5500,-0.314,,0.00,+6719,-0.165
"Soderberg, Sebastian",150,+8315,+4500,-0.453,+6000,-0.275,+5500,-0.335,+5251,-0.364,+5500,-0.335,+4000,-0.513,+4500,-0.453,+4500,-0.453,+5000,-0.394,+5500,-0.335,,0.00,+4408,-0.464
"Crocker, Sean",150,+8496,+5500,-0.349,+6000,-0.290,+5500,-0.349,+5851,-0.308,+5000,-0.407,+5000,-0.407,+6500,-0.232,+6000,-0.290,+6600,-0.221,+5500,-0.349,,0.00,+5372,-0.363
"Zanotti, Fabrizio",150,+8842,+8000,-0.094,+9000,0.018,+8000,-0.094,+9572,0.082,+7500,-0.150,+8000,-0.094,+8000,-0.094,+8000,-0.094,+8000,-0.094,+9000,0.018,,0.00,+8155,-0.077
