player_name,dg_id,dg_pred,my_pred,import_advice
jon rahm,19195,2.072,null,1) import file must include at least one of player_name or dg_id columns
bryson dechambeau,19841,1.997,null,2) import file must include my_pred column
tyrrell hatton,14796,1.42,null,3) it is not required you import all players; we will set any missing or unmatched players to our default prediction
joaquin niemann,18079,1.403,null,
patrick reed,14838,1.155,null,
sebastian munoz,20770,1.026,null,
carlos ortiz,14735,0.891,null,
david puig,28984,0.782,null,
louis oosthuizen,7672,0.63,null,
paul casey,7108,0.599,null,
sergio garcia,5689,0.556,null,
cameron smith,15856,0.453,null,
abraham ancer,18238,0.451,null,
cameron tringale,14013,0.4,null,
talor gooch,18580,0.387,null,
tom mckibbin,22322,0.376,null,
anirban lahiri,12669,0.369,null,
brooks koepka,16243,0.337,null,
lucas herbert,17064,0.332,null,
dean burmester,14424,0.265,null,
charl schwartzel,7398,0.237,null,
marc leishman,7649,0.184,null,
thomas pieters,13944,0.137,null,
harold varner iii,16602,0.1,null,
richard bland,6516,0.08,null,
dustin johnson,12422,0.011,null,
charles howell iii,6892,-0.01,null,
jinichiro kozuma,14209,-0.025,null,
bubba watson,7334,-0.17,null,
brendan steele,11019,-0.328,null,
branden grace,11952,-0.343,null,
ben campbell,14373,-0.359,null,
martin kaymer,8117,-0.386,null,
graeme mcdowell,7548,-0.452,null,
sam horsfield,19866,-0.468,null,
kevin na,7452,-0.5,null,
henrik stenson,5994,-0.508,null,
jason kokrak,12337,-0.57,null,
adrian meronk,14196,-0.678,null,
phil mickelson,1547,-0.705,null,
peter uihlein,11357,-0.789,null,
caleb surratt,30463,-0.839,null,
lee westwood,4052,-0.955,null,
chieh-po lee,16563,-1.194,null,
ian poulter,1435,-1.197,null,
matt jones,8605,-1.271,null,
andy ogletree,27597,-1.353,null,
jose luis ballester,28473,-1.385,null,
yubin jang,28276,-1.475,null,
luis masaveu,30428,-1.597,null,
danny lee,11826,-1.625,null,
mito pereira,19455,-1.859,null,
frederik kjettrup,24660,-2.338,null,
anthony kim,11641,-2.492,null,
