player_name,sample_size,DG_odds,bet365_odds,bet365_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,betcris_odds,betcris_ev,caesars_odds,caesars_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,betonline_odds,betonline_ev,unibet_odds,unibet_ev,betmgm_odds,betmgm_ev,betfair_odds,betfair_ev,pinnacle_odds,pinnacle_ev
"DeChambeau, Bryson",150,-527,-769,-0.050,,0.00,,0.00,,0.00,,0.00,-714,-0.042,-700,-0.040,,0.00,-667,-0.034,,0.00,,0.00,,0.00
"Rahm, Jon",150,-500,-625,-0.033,,0.00,,0.00,,0.00,,0.00,-588,-0.025,-650,-0.039,,0.00,-625,-0.033,,0.00,,0.00,,0.00
"Niemann, Joaquin",150,-273,-417,-0.093,,0.00,,0.00,,0.00,,0.00,-455,-0.107,-500,-0.122,,0.00,-435,-0.100,,0.00,,0.00,,0.00
"Hatton, Tyrrell",150,-277,-556,-0.133,,0.00,,0.00,,0.00,,0.00,-556,-0.133,-600,-0.143,,0.00,-556,-0.133,,0.00,,0.00,,0.00
"Puig, David",150,-130,-222,-0.181,,0.00,,0.00,,0.00,,0.00,-250,-0.209,-350,-0.273,,0.00,-250,-0.209,,0.00,,0.00,,0.00
"Reed, Patrick",150,-132,-200,-0.147,,0.00,,0.00,,0.00,,0.00,-227,-0.181,-300,-0.241,,0.00,-222,-0.175,,0.00,,0.00,,0.00
"Munoz, Sebastian",150,-120,-179,-0.148,,0.00,,0.00,,0.00,,0.00,-200,-0.181,-275,-0.255,,0.00,-200,-0.181,,0.00,,0.00,,0.00
"Ortiz, Carlos",150,-114,-179,-0.168,,0.00,,0.00,,0.00,,0.00,-189,-0.184,-275,-0.273,,0.00,-185,-0.179,,0.00,,0.00,,0.00
"Herbert, Lucas",150,-103,-141,-0.131,,0.00,,0.00,,0.00,,0.00,-149,-0.151,-190,-0.224,,0.00,-161,-0.177,,0.00,,0.00,,0.00
"McKibbin, Tom",150,-107,-141,-0.114,,0.00,,0.00,,0.00,,0.00,-164,-0.166,-225,-0.252,,0.00,-161,-0.161,,0.00,,0.00,,0.00
"Johnson, Dustin",150,+109,-141,-0.182,,0.00,,0.00,,0.00,,0.00,-164,-0.230,-225,-0.309,,0.00,-161,-0.225,,0.00,,0.00,,0.00
"Smith, Cameron",150,+105,-179,-0.238,,0.00,,0.00,,0.00,,0.00,-189,-0.253,-275,-0.334,,0.00,-185,-0.248,,0.00,,0.00,,0.00
"Gooch, Talor",150,+107,-208,-0.284,,0.00,,0.00,,0.00,,0.00,-227,-0.304,-350,-0.378,,0.00,-222,-0.299,,0.00,,0.00,,0.00
"Varner III, Harold",150,+117,-115,-0.137,,0.00,,0.00,,0.00,,0.00,-120,-0.155,-165,-0.259,,0.00,-119,-0.151,,0.00,,0.00,,0.00
"Tringale, Cameron",150,+117,-164,-0.259,,0.00,,0.00,,0.00,,0.00,-189,-0.296,-275,-0.372,,0.00,-185,-0.291,,0.00,,0.00,,0.00
"Burmester, Dean",150,+117,-125,-0.169,,0.00,,0.00,,0.00,,0.00,-149,-0.229,-190,-0.295,,0.00,-149,-0.229,,0.00,,0.00,,0.00
"Casey, Paul",150,+118,-141,-0.215,,0.00,,0.00,,0.00,,0.00,-164,-0.261,-225,-0.337,,0.00,-161,-0.256,,0.00,,0.00,,0.00
"Koepka, Brooks",150,+127,-125,-0.208,,0.00,,0.00,,0.00,,0.00,-149,-0.265,-200,-0.340,,0.00,-161,-0.287,,0.00,,0.00,,0.00
"Garcia, Sergio",150,+131,-159,-0.293,,0.00,,0.00,,0.00,,0.00,-189,-0.336,-275,-0.409,,0.00,-185,-0.332,,0.00,,0.00,,0.00
"Ancer, Abraham",150,+127,-189,-0.326,,0.00,,0.00,,0.00,,0.00,-200,-0.339,-300,-0.412,,0.00,-200,-0.339,,0.00,,0.00,,0.00
"Pieters, Thomas",150,+127,-105,-0.140,,0.00,,0.00,,0.00,,0.00,-120,-0.193,-150,-0.265,,0.00,-119,-0.189,,0.00,,0.00,,0.00
"Howell III, Charles",150,+147,+125,-0.089,,0.00,,0.00,,0.00,,0.00,+105,-0.170,-125,-0.272,,0.00,+100,-0.191,,0.00,,0.00,,0.00
"Oosthuizen, Louis",150,+148,-141,-0.311,,0.00,,0.00,,0.00,,0.00,-149,-0.327,-200,-0.395,,0.00,-149,-0.327,,0.00,,0.00,,0.00
"Lahiri, Anirban",150,+146,-141,-0.306,,0.00,,0.00,,0.00,,0.00,-149,-0.322,-190,-0.380,,0.00,-149,-0.322,,0.00,,0.00,,0.00
"Kozuma, Jinichiro",150,+152,-105,-0.226,,0.00,,0.00,,0.00,,0.00,-125,-0.285,-150,-0.338,,0.00,-149,-0.337,,0.00,,0.00,,0.00
