player_name,sample_size,DG_odds,bet365_odds,bet365_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,betcris_odds,betcris_ev,caesars_odds,caesars_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,betonline_odds,betonline_ev,unibet_odds,unibet_ev,betmgm_odds,betmgm_ev,betfair_odds,betfair_ev,pinnacle_odds,pinnacle_ev
"DeChambeau, Bryson",150,+488,+450,-0.064,+500,0.021,+500,0.021,,0.00,+500,0.021,+450,-0.064,+500,0.021,+450,-0.064,+450,-0.064,+500,0.021,,0.00,+476,-0.020
"Rahm, Jon",150,+555,+550,-0.007,+550,-0.007,+475,-0.122,,0.00,+550,-0.007,+550,-0.007,+525,-0.045,+550,-0.007,+550,-0.007,+550,-0.007,,0.00,+560,0.008
"Niemann, Joaquin",150,+1135,+900,-0.190,+900,-0.190,+1000,-0.109,,0.00,+900,-0.190,+850,-0.231,+900,-0.190,+1000,-0.109,+900,-0.190,+900,-0.190,,0.00,+973,-0.131
"Hatton, Tyrrell",150,+1155,+650,-0.402,+650,-0.402,+700,-0.363,,0.00,+600,-0.442,+700,-0.363,+700,-0.363,+850,-0.243,+650,-0.402,+650,-0.402,,0.00,+952,-0.162
"Puig, David",150,+3066,+1800,-0.400,+1600,-0.463,+1800,-0.400,,0.00,+1800,-0.400,+1600,-0.463,+1800,-0.400,+1800,-0.400,+1800,-0.400,+1800,-0.400,,0.00,+2345,-0.228
"Reed, Patrick",150,+3319,+2200,-0.327,+2000,-0.386,+2500,-0.239,,0.00,+2200,-0.327,+2000,-0.386,+2200,-0.327,+2500,-0.239,+2000,-0.386,+2000,-0.386,,0.00,+2649,-0.196
"Munoz, Sebastian",150,+3604,+2500,-0.298,+2600,-0.271,+2000,-0.433,,0.00,+2500,-0.298,+2500,-0.298,+2500,-0.298,+2500,-0.298,+2200,-0.379,+2200,-0.379,,0.00,+3080,-0.141
"Ortiz, Carlos",150,+3678,+2500,-0.312,+2600,-0.285,+3000,-0.180,,0.00,+2800,-0.232,+2500,-0.312,+3000,-0.180,+3000,-0.180,+2800,-0.232,+2800,-0.232,,0.00,+3231,-0.118
"Herbert, Lucas",150,+4164,+3500,-0.156,+4100,-0.015,+4000,-0.039,,0.00,+3500,-0.156,+3300,-0.203,+4500,0.079,+3500,-0.156,+3300,-0.203,+3300,-0.203,,0.00,+3548,-0.145
"McKibbin, Tom",150,+4719,+3500,-0.253,+3300,-0.294,+3500,-0.253,,0.00,+3300,-0.294,+3300,-0.294,+3500,-0.253,+3500,-0.253,+3300,-0.294,+3300,-0.294,,0.00,+3815,-0.188
"Johnson, Dustin",150,+4855,+3500,-0.273,+3300,-0.314,+4000,-0.172,,0.00,+3300,-0.314,+3300,-0.314,+3500,-0.273,+3500,-0.273,+3300,-0.314,+3000,-0.374,,0.00,+3238,-0.326
"Smith, Cameron",150,+5041,+2500,-0.494,+2900,-0.417,+3000,-0.397,,0.00,+2800,-0.436,+2500,-0.494,+3000,-0.397,+2800,-0.436,+2800,-0.436,+2200,-0.553,,0.00,+3293,-0.340
"Gooch, Talor",150,+5325,+2000,-0.613,+1800,-0.650,+2200,-0.576,,0.00,+2000,-0.613,+1800,-0.650,+2000,-0.613,+2200,-0.576,+2000,-0.613,+1800,-0.650,,0.00,+2932,-0.441
"Varner III, Harold",150,+5379,+5000,-0.069,+5000,-0.069,+4000,-0.252,,0.00,+4500,-0.161,+4000,-0.252,+5500,0.022,+5000,-0.069,+5000,-0.069,+5000,-0.069,,0.00,+5294,-0.016
