player_name,sample_size,DG_odds,bet365_odds,bet365_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,betcris_odds,betcris_ev,caesars_odds,caesars_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,betonline_odds,betonline_ev,unibet_odds,unibet_ev,betmgm_odds,betmgm_ev,betfair_odds,betfair_ev,pinnacle_odds,pinnacle_ev
"Rahm, Jon",150,-405,-556,-0.054,,0.00,-700,-0.083,,0.00,,0.00,,0.00,-600,-0.064,,0.00,,0.00,,0.00,,0.00,,0.00
"DeChambeau, Bryson",150,-369,-588,-0.080,,0.00,-600,-0.082,,0.00,,0.00,,0.00,-700,-0.101,,0.00,,0.00,,0.00,,0.00,,0.00
"Hatton, Tyrrell",150,-220,-455,-0.162,,0.00,-450,-0.160,,0.00,,0.00,,0.00,-600,-0.198,,0.00,,0.00,,0.00,,0.00,,0.00
"Niemann, Joaquin",150,-216,-455,-0.167,,0.00,-400,-0.146,,0.00,,0.00,,0.00,-500,-0.180,,0.00,,0.00,,0.00,,0.00,,0.00
"Reed, Patrick",150,-179,-238,-0.089,,0.00,-285,-0.134,,0.00,,0.00,,0.00,-350,-0.175,,0.00,,0.00,,0.00,,0.00,,0.00
"Munoz, Sebastian",150,-157,-164,-0.017,,0.00,-215,-0.105,,0.00,,0.00,,0.00,-210,-0.099,,0.00,,0.00,,0.00,,0.00,,0.00
"Ortiz, Carlos",150,-137,-222,-0.162,,0.00,-215,-0.153,,0.00,,0.00,,0.00,-250,-0.191,,0.00,,0.00,,0.00,,0.00,,0.00
"Puig, David",150,-128,-222,-0.186,,0.00,-225,-0.189,,0.00,,0.00,,0.00,-275,-0.235,,0.00,,0.00,,0.00,,0.00,,0.00
"Oosthuizen, Louis",150,-111,-200,-0.212,,0.00,-155,-0.136,,0.00,,0.00,,0.00,-250,-0.265,,0.00,,0.00,,0.00,,0.00,,0.00
"Casey, Paul",150,-108,-145,-0.122,,0.00,-185,-0.199,,0.00,,0.00,,0.00,-200,-0.220,,0.00,,0.00,,0.00,,0.00,,0.00
"Garcia, Sergio",150,-105,-233,-0.268,,0.00,-250,-0.284,,0.00,,0.00,,0.00,-275,-0.302,,0.00,,0.00,,0.00,,0.00,,0.00
"Smith, Cameron",150,+105,-222,-0.294,,0.00,-160,-0.209,,0.00,,0.00,,0.00,-250,-0.318,,0.00,,0.00,,0.00,,0.00,,0.00
"Ancer, Abraham",150,+105,-175,-0.236,,0.00,-155,-0.199,,0.00,,0.00,,0.00,-250,-0.319,,0.00,,0.00,,0.00,,0.00,,0.00
"Herbert, Lucas",150,+118,-145,-0.225,,0.00,-155,-0.245,,0.00,,0.00,,0.00,-160,-0.255,,0.00,,0.00,,0.00,,0.00,,0.00
"Koepka, Brooks",150,+115,-164,-0.253,,0.00,-155,-0.237,,0.00,,0.00,,0.00,-200,-0.304,,0.00,,0.00,,0.00,,0.00,,0.00
"Lahiri, Anirban",150,+114,-175,-0.266,,0.00,-120,-0.143,,0.00,,0.00,,0.00,-250,-0.345,,0.00,,0.00,,0.00,,0.00,,0.00
"Tringale, Cameron",150,+110,-141,-0.184,,0.00,-130,-0.156,,0.00,,0.00,,0.00,-200,-0.284,,0.00,,0.00,,0.00,,0.00,,0.00
"Gooch, Talor",150,+113,-145,-0.206,,0.00,-155,-0.227,,0.00,,0.00,,0.00,-200,-0.295,,0.00,,0.00,,0.00,,0.00,,0.00
"McKibbin, Tom",150,+112,-125,-0.153,,0.00,-130,-0.167,,0.00,,0.00,,0.00,-160,-0.235,,0.00,,0.00,,0.00,,0.00,,0.00
"Schwartzel, Charl",150,+129,+120,-0.038,,0.00,-105,-0.146,,0.00,,0.00,,0.00,+105,-0.103,,0.00,,0.00,,0.00,,0.00,,0.00
