player_name,sample_size,DG_odds,bet365_odds,bet365_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,betcris_odds,betcris_ev,caesars_odds,caesars_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,betonline_odds,betonline_ev,unibet_odds,unibet_ev,betmgm_odds,betmgm_ev,betfair_odds,betfair_ev,pinnacle_odds,pinnacle_ev
"Rahm, Jon",150,+678,+600,-0.101,+600,-0.101,+500,-0.229,+478,-0.257,+600,-0.101,+600,-0.101,+550,-0.165,+600,-0.101,+600,-0.101,+600,-0.101,,0.00,+592,-0.111
"DeChambeau, Bryson",150,+698,+550,-0.186,+600,-0.123,+550,-0.186,+655,-0.054,+500,-0.248,+550,-0.186,+500,-0.248,+700,0.002,+500,-0.248,+650,-0.060,,0.00,+635,-0.079
"Hatton, Tyrrell",150,+1443,+800,-0.417,+1000,-0.287,+850,-0.384,+981,-0.299,+800,-0.417,+750,-0.449,+900,-0.352,+1000,-0.287,+800,-0.417,+850,-0.384,,0.00,+1134,-0.200
"Niemann, Joaquin",150,+1450,+800,-0.419,+1000,-0.290,+900,-0.355,+1319,-0.085,+700,-0.484,+800,-0.419,+800,-0.419,+1000,-0.290,+800,-0.419,+850,-0.387,,0.00,+1300,-0.097
"Reed, Patrick",150,+2003,+1600,-0.192,+1600,-0.192,+1600,-0.192,+1875,-0.061,+1500,-0.239,+1600,-0.192,+1600,-0.192,+2000,-0.001,+1600,-0.192,+1600,-0.192,,0.00,+1885,-0.056
"Munoz, Sebastian",150,+2254,+2800,0.232,+2300,0.020,+2200,-0.023,+2356,0.043,+2000,-0.108,+2500,0.105,+2500,0.105,+2200,-0.023,+2200,-0.023,+2200,-0.023,,0.00,+2381,0.054
"Ortiz, Carlos",150,+2533,+1800,-0.278,+1800,-0.278,+2200,-0.126,+2752,0.083,+1600,-0.354,+1800,-0.278,+2200,-0.126,+2500,-0.012,+2000,-0.202,+2200,-0.126,,0.00,+2516,-0.006
"Puig, David",150,+2875,+1800,-0.361,+2000,-0.294,+2000,-0.294,+2415,-0.155,+1800,-0.361,+1800,-0.361,+2000,-0.294,+2200,-0.227,+1600,-0.429,+2000,-0.294,,0.00,+2096,-0.262
"Oosthuizen, Louis",150,+3539,+2000,-0.423,+2600,-0.258,+3500,-0.011,+3170,-0.101,+2000,-0.423,+2000,-0.423,+2200,-0.368,+2200,-0.368,+2500,-0.285,+2500,-0.285,,0.00,+3159,-0.104
"Casey, Paul",150,+3636,+3300,-0.090,+3300,-0.090,+2800,-0.224,+2667,-0.259,+3000,-0.170,+3300,-0.090,+3500,-0.036,+3000,-0.170,+3300,-0.090,+3000,-0.170,,0.00,+3313,-0.086
"Garcia, Sergio",150,+3962,+1800,-0.532,+1800,-0.532,+1800,-0.532,+2000,-0.483,+2000,-0.483,+1600,-0.582,+1600,-0.582,+1600,-0.582,+1800,-0.532,+1600,-0.582,,0.00,+1852,-0.519
"Smith, Cameron",150,+4364,+1800,-0.574,+2000,-0.530,+3000,-0.306,+3350,-0.227,+2000,-0.530,+2000,-0.530,+2500,-0.418,+2800,-0.350,+2200,-0.485,+2500,-0.418,,0.00,+2789,-0.353
"Ancer, Abraham",150,+4484,+2500,-0.433,+2900,-0.345,+3500,-0.215,+4550,0.014,+2500,-0.433,+2500,-0.433,+3000,-0.324,+3000,-0.324,+3300,-0.258,+2800,-0.367,,0.00,+4073,-0.090
"Herbert, Lucas",150,+4810,+3300,-0.308,+3300,-0.308,+3500,-0.267,+4781,-0.006,+3000,-0.369,+3300,-0.308,+4000,-0.165,+4000,-0.165,+4000,-0.165,+4500,-0.063,,0.00,+4127,-0.139
"Koepka, Brooks",150,+4921,+2800,-0.422,+3100,-0.363,+3500,-0.283,+4026,-0.178,+3000,-0.383,+2800,-0.422,+3000,-0.383,+3500,-0.283,+3300,-0.323,+2800,-0.422,,0.00,+4228,-0.138
"Lahiri, Anirban",150,+5024,+2500,-0.493,+2600,-0.473,+4500,-0.102,+4478,-0.107,+2200,-0.551,+2500,-0.493,+4000,-0.200,+2800,-0.434,+2800,-0.434,+2800,-0.434,,0.00,+4282,-0.145
"Tringale, Cameron",150,+5145,+3500,-0.314,+3300,-0.352,+4000,-0.218,+5385,0.046,+4000,-0.218,+3300,-0.352,+3500,-0.314,+5500,0.068,+3300,-0.352,+3300,-0.352,,0.00,+4521,-0.119
"Gooch, Talor",150,+5276,+3300,-0.368,+2900,-0.442,+3500,-0.330,+4150,-0.210,+3000,-0.423,+2800,-0.461,+3000,-0.423,+4500,-0.144,+3300,-0.368,+3300,-0.368,,0.00,+3340,-0.360
"McKibbin, Tom",150,+5560,+4000,-0.276,+4100,-0.258,+4000,-0.276,+4026,-0.271,+3500,-0.364,+4000,-0.276,+4000,-0.276,+5500,-0.011,+3300,-0.399,+4000,-0.276,,0.00,+4570,-0.175
"Schwartzel, Charl",150,+6229,+7500,0.201,+6500,0.043,+6000,-0.036,+5264,-0.152,+5000,-0.194,+6600,0.059,+6500,0.043,+6500,0.043,+5000,-0.194,+6600,0.059,,0.00,+5372,-0.135
"Burmester, Dean",150,+6276,+3000,-0.514,+4100,-0.341,+4000,-0.357,+3473,-0.440,+3500,-0.435,+3300,-0.467,+4000,-0.357,+4500,-0.279,+2800,-0.545,+3300,-0.467,,0.00,+4205,-0.325
"Leishman, Marc",150,+6844,+4500,-0.338,+4500,-0.338,+3500,-0.482,+5450,-0.201,+4500,-0.338,+4000,-0.410,+4500,-0.338,+6000,-0.122,+4000,-0.410,+4500,-0.338,,0.00,+4865,-0.285
"Varner III, Harold",150,+6984,+5000,-0.280,+5000,-0.280,+5500,-0.209,+7850,0.122,+4000,-0.421,+5000,-0.280,+5000,-0.280,+6500,-0.068,+5000,-0.280,+5000,-0.280,,0.00,+5779,-0.170
"Pieters, Thomas",150,+7419,+4500,-0.388,+4500,-0.388,+6000,-0.189,+5385,-0.270,+5000,-0.322,+4000,-0.455,+5000,-0.322,+6000,-0.189,+5000,-0.322,+5500,-0.255,,0.00,+6535,-0.118
"Johnson, Dustin",150,+7702,+4500,-0.410,+4500,-0.410,+4500,-0.410,+5550,-0.276,+5500,-0.282,+4000,-0.475,+4500,-0.410,+5500,-0.282,+4000,-0.475,+4500,-0.410,,0.00,+5341,-0.303
"Bland, Richard",150,+7826,+8000,0.022,+5000,-0.357,+5500,-0.293,+5360,-0.311,+8500,0.085,+8000,0.022,+5000,-0.357,+7500,-0.041,+6600,-0.155,+6600,-0.155,,0.00,+6999,-0.104
"Howell III, Charles",150,+8108,+7000,-0.135,+7000,-0.135,+8000,-0.013,+8901,0.097,+6500,-0.196,+6600,-0.184,+7000,-0.135,+8000,-0.013,+6600,-0.184,+6600,-0.184,,0.00,+7335,-0.094
"Kozuma, Jinichiro",150,+8375,+7500,-0.103,+7000,-0.162,+10000,0.192,+9419,0.123,+5000,-0.398,+6600,-0.209,+7500,-0.103,+9000,0.074,+5000,-0.398,+7000,-0.162,,0.00,+7497,-0.104
"Watson, Bubba",150,+10408,+7000,-0.324,+6500,-0.372,+8000,-0.229,+10850,0.042,+8000,-0.229,+6600,-0.362,+6500,-0.372,+8000,-0.229,+6600,-0.362,+8000,-0.229,,0.00,+8508,-0.181
"Grace, Branden",150,+13383,+20000,0.491,+15000,0.120,+20000,0.491,+12129,-0.093,+9000,-0.325,+15000,0.120,+15000,0.120,+13500,0.009,+10000,-0.251,+12500,-0.066,,0.00,+11970,-0.105
"Campbell, Ben",150,+13414,+7500,-0.438,+7000,-0.475,+10000,-0.253,+10550,-0.212,+8000,-0.401,+6600,-0.504,+7500,-0.438,+11000,-0.179,+8000,-0.401,+9000,-0.327,,0.00,+10797,-0.194
"Steele, Brendan",150,+13693,+14000,0.022,+10000,-0.268,+10000,-0.268,+11550,-0.155,+10000,-0.268,+12500,-0.086,+15000,0.095,+13500,-0.014,+10000,-0.268,+12500,-0.086,,0.00,+12137,-0.113
"Horsfield, Sam",150,+15566,+16000,0.028,+13000,-0.164,+20000,0.283,+10618,-0.316,+12500,-0.196,+15000,-0.036,+15000,-0.036,+15000,-0.036,+15000,-0.036,+12500,-0.196,,0.00,+12733,-0.181
"Kaymer, Martin",150,+15857,+12500,-0.210,+8000,-0.492,+20000,0.260,+9250,-0.414,+10000,-0.367,+10000,-0.367,+12500,-0.210,+9000,-0.430,+10000,-0.367,+12500,-0.210,,0.00,+13013,-0.178
"McDowell, Graeme",150,+16249,+12500,-0.229,+13000,-0.199,+12000,-0.260,+12129,-0.252,+15000,-0.076,+12500,-0.229,+12500,-0.229,+16500,0.015,+15000,-0.076,+12500,-0.229,,0.00,+13420,-0.173
"Na, Kevin",150,+18249,+20000,0.095,+21000,0.150,+20000,0.095,+17664,-0.032,+17500,-0.041,+25000,0.368,+30000,0.640,+17500,-0.041,+15000,-0.177,+17500,-0.041,,0.00,+15443,-0.153
"Kokrak, Jason",150,+20034,+9000,-0.548,+9000,-0.548,+10000,-0.498,+15147,-0.243,+8500,-0.573,+8000,-0.598,+9000,-0.548,+12500,-0.374,+10000,-0.498,+10000,-0.498,,0.00,+14430,-0.278
"Stenson, Henrik",150,+20448,+22500,0.100,+15000,-0.265,+30000,0.465,+13587,-0.334,+15000,-0.265,+30000,0.465,+15000,-0.265,+20000,-0.022,+15000,-0.265,+17500,-0.143,,0.00,+17983,-0.120
