player_name,sample_size,DG_odds,bet365_odds,bet365_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,betcris_odds,betcris_ev,caesars_odds,caesars_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,betonline_odds,betonline_ev,unibet_odds,unibet_ev,betmgm_odds,betmgm_ev,betfair_odds,betfair_ev,pinnacle_odds,pinnacle_ev
"DeChambeau, Bryson",150,+117,+105,-0.056,,0.00,+100,-0.079,,0.00,+110,-0.033,+100,-0.079,+100,-0.079,+110,-0.033,,0.00,-120,-0.157,,0.00,,0.00
"Rahm, Jon",150,+123,+105,-0.079,,0.00,-115,-0.160,,0.00,+115,-0.034,+105,-0.079,+105,-0.079,+110,-0.057,,0.00,-120,-0.178,,0.00,,0.00
"Niemann, Joaquin",150,+208,+125,-0.269,,0.00,+135,-0.237,,0.00,+125,-0.269,+120,-0.285,+110,-0.318,+150,-0.188,,0.00,+100,-0.350,,0.00,,0.00
"Hatton, Tyrrell",150,+268,+175,-0.254,,0.00,+170,-0.267,,0.00,+150,-0.321,+140,-0.349,+140,-0.349,+175,-0.254,,0.00,+125,-0.389,,0.00,,0.00
"Ortiz, Carlos",150,+320,+210,-0.262,,0.00,+300,-0.047,,0.00,+225,-0.226,+225,-0.226,+200,-0.285,+250,-0.166,,0.00,+225,-0.226,,0.00,,0.00
"Herbert, Lucas",150,+477,+410,-0.116,,0.00,+400,-0.133,,0.00,+400,-0.133,+400,-0.133,+425,-0.090,+400,-0.133,,0.00,+350,-0.220,,0.00,,0.00
"Reed, Patrick",150,+455,+280,-0.316,,0.00,+400,-0.099,,0.00,+350,-0.189,+300,-0.279,+270,-0.334,+350,-0.189,,0.00,+275,-0.325,,0.00,,0.00
"Munoz, Sebastian",150,+513,+380,-0.217,,0.00,+400,-0.184,,0.00,+400,-0.184,+350,-0.266,+350,-0.266,+400,-0.184,,0.00,+350,-0.266,,0.00,,0.00
"Koepka, Brooks",150,+572,+370,-0.300,,0.00,+425,-0.218,,0.00,+300,-0.404,+350,-0.330,+300,-0.404,+450,-0.181,,0.00,+275,-0.442,,0.00,,0.00
"Puig, David",150,+651,+470,-0.241,,0.00,+400,-0.334,,0.00,+500,-0.201,+400,-0.334,+375,-0.368,+500,-0.201,,0.00,+500,-0.201,,0.00,,0.00
"Smith, Cameron",150,+690,+470,-0.278,,0.00,+500,-0.240,,0.00,+500,-0.240,+400,-0.367,+375,-0.399,+500,-0.240,,0.00,+450,-0.304,,0.00,,0.00
"Burmester, Dean",150,+766,+525,-0.279,,0.00,+500,-0.308,,0.00,+500,-0.308,+500,-0.308,+425,-0.394,+600,-0.192,,0.00,+500,-0.308,,0.00,,0.00
"Gooch, Talor",150,+804,+460,-0.380,,0.00,+450,-0.391,,0.00,+400,-0.447,+400,-0.447,+375,-0.474,+550,-0.281,,0.00,+350,-0.502,,0.00,,0.00
