player_name,sample_size,DG_odds,bet365_odds,bet365_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,betcris_odds,betcris_ev,caesars_odds,caesars_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,betonline_odds,betonline_ev,unibet_odds,unibet_ev,betmgm_odds,betmgm_ev,betfair_odds,betfair_ev,pinnacle_odds,pinnacle_ev
"DeChambeau, Bryson",150,+511,+500,-0.019,+500,-0.019,+500,-0.019,+506,-0.009,+475,-0.059,+500,-0.019,+500,-0.019,+500,-0.019,+500,-0.019,+500,-0.019,,0.00,+475,-0.059
"Rahm, Jon",150,+569,+500,-0.103,+480,-0.133,+450,-0.178,+502,-0.100,+525,-0.066,+500,-0.103,+550,-0.028,+525,-0.066,+500,-0.103,+500,-0.103,,0.00,+502,-0.100
"Niemann, Joaquin",150,+1046,+650,-0.346,+700,-0.302,+750,-0.259,+854,-0.168,+700,-0.302,+650,-0.346,+700,-0.302,+800,-0.215,+700,-0.302,+700,-0.302,,0.00,+875,-0.149
"Hatton, Tyrrell",150,+1467,+900,-0.362,+900,-0.362,+1000,-0.298,+1117,-0.223,+800,-0.426,+900,-0.362,+900,-0.362,+1100,-0.234,+750,-0.457,+850,-0.394,,0.00,+1251,-0.138
"Ortiz, Carlos",150,+1754,+1100,-0.353,+1200,-0.299,+1400,-0.191,+1557,-0.106,+1500,-0.137,+1200,-0.299,+1400,-0.191,+1200,-0.299,+1400,-0.191,+1400,-0.191,,0.00,+1536,-0.118
"Herbert, Lucas",150,+2947,+2800,-0.048,+2900,-0.015,+2500,-0.147,+3450,0.165,+3000,0.017,+2800,-0.048,+3500,0.181,+3000,0.017,+2500,-0.147,+2800,-0.048,,0.00,+2620,-0.107
"Reed, Patrick",150,+3066,+1600,-0.463,+1600,-0.463,+2200,-0.274,+2097,-0.306,+1800,-0.400,+1400,-0.526,+1800,-0.400,+1800,-0.400,+1800,-0.400,+1800,-0.400,,0.00,+2075,-0.313
"Munoz, Sebastian",150,+3360,+2200,-0.335,+2000,-0.393,+2500,-0.249,+2855,-0.146,+2000,-0.393,+2000,-0.393,+2500,-0.249,+2500,-0.249,+2500,-0.249,+2200,-0.335,,0.00,+2666,-0.201
"Koepka, Brooks",150,+3530,+2000,-0.421,+2000,-0.421,+2800,-0.201,+2954,-0.159,+1400,-0.587,+2000,-0.421,+2000,-0.421,+2500,-0.284,+1800,-0.477,+2000,-0.421,,0.00,+2830,-0.193
"Puig, David",150,+4161,+3000,-0.273,+2900,-0.296,+2500,-0.390,+3355,-0.189,+3300,-0.202,+2800,-0.319,+3000,-0.273,+3500,-0.155,+2800,-0.319,+3300,-0.202,,0.00,+3932,-0.054
"Smith, Cameron",150,+4696,+3000,-0.354,+2900,-0.374,+3000,-0.354,+3853,-0.176,+3300,-0.291,+2800,-0.395,+3000,-0.354,+3300,-0.291,+3300,-0.291,+3000,-0.354,,0.00,+3445,-0.261
"Burmester, Dean",150,+5310,+3300,-0.372,+3300,-0.372,+3500,-0.335,+4065,-0.230,+3500,-0.335,+3300,-0.372,+3500,-0.335,+4000,-0.242,+3300,-0.372,+3300,-0.372,,0.00,+4224,-0.201
"Gooch, Talor",150,+5625,+2800,-0.493,+2900,-0.476,+3000,-0.459,+5064,-0.098,+3000,-0.459,+2500,-0.546,+3300,-0.406,+3500,-0.371,+3300,-0.406,+2500,-0.546,,0.00,+4367,-0.220
"Pieters, Thomas",150,+5703,+3300,-0.414,+5000,-0.121,+4500,-0.207,+5070,-0.109,+5000,-0.121,+3300,-0.414,+4000,-0.293,+4000,-0.293,+4000,-0.293,+3500,-0.380,,0.00,+5281,-0.073
"Leishman, Marc",150,+5900,+3500,-0.400,+2900,-0.500,+3000,-0.483,+4858,-0.174,+4000,-0.317,+3300,-0.433,+4000,-0.317,+4000,-0.317,+4000,-0.317,+3300,-0.433,,0.00,+4747,-0.192
"McKibbin, Tom",150,+6604,+5500,-0.165,+5000,-0.239,+4500,-0.314,+5070,-0.229,+5000,-0.239,+5000,-0.239,+6000,-0.090,+6000,-0.090,+5500,-0.165,+5000,-0.239,,0.00,+5727,-0.131
"Watson, Bubba",150,+6734,+5000,-0.254,+5500,-0.181,+6000,-0.107,+7261,0.077,+5000,-0.254,+4000,-0.400,+5000,-0.254,+4500,-0.327,+5000,-0.254,+5000,-0.254,,0.00,+6290,-0.065
"Garcia, Sergio",150,+6828,+3300,-0.509,+3300,-0.509,+4000,-0.408,+4356,-0.357,+3500,-0.480,+3300,-0.509,+3500,-0.480,+4000,-0.408,+3300,-0.509,+3300,-0.509,,0.00,+3596,-0.467
"Casey, Paul",150,+7182,+5000,-0.300,+5000,-0.300,+3500,-0.506,+4568,-0.359,+7500,0.044,+4000,-0.437,+6000,-0.162,+6000,-0.162,+5000,-0.300,+5000,-0.300,,0.00,+5139,-0.281
"Ancer, Abraham",150,+7753,+4500,-0.414,+5000,-0.351,+4000,-0.478,+7065,-0.088,+5500,-0.287,+5000,-0.351,+5000,-0.351,+7000,-0.096,+4500,-0.414,+5000,-0.351,,0.00,+6507,-0.159
"Schwartzel, Charl",150,+7795,+6600,-0.151,+6500,-0.164,+6000,-0.227,+8073,0.035,+7000,-0.101,+6600,-0.151,+7000,-0.101,+7500,-0.037,+6600,-0.151,+6600,-0.151,,0.00,+6922,-0.111
"Tringale, Cameron",150,+7868,+4000,-0.485,+5000,-0.360,+4500,-0.423,+7077,-0.099,+5000,-0.360,+5000,-0.360,+5000,-0.360,+5000,-0.360,+4500,-0.423,+5000,-0.360,,0.00,+7028,-0.105
"Oosthuizen, Louis",150,+7965,+5500,-0.306,+5000,-0.368,+4500,-0.430,+6560,-0.174,+6000,-0.244,+5000,-0.368,+5000,-0.368,+6000,-0.244,+6600,-0.169,+5000,-0.368,,0.00,+7137,-0.103
"Johnson, Dustin",150,+8280,+4000,-0.511,+4100,-0.499,+5000,-0.391,+5658,-0.313,+5000,-0.391,+3300,-0.594,+4500,-0.451,+5000,-0.391,+5000,-0.391,+4000,-0.511,,0.00,+7460,-0.098
"Lahiri, Anirban",150,+8659,+5500,-0.361,+4100,-0.520,+6000,-0.304,+8073,-0.067,+5000,-0.418,+5000,-0.418,+5000,-0.418,+6000,-0.304,,0.00,+4000,-0.532,,0.00,+7880,-0.089
"Varner III, Harold",150,+8776,+6000,-0.313,+6500,-0.256,+6000,-0.313,+8082,-0.078,+6500,-0.256,+6600,-0.245,+8000,-0.087,+7000,-0.200,+7000,-0.200,+6600,-0.245,,0.00,+8001,-0.087
"Howell III, Charles",150,+10789,+9000,-0.164,+8000,-0.256,+10000,-0.072,+10088,-0.064,+9500,-0.118,+8000,-0.256,+9000,-0.164,+10000,-0.072,+9000,-0.164,+8000,-0.256,,0.00,+8448,-0.215
