player_name,dg_id,dg_pred,my_pred,import_advice
bryson dechambeau,19841,2.369,null,1) import file must include at least one of player_name or dg_id columns
jon rahm,19195,2.292,null,2) import file must include my_pred column
joaquin niemann,18079,1.624,null,3) it is not required you import all players; we will set any missing or unmatched players to our default prediction
tyrrell hatton,14796,1.619,null,
patrick reed,14838,0.812,null,
david puig,28984,0.784,null,
sebastian munoz,20770,0.702,null,
carlos ortiz,14735,0.633,null,
tom mckibbin,22322,0.576,null,
lucas herbert,17064,0.517,null,
cameron smith,15856,0.453,null,
talor gooch,18580,0.41,null,
dustin johnson,12422,0.389,null,
dean burmester,14424,0.32,null,
cameron tringale,14013,0.319,null,
harold varner iii,16602,0.317,null,
paul casey,7108,0.292,null,
abraham ancer,18238,0.221,null,
brooks koepka,16243,0.209,null,
thomas pieters,13944,0.207,null,
sergio garcia,5689,0.191,null,
charles howell iii,6892,0.057,null,
louis oosthuizen,7672,0.044,null,
anirban lahiri,12669,0.041,null,
marc leishman,7649,0.027,null,
jinichiro kozuma,14209,0.004,null,
charl schwartzel,7398,-0.028,null,
bubba watson,7334,-0.051,null,
jason kokrak,12337,-0.196,null,
peter uihlein,11357,-0.25,null,
richard bland,6516,-0.276,null,
sam horsfield,19866,-0.279,null,
brendan steele,11019,-0.318,null,
branden grace,11952,-0.345,null,
adrian meronk,14196,-0.371,null,
caleb surratt,30463,-0.508,null,
phil mickelson,1547,-0.639,null,
henrik stenson,5994,-0.683,null,
matthew wolff,25919,-0.692,null,
lee westwood,4052,-0.824,null,
matt jones,8605,-0.893,null,
graeme mcdowell,7548,-0.92,null,
jose luis ballester,28473,-0.949,null,
martin kaymer,8117,-0.976,null,
kevin na,7452,-0.98,null,
ben campbell,14373,-0.996,null,
andy ogletree,27597,-1.277,null,
chieh-po lee,16563,-1.32,null,
yubin jang,28276,-1.473,null,
ian poulter,1435,-1.527,null,
mito pereira,19455,-1.774,null,
danny lee,11826,-1.793,null,
frederik kjettrup,24660,-2.405,null,
anthony kim,11641,-2.591,null,
