player_name,sample_size,DG_odds,bet365_odds,bet365_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,betcris_odds,betcris_ev,caesars_odds,caesars_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,betonline_odds,betonline_ev,unibet_odds,unibet_ev,betmgm_odds,betmgm_ev,betfair_odds,betfair_ev,pinnacle_odds,pinnacle_ev
"DeChambeau, Bryson",150,-101,-110,-0.040,,0.00,-105,-0.018,,0.00,-105,-0.020,-110,-0.040,-135,-0.125,-110,-0.040,+100,0.006,-111,-0.045,,0.00,,0.00
"Rahm, Jon",150,+125,+105,-0.088,,0.00,+110,-0.066,,0.00,+100,-0.110,+110,-0.066,-115,-0.168,+110,-0.066,+120,-0.021,+100,-0.110,,0.00,,0.00
"Niemann, Joaquin",150,+191,+130,-0.208,,0.00,+135,-0.191,,0.00,+120,-0.243,+125,-0.226,+100,-0.312,+150,-0.139,+150,-0.139,+125,-0.226,,0.00,,0.00
"Hatton, Tyrrell",150,+296,+195,-0.256,,0.00,+155,-0.357,,0.00,+250,-0.117,+200,-0.243,+180,-0.294,+250,-0.117,+225,-0.180,+200,-0.243,,0.00,,0.00
"Herbert, Lucas",150,+351,+340,-0.024,,0.00,+340,-0.024,,0.00,+300,-0.113,+333,-0.040,+310,-0.091,+300,-0.113,+335,-0.035,+300,-0.113,,0.00,,0.00
"Ortiz, Carlos",150,+468,+340,-0.226,,0.00,+450,-0.033,,0.00,+400,-0.120,+333,-0.238,+310,-0.279,+425,-0.077,+400,-0.120,+350,-0.208,,0.00,,0.00
"Reed, Patrick",150,+469,+300,-0.297,,0.00,+360,-0.191,,0.00,+300,-0.297,+300,-0.297,+290,-0.315,+400,-0.121,+400,-0.121,+280,-0.332,,0.00,,0.00
"Munoz, Sebastian",150,+506,+400,-0.175,,0.00,+400,-0.175,,0.00,+450,-0.092,+400,-0.175,+400,-0.175,+450,-0.092,+500,-0.010,+400,-0.175,,0.00,,0.00
"Smith, Cameron",150,+648,+340,-0.412,,0.00,+400,-0.332,,0.00,+400,-0.332,+333,-0.421,+350,-0.399,+500,-0.198,+500,-0.198,+350,-0.399,,0.00,,0.00
"Koepka, Brooks",150,+687,+460,-0.288,,0.00,+450,-0.301,,0.00,+550,-0.174,+450,-0.301,+400,-0.365,+600,-0.110,+550,-0.174,+450,-0.301,,0.00,,0.00
"Burmester, Dean",150,+682,+460,-0.284,,0.00,+450,-0.297,,0.00,+500,-0.233,+450,-0.297,+400,-0.361,+600,-0.105,+550,-0.169,+400,-0.361,,0.00,,0.00
"McKibbin, Tom",150,+706,+650,-0.070,,0.00,+550,-0.194,,0.00,+600,-0.132,+700,-0.008,+650,-0.070,+650,-0.070,+600,-0.132,+550,-0.194,,0.00,,0.00
"Garcia, Sergio",150,+697,+460,-0.298,,0.00,+450,-0.310,,0.00,+450,-0.310,+450,-0.310,+350,-0.436,+600,-0.122,+550,-0.185,+450,-0.310,,0.00,,0.00
"Tringale, Cameron",150,+851,+550,-0.316,,0.00,+650,-0.211,,0.00,+600,-0.264,+550,-0.316,+550,-0.316,+650,-0.211,+550,-0.316,+500,-0.369,,0.00,,0.00
"Gooch, Talor",150,+878,+460,-0.427,,0.00,+550,-0.335,,0.00,+600,-0.284,+450,-0.438,+425,-0.463,+450,-0.438,+600,-0.284,+450,-0.438,,0.00,,0.00
"Schwartzel, Charl",150,+944,+750,-0.186,,0.00,+800,-0.138,,0.00,+700,-0.234,+700,-0.234,+650,-0.281,+800,-0.138,+700,-0.234,+650,-0.281,,0.00,,0.00
"Oosthuizen, Louis",150,+990,+725,-0.243,,0.00,+700,-0.266,,0.00,+700,-0.266,+700,-0.266,+600,-0.358,+800,-0.174,+800,-0.174,+650,-0.312,,0.00,,0.00
"Pieters, Thomas",150,+933,+750,-0.177,,0.00,+850,-0.080,,0.00,+800,-0.129,+700,-0.225,+650,-0.274,+800,-0.129,+750,-0.177,+600,-0.322,,0.00,,0.00
"Casey, Paul",150,+997,+650,-0.316,,0.00,+550,-0.407,,0.00,+700,-0.270,+650,-0.316,+550,-0.407,+800,-0.179,+750,-0.225,+600,-0.362,,0.00,,0.00
"Ancer, Abraham",150,+1030,+900,-0.115,,0.00,+650,-0.336,,0.00,+800,-0.203,+900,-0.115,+850,-0.159,+900,-0.115,+800,-0.203,+800,-0.203,,0.00,,0.00
"Leishman, Marc",150,+1043,+650,-0.344,,0.00,+650,-0.344,,0.00,+750,-0.256,+700,-0.300,+650,-0.344,+900,-0.125,+600,-0.388,+650,-0.344,,0.00,,0.00
"Watson, Bubba",150,+1192,+875,-0.245,,0.00,+1100,-0.071,,0.00,+800,-0.304,+900,-0.226,+850,-0.265,+900,-0.226,+850,-0.265,+800,-0.304,,0.00,,0.00
"Bland, Richard",150,+1068,+725,-0.294,,0.00,+550,-0.444,,0.00,+800,-0.230,+700,-0.315,+650,-0.358,+800,-0.230,+550,-0.444,+650,-0.358,,0.00,,0.00
"Johnson, Dustin",150,+1170,+550,-0.488,,0.00,+750,-0.331,,0.00,+750,-0.331,+550,-0.488,+650,-0.409,+800,-0.291,+750,-0.331,+550,-0.488,,0.00,,0.00
"Howell III, Charles",150,+1175,+875,-0.235,,0.00,+1100,-0.059,,0.00,+800,-0.294,+1000,-0.137,+900,-0.216,+1100,-0.059,+600,-0.451,+800,-0.294,,0.00,,0.00
"Varner III, Harold",150,+1304,+900,-0.288,,0.00,+950,-0.252,,0.00,+900,-0.288,+900,-0.288,+1000,-0.217,+900,-0.288,+1100,-0.145,+900,-0.288,,0.00,,0.00
"Uihlein, Peter",150,+1465,+1100,-0.233,,0.00,+950,-0.329,,0.00,+1200,-0.169,+1100,-0.233,+1000,-0.297,+1100,-0.233,+1100,-0.233,+1000,-0.297,,0.00,,0.00
"Lahiri, Anirban",150,+1520,+1100,-0.259,,0.00,+1000,-0.321,,0.00,+1100,-0.259,+1100,-0.259,+1000,-0.321,+1100,-0.259,+1100,-0.259,+1000,-0.321,,0.00,,0.00
"Surratt, Caleb",150,+1689,+875,-0.455,,0.00,+1100,-0.329,,0.00,+1100,-0.329,+1000,-0.385,+900,-0.441,+1100,-0.329,+900,-0.441,+900,-0.441,,0.00,,0.00
"Kokrak, Jason",150,+1801,+1100,-0.369,,0.00,+1400,-0.211,,0.00,+1200,-0.316,+1200,-0.316,+1200,-0.316,+1400,-0.211,+1100,-0.369,+1100,-0.369,,0.00,,0.00
"Wolff, Matthew",150,+1971,+1350,-0.300,,0.00,+1600,-0.179,,0.00,+1600,-0.179,+1400,-0.276,+1200,-0.372,+1600,-0.179,+1600,-0.179,+1400,-0.276,,0.00,,0.00
"Steele, Brendan",150,+1745,+1350,-0.214,,0.00,+1400,-0.187,,0.00,+1600,-0.078,+2000,0.138,+2200,0.247,+1600,-0.078,+1400,-0.187,+1600,-0.078,,0.00,,0.00
"Kozuma, Jinichiro",150,+1784,+1600,-0.098,,0.00,+1600,-0.098,,0.00,+1000,-0.416,+1600,-0.098,+1600,-0.098,+1600,-0.098,+900,-0.469,+1200,-0.310,,0.00,,0.00
"Ballester Barrio, Jose Luis",150,+2044,+1350,-0.324,,0.00,+1800,-0.114,,0.00,,0.00,+1400,-0.300,,0.00,+1400,-0.300,+1600,-0.207,+1400,-0.300,,0.00,,0.00
"Horsfield, Sam",150,+2008,+1600,-0.193,,0.00,+1800,-0.099,,0.00,+1500,-0.241,+1600,-0.193,+1800,-0.099,+1800,-0.099,+1400,-0.288,+1400,-0.288,,0.00,,0.00
"Na, Kevin",150,+2231,+2600,0.158,,0.00,+1600,-0.271,,0.00,+2200,-0.013,+2200,-0.013,+2500,0.115,+2000,-0.099,+1800,-0.185,+1800,-0.185,,0.00,,0.00
