player_name,sample_size,DG_odds,bet365_odds,bet365_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,betcris_odds,betcris_ev,caesars_odds,caesars_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,betonline_odds,betonline_ev,unibet_odds,unibet_ev,betmgm_odds,betmgm_ev,betfair_odds,betfair_ev,pinnacle_odds,pinnacle_ev
"DeChambeau, Bryson",150,+436,+450,0.027,+430,-0.011,+450,0.027,+375,-0.113,+450,0.027,+400,-0.067,+450,0.027,+450,0.027,+400,-0.067,+400,-0.067,,0.00,+419,-0.031
"Rahm, Jon",150,+597,+500,-0.139,+500,-0.139,+550,-0.067,+496,-0.145,+550,-0.067,+550,-0.067,+550,-0.067,+500,-0.139,+550,-0.067,+550,-0.067,,0.00,+508,-0.127
"Niemann, Joaquin",150,+966,+700,-0.250,+800,-0.156,+700,-0.250,+827,-0.131,+700,-0.250,+700,-0.250,+700,-0.250,+800,-0.156,+750,-0.203,+650,-0.297,,0.00,+794,-0.162
"Hatton, Tyrrell",150,+1680,+1100,-0.326,+1300,-0.214,+1200,-0.270,+1187,-0.277,+1200,-0.270,+1100,-0.326,+1200,-0.270,+1400,-0.157,+1100,-0.326,+1100,-0.326,,0.00,+1425,-0.143
"Herbert, Lucas",150,+1947,+2000,0.026,+1800,-0.072,+2000,0.026,+2241,0.144,+1600,-0.170,+2000,0.026,+2200,0.124,+1800,-0.072,+1800,-0.072,+1800,-0.072,,0.00,+1817,-0.064
"Ortiz, Carlos",150,+2774,+2000,-0.269,+2200,-0.200,+3000,0.079,+2654,-0.042,+2200,-0.200,+2000,-0.269,+2200,-0.200,+2000,-0.269,+2000,-0.269,+2000,-0.269,,0.00,+2429,-0.120
"Reed, Patrick",150,+3121,+1600,-0.472,+2200,-0.286,+2200,-0.286,+3076,-0.014,+1600,-0.472,+1800,-0.410,+1800,-0.410,+2200,-0.286,+2000,-0.348,+1600,-0.472,,0.00,+2180,-0.292
"Munoz, Sebastian",150,+3166,+2500,-0.204,+2600,-0.173,+2500,-0.204,+2759,-0.125,+3000,-0.051,+2500,-0.204,+2800,-0.112,+2800,-0.112,+2500,-0.204,+2800,-0.112,,0.00,+2639,-0.161
"Smith, Cameron",150,+4283,+2000,-0.521,+2600,-0.384,+2500,-0.407,+3750,-0.122,+2000,-0.521,+2000,-0.521,+2500,-0.407,+2500,-0.407,+2500,-0.407,+2000,-0.521,,0.00,+2676,-0.367
"Koepka, Brooks",150,+4643,+2800,-0.389,+2900,-0.368,+3000,-0.346,+4145,-0.105,+2500,-0.452,+2800,-0.389,+2800,-0.389,+3300,-0.283,+3300,-0.283,+2800,-0.389,,0.00,+3117,-0.322
"Burmester, Dean",150,+4647,+2800,-0.389,+2900,-0.368,+3000,-0.347,+4558,-0.019,+2500,-0.452,+2800,-0.389,+2800,-0.389,+3300,-0.284,+3300,-0.284,+2800,-0.389,,0.00,+3275,-0.289
"McKibbin, Tom",150,+4900,+4000,-0.180,+3600,-0.260,+3500,-0.280,+3555,-0.269,+4000,-0.180,+3300,-0.320,+5000,0.020,+4500,-0.080,+4000,-0.180,+4000,-0.180,,0.00,+4276,-0.125
"Garcia, Sergio",150,+4972,+2800,-0.428,+2900,-0.408,+3000,-0.389,+3756,-0.240,+2800,-0.428,+2800,-0.428,+2500,-0.487,+3300,-0.330,+3300,-0.330,+2500,-0.487,,0.00,+3534,-0.283
"Tringale, Cameron",150,+6150,+3500,-0.424,+3700,-0.392,+4000,-0.344,+5360,-0.126,+5500,-0.104,+3300,-0.456,+4000,-0.344,+4500,-0.264,+3300,-0.456,+3500,-0.424,,0.00,+5063,-0.174
"Gooch, Talor",150,+6372,+2800,-0.552,+2900,-0.536,+3500,-0.444,+4320,-0.317,+3000,-0.521,+2800,-0.552,+3000,-0.521,+3000,-0.521,+2500,-0.598,+3500,-0.444,,0.00,+4030,-0.362
"Schwartzel, Charl",150,+6877,+5000,-0.269,+5000,-0.269,+5500,-0.197,+8285,0.202,+6000,-0.126,+5000,-0.269,+5000,-0.269,+6000,-0.126,+4500,-0.341,+5000,-0.269,,0.00,+6359,-0.074
"Oosthuizen, Louis",150,+7060,+4500,-0.358,+4100,-0.413,+4500,-0.358,+4558,-0.349,+4500,-0.358,+4000,-0.427,+4500,-0.358,+5500,-0.218,+5500,-0.218,+4500,-0.358,,0.00,+6535,-0.073
"Pieters, Thomas",150,+7173,+5000,-0.299,+5000,-0.299,+5000,-0.299,+6856,-0.044,+4000,-0.436,+5000,-0.299,+5000,-0.299,+6000,-0.161,+5000,-0.299,+5000,-0.299,,0.00,+6501,-0.092
"Casey, Paul",150,+7447,+4000,-0.457,+4100,-0.444,+3500,-0.523,+5074,-0.314,+4000,-0.457,+4000,-0.457,+4000,-0.457,+5000,-0.324,+5000,-0.324,+4000,-0.457,,0.00,+5828,-0.215
