player_name,dg_id,country,pred,sd,make_cut,top_20,top_10,top_5,win
"jordan smith",18586,eng,0.5,2.8826,-329,+133,+262,+498,+1983
"ewen ferguson",21646,sco,0.306,2.8672,-248,+181,+361,+695,+3119
"jayden schaper",26991,rsa,0.289,2.895,-291,+159,+317,+599,+2579
"keita nakajima",21074,jpn,0.195,2.927,-227,+196,+391,+735,+3202
"francesco laporta",14987,ita,0.187,2.8922,-269,+178,+361,+703,+3233
"john parry",13764,eng,0.087,2.8514,-251,+200,+420,+831,+3889
"kristoffer reitan",21407,nor,0.081,2.927,-241,+199,+404,+783,+3388
"eugenio chacarra",26745,esp,0.004,2.927,-203,+234,+473,+916,+3960
"angel ayora",30445,esp,-0.031,2.927,-201,+243,+504,+998,+4838
"marco penge",22465,eng,-0.087,2.927,-209,+236,+486,+964,+4401
"martin couvra",27811,fra,-0.136,2.927,-181,+272,+565,+1126,+5140
"oliver lindell",20085,fin,-0.174,2.927,-209,+246,+508,+1023,+4790
"andy sullivan",15326,eng,-0.226,2.9191,-164,+308,+653,+1329,+6366
"wenyi ding",26193,chn,-0.255,2.927,-206,+260,+545,+1066,+5122
"adrien saddier",14792,fra,-0.263,2.8616,-207,+269,+576,+1178,+5829
"jorge campillo",14016,esp,-0.27,2.8978,-182,+296,+638,+1310,+6844
"frederic lacroix",23733,fra,-0.286,2.927,-178,+292,+607,+1208,+6004
"nicolai von dellingshausen",22231,ger,-0.289,2.8795,-191,+287,+617,+1277,+6372
"edoardo molinari",7033,ita,-0.316,2.8939,-182,+298,+638,+1291,+6695
"brandon stone",15229,rsa,-0.324,2.9113,-151,+353,+759,+1573,+8315
"alex fitzpatrick",25362,eng,-0.331,2.927,-151,+347,+733,+1489,+7612
"sean crocker",23610,usa,-0.354,2.9387,-163,+326,+689,+1387,+6852
"marcel schneider",12522,ger,-0.378,2.9148,-144,+368,+794,+1637,+8672
"john catlin",18524,usa,-0.391,2.9065,-153,+349,+748,+1539,+7889
"fabrizio zanotti",9842,par,-0.396,2.8862,-150,+366,+794,+1686,+9424
"shaun norris",7677,rsa,-0.41,2.9154,-144,+383,+833,+1751,+9074
"jacob skov olesen",25611,den,-0.42,2.927,-148,+363,+765,+1550,+7692
"richard mansell",24185,eng,-0.431,2.9063,-169,+329,+704,+1447,+7391
"marcus armitage",17813,eng,-0.436,2.9017,-139,+390,+855,+1793,+8882
"daniel hillier",21362,nzl,-0.483,2.8941,-157,+364,+804,+1674,+8909
"marcel siem",6950,ger,-0.489,2.9132,-137,+399,+880,+1828,+9640
"todd clements",22608,eng,-0.493,2.927,-140,+399,+863,+1806,+9439
"richie ramsay",11396,sco,-0.51,2.8418,-136,+431,+974,+2120,+12400
"jason scrivener",12734,aus,-0.519,2.873,-156,+378,+839,+1777,+10087
"adrian otaegui",14975,uae,-0.549,2.853,-138,+437,+992,+2178,+12693
"sebastian soderberg",18517,swe,-0.554,2.92,-159,+363,+798,+1684,+9469
"brandon robinson-thompson",24497,eng,-0.594,2.927,-139,+421,+942,+2031,+11264
"yuto katsuragawa",20448,jpn,-0.601,2.927,-120,+472,+1044,+2192,+11619
"romain langasque",16652,fra,-0.622,2.8975,-126,+472,+1039,+2290,+12748
"darius van driel",13374,ned,-0.655,2.8573,-152,+415,+938,+1983,+11199
"kazuma kobori",24369,nzl,-0.657,2.927,-145,+413,+911,+1874,+10018
"ignacio elvira mijares",12988,esp,-0.66,2.8658,-136,+460,+1041,+2276,+13058
"bernd wiesberger",9531,aut,-0.67,2.8354,-122,+509,+1178,+2577,+15245
"ugo coussaud",20727,fra,-0.696,2.927,-132,+466,+1030,+2198,+11781
"dan bradbury",29971,eng,-0.706,2.927,-137,+449,+988,+2087,+11642
"jeff winther",15680,den,-0.712,2.9372,-113,+520,+1172,+2546,+14938
"andrea pavan",12177,ita,-0.723,2.8813,-116,+552,+1268,+2812,+16073
"david ravetto",23416,fra,-0.731,2.927,-112,+535,+1217,+2619,+14499
"yannik paul",19898,ger,-0.746,2.8748,-138,+463,+1042,+2262,+13630
"guido migliozzi",17357,ita,-0.747,2.9228,-113,+545,+1208,+2679,+15206
"maximilian kieffer",12317,ger,-0.753,2.9284,-114,+527,+1188,+2581,+14788
"niklas lemke",10418,swe,-0.762,2.8887,-124,+498,+1138,+2521,+13725
"ricardo gouveia",18722,por,-0.765,2.9195,-119,+527,+1193,+2594,+14606
"jack senior",15115,eng,-0.771,2.8907,-107,+582,+1341,+2978,+18082
"kiradech aphibarnrat",12321,tha,-0.778,2.9491,-127,+488,+1119,+2330,+12639
"alejandro del rey",22259,esp,-0.816,2.927,-128,+500,+1105,+2430,+13789
"andrew wilson",25588,eng,-0.818,2.927,-103,+597,+1347,+2839,+16801
"tom vaillant",28157,fra,-0.831,2.927,-132,+497,+1143,+2433,+13661
"manuel elvira",26008,esp,-0.847,2.927,-110,+581,+1322,+2924,+16994
"conor purcell",25963,irl,-0.849,2.927,-131,+496,+1104,+2417,+14118
"aaron cockerill",15596,can,-0.866,2.8486,-114,+604,+1453,+3340,+20733
"troy merritt",13367,usa,-0.925,2.9087,+101,+660,+1536,+3403,+19572
"jens dantorp",14018,swe,-0.929,2.8911,+106,+694,+1608,+3761,+25324
"callum shinkwin",18244,eng,-0.932,2.9089,-106,+609,+1393,+3093,+18193
"ben schmidt",27258,eng,-0.933,2.927,-111,+600,+1405,+3102,+17444
"benjamin hebert",12213,fra,-0.94,2.9279,+105,+689,+1622,+3618,+19131
"angel hidalgo",24127,esp,-0.953,2.9095,-100,+679,+1567,+3610,+22801
"calum hill",25131,sco,-0.956,2.8988,+103,+683,+1624,+3841,+24591
"gavin green",12530,mas,-0.967,2.898,+100,+694,+1635,+3615,+23066
"scott jamieson",11397,sco,-0.985,2.9042,-119,+594,+1382,+3141,+18419
"grant forrest",16475,sco,-0.99,2.92,+108,+724,+1724,+3887,+22372
"joe dean",16497,eng,-1.013,2.927,-114,+621,+1479,+3265,+19317
"pablo larrazabal",9133,esp,-1.023,2.9209,+106,+728,+1706,+3747,+24390
"wilco nienaber",25889,rsa,-1.037,2.9314,+103,+722,+1708,+3899,+23522
"brandon wu",25213,usa,-1.045,2.8691,+117,+821,+2042,+4817,+28608
"andreas halvorsen",17747,nor,-1.062,2.927,+114,+771,+1855,+4329,+27807
"davis bryant",32550,usa,-1.122,2.927,+105,+718,+1699,+3720,+21329
"ivan cantero gutierrez",19635,esp,-1.123,2.927,+100,+710,+1713,+3876,+25762
"marcus kinhult",18514,swe,-1.128,2.9263,-101,+721,+1728,+4011,+24094
"elvis smylie",24200,aus,-1.151,2.927,-104,+699,+1633,+3741,+22977
"stefano mazzoli",20844,ita,-1.162,2.927,+115,+867,+2084,+4699,+33608
"robin williams",24093,rsa,-1.167,2.927,+124,+909,+2162,+5214,+36710
"gregorio de leo",26506,ita,-1.177,2.927,+113,+832,+2018,+4652,+28471
"freddy schott",27588,ger,-1.186,2.927,-104,+737,+1776,+4127,+27173
"hiroshi iwata",9099,jpn,-1.208,2.927,+115,+866,+2115,+4972,+31986
"darren fichardt",5754,rsa,-1.208,2.9522,+124,+903,+2094,+4897,+30669
"joakim lagergren",14780,swe,-1.211,2.9499,+119,+858,+2024,+4571,+29026
"david micheluzzi",19224,aus,-1.219,2.927,-100,+752,+1792,+4234,+26101
"jordan gumberg",23892,usa,-1.226,2.927,+128,+960,+2351,+5535,+35194
"simon forsstrom",19806,swe,-1.229,2.927,+118,+871,+2091,+4771,+31314
"hamish brown",22168,den,-1.288,2.927,+119,+932,+2271,+5288,+34582
"shubhankar sharma",17081,ind,-1.306,2.9338,+124,+987,+2401,+5644,+40441
"nicolas colsaerts",6893,bel,-1.352,2.9311,+125,+969,+2382,+5407,+34784
"tapio pulkkanen",13139,fin,-1.357,2.9369,+129,+1016,+2559,+6055,+40441
"clement sordet",17718,fra,-1.377,2.9028,+139,+1125,+2848,+6774,+54946
"kevin chappell",13305,usa,-1.382,2.8911,+140,+1136,+2825,+6756,+53954
"joel girrbach",15592,sui,-1.383,2.927,+114,+937,+2329,+5420,+40441
"thomas aiken",7679,rsa,-1.386,2.8735,+126,+1049,+2669,+6428,+44018
"renato paratore",16549,ita,-1.39,2.9403,+141,+1129,+2856,+6927,+54445
"rafa cabrera bello",7457,esp,-1.434,2.8845,+143,+1243,+3203,+7958,+61124
"albert boneta",29948,esp,-1.444,2.927,+120,+1018,+2549,+6229,+41858
"lucas bjerregaard",11619,den,-1.468,2.904,+141,+1192,+3088,+7774,+61756
"richard sterne",7049,rsa,-1.546,2.8984,+163,+1360,+3506,+8617,+61124
"tadeáš tetak",27808,svk,-1.549,2.927,+169,+1426,+3558,+9140,+80981
"ryggs johnston",32449,usa,-1.569,2.927,+149,+1350,+3503,+8704,+59306
"filippo celli",23549,ita,-1.578,2.927,+140,+1286,+3264,+8135,+57043
"jacopo vecchi fossa",17362,ita,-1.596,2.927,+160,+1431,+3684,+9383,+76823
"alexander levy",14973,fra,-1.597,2.9264,+177,+1614,+4193,+9953,+69667
"veer ahlawat",22897,ind,-1.611,2.927,+153,+1447,+3703,+9408,+73071
"ryan van velzen",27960,rsa,-1.62,2.927,+175,+1586,+4109,+10553,+85614
"deon germishuys",25888,rsa,-1.632,2.927,+174,+1674,+4684,+12078,+96674
"jannik de bruyn",23112,ger,-1.636,2.927,+176,+1617,+4169,+10599,+75849
"wil besseling",9413,ned,-1.639,2.8894,+176,+1669,+4479,+11717,+98261
"alfredo garcia-heredia",7887,esp,-1.705,2.8883,+188,+1866,+5102,+13271,+111011
"joel moscatel",27815,esp,-1.714,2.927,+148,+1437,+3777,+9286,+61124
"zander lombard",16897,rsa,-1.768,2.9332,+180,+1709,+4407,+10615,+75849
"lorenzo scalise",20846,ita,-1.822,2.927,+164,+1713,+4736,+11746,+95138
"matthew baldwin",13344,eng,-1.825,2.9362,+195,+2040,+5542,+14552,+113108
"zihao jin",31187,chn,-1.826,2.927,+211,+2107,+5735,+16029,+101595
"jeong weon ko",26213,fra,-1.827,2.927,+208,+2195,+6103,+15982,+115285
"dale whitnell",13821,eng,-1.839,2.9348,+175,+1795,+4880,+11960,+79900
"corey shaun",24599,usa,-1.849,2.927,+187,+1871,+5367,+13951,+113108
"dan erickson",29520,usa,-1.861,2.927,+185,+1851,+4943,+13241,+82092
"mikael lindberg",20084,swe,-1.861,2.927,+173,+1774,+4672,+11989,+96674
"pierre pineau",20900,fra,-1.898,2.927,+206,+2293,+6430,+18066,+142757
"ross fisher",9396,eng,-2.039,2.9218,+201,+2423,+7210,+21200,+199900
"rikard karlberg",9398,swe,-2.061,2.929,+193,+2314,+6518,+17104,+157795
"sam hutsby",11104,eng,-2.066,2.9059,+259,+3268,+9931,+29172,Inf
"julien brun",16363,fra,-2.109,2.8757,+248,+3089,+9192,+23486,Inf
"daniel gale",19212,aus,-2.131,2.927,+245,+3028,+8960,+25986,Inf
"alexander george frances",25183,den,-2.187,2.927,+215,+2844,+8614,+25098,Inf
"bjorn akesson",11530,swe,-2.259,2.927,+226,+3159,+10116,+28551,Inf
"benjamin follet-smith",15211,zim,-2.26,2.927,+220,+3207,+9960,+27379,Inf
"danny list",24170,aus,-2.263,2.927,+231,+2881,+8164,+22919,+176371
"justin harding",10886,rsa,-2.283,2.9331,+249,+3292,+10515,+29351,Inf
"matthias schwab",15016,aut,-2.319,2.9216,+313,+4375,+13099,+34879,Inf
"michele ortolani",20845,ita,-2.34,2.927,+311,+4414,+13674,+38915,Inf
"louis albertse",24341,rsa,-2.367,2.927,+275,+4339,+13857,+40250,Inf
"aron zemmer",15952,ita,-2.397,2.927,+308,+4741,+14889,+42298,Inf
"ross mcgowan",11981,eng,-2.414,2.9749,+251,+3083,+8833,+23203,+171329
"jean bekirian",25626,arm,-2.516,2.927,+326,+5430,+19054,+52904,Inf
"alexander knappe",12318,ger,-2.523,2.9511,+359,+5681,+17200,+45682,Inf
"bastien amat",28592,fra,-2.526,2.927,+318,+4958,+16056,+56059,Inf
"flavio michetti",25656,ita,-2.553,2.927,+366,+5727,+18364,+57543,Inf
"brett coletta",18177,aus,-2.647,2.927,+358,+5888,+17154,+46094,Inf
"michael hirmer",20713,ger,-2.807,2.927,+381,+7675,+23508,+68048,Inf
"andrea romano",22789,ita,-2.83,2.927,+437,+8655,+30284,+86355,Inf
"neil schietekat",11980,rsa,-2.87,2.927,+435,+9934,+35563,+118572,Inf
"luca memeo",29444,ita,-2.896,2.927,+496,+10597,+39300,+123690,Inf
"mafredi manica",23990,ita,-3.031,2.927,+491,+12108,+43879,+138697,Inf
"enrico di nitto",17652,ita,-3.055,2.927,+574,+14859,+59074,Inf,Inf
"gonzalo fdez-castano",8262,esp,-3.094,2.9468,+456,+10690,+36930,+113968,Inf
"lucas fallotico",27784,ita,-3.431,2.927,+772,+27351,+103414,Inf,Inf
"luca cianchetti",20843,ita,-3.879,2.927,+1105,+57267,Inf,Inf,Inf
"martin trainer",15634,fra,-3.886,2.9543,+1113,+70124,Inf,Inf,Inf
"erik barnes",14799,usa,-5.164,2.9556,+3572,Inf,Inf,Inf,Inf
