player_name,dg_id,country,pred,sd,make_cut,top_20,top_10,top_5,win
"michael thorbjornsen",26649,usa,1.03,2.8033,-431,-110,+176,+323,+1232
"jackson koivun",32319,usa,0.8,2.8033,-363,+115,+225,+414,+1696
"emiliano grillo",12808,arg,0.753,2.7859,-339,+125,+246,+463,+1939
"vince whaley",25908,usa,0.498,2.7451,-290,+161,+333,+655,+3188
"mark hubbard",16333,usa,0.436,2.7695,-268,+176,+357,+700,+3168
"rico hoey",23504,phi,0.411,2.8283,-266,+174,+356,+685,+3032
"kevin roy",18424,usa,0.363,2.757,-259,+185,+381,+755,+3519
"beau hossler",15470,usa,0.304,2.8032,-244,+200,+415,+803,+3778
"mac meissner",28159,usa,0.169,2.7611,-216,+237,+498,+1011,+4859
"kazuma kobori",24369,nzl,0.142,2.8033,-210,+234,+488,+990,+4719
"patrick fishburn",25094,usa,0.092,2.7663,-201,+258,+558,+1141,+6016
"steven fisk",26657,usa,0.084,2.7533,-205,+256,+546,+1119,+5664
"chan kim",15004,usa,0.073,2.8069,-199,+257,+541,+1100,+5686
"angel ayora",30445,esp,0.067,2.8033,-197,+259,+553,+1116,+5481
"adam svensson",13997,can,0.056,2.7658,-197,+267,+585,+1206,+5882
"kris ventura",15651,nor,0.053,2.8076,-199,+258,+555,+1118,+5686
"carson young",23656,usa,0.046,2.788,-194,+269,+575,+1179,+6048
"cameron champ",23542,usa,0.009,2.774,-197,+273,+595,+1236,+6216
"takumi kanaya",19729,jpn,-0.02,2.8033,-186,+286,+608,+1262,+6310
"chandler phillips",27164,usa,-0.033,2.7765,-184,+293,+640,+1314,+7051
"sam ryder",16715,usa,-0.034,2.7995,-180,+291,+627,+1318,+6664
"quade cummins",27996,usa,-0.092,2.7514,-176,+317,+683,+1461,+7592
"greyson sigg",23482,usa,-0.096,2.7384,-177,+315,+701,+1505,+8484
"joseph bramlett",14698,usa,-0.103,2.724,-177,+322,+716,+1512,+8977
"dylan wu",25002,usa,-0.151,2.738,-172,+335,+735,+1572,+9469
"jeremy paul",22087,ger,-0.156,2.7631,-168,+339,+751,+1584,+9349
"jackson suber",29279,usa,-0.19,2.8033,-164,+338,+738,+1560,+8108
"william mouw",29770,usa,-0.194,2.8033,-159,+346,+742,+1573,+8411
"hayden springer",21995,usa,-0.209,2.8033,-157,+360,+795,+1683,+9319
"seamus power",10104,irl,-0.22,2.7932,-161,+347,+770,+1617,+8977
"ricky castillo",27819,usa,-0.244,2.8033,-155,+368,+809,+1696,+9364
"adam hadwin",13965,can,-0.25,2.7932,-154,+374,+830,+1752,+9394
"ben kohles",16395,usa,-0.26,2.8152,-157,+360,+789,+1667,+8659
"wenyi ding",26193,chn,-0.263,2.8033,-156,+369,+837,+1756,+9500
"s.h. kim",21688,kor,-0.27,2.8291,-151,+381,+842,+1772,+9850
"brice garnett",11451,usa,-0.29,2.7728,-153,+384,+862,+1827,+10192
"will gordon",26660,usa,-0.302,2.8398,-148,+384,+848,+1792,+9379
"luke list",7960,usa,-0.326,2.7363,-152,+408,+929,+1999,+11711
"brandon robinson-thompson",24497,eng,-0.335,2.8033,-140,+417,+920,+1979,+11199
"lanto griffin",15330,usa,-0.382,2.7677,-143,+432,+983,+2170,+13233
"chad ramey",19840,usa,-0.405,2.7667,-137,+461,+1069,+2364,+14254
"nick hardy",19865,usa,-0.413,2.7368,-137,+458,+1065,+2425,+14323
"david lipsky",15980,usa,-0.413,2.7929,-137,+444,+1016,+2228,+13693
"thomas rosenmueller",22736,ger,-0.452,2.7718,-130,+490,+1122,+2499,+14428
"marcus armitage",17813,eng,-0.473,2.7909,-137,+459,+1057,+2321,+14570
"trevor cone",21880,usa,-0.54,2.786,-120,+532,+1213,+2778,+19193
"adam schenk",19477,usa,-0.546,2.7701,-125,+529,+1232,+2696,+17651
"martin laird",9586,sco,-0.557,2.752,-123,+535,+1254,+2839,+17342
"jacob skov olesen",25611,den,-0.563,2.8033,-121,+532,+1218,+2751,+16249
"fabrizio zanotti",9842,par,-0.572,2.7773,-118,+558,+1317,+3054,+18948
"zac blair",17639,usa,-0.582,2.7844,-120,+557,+1314,+2912,+17547
"john pak",27820,usa,-0.589,2.8033,-120,+548,+1279,+2883,+17043
"davis bryant",32550,usa,-0.602,2.8033,-116,+549,+1262,+2775,+15324
"david skinns",10873,eng,-0.618,2.8247,-119,+562,+1316,+2910,+18027
"justin lower",17723,usa,-0.63,2.8053,-114,+593,+1398,+3304,+21027
"ivan cantero gutierrez",19635,esp,-0.654,2.8033,-113,+601,+1377,+3032,+19637
"andrea pavan",12177,ita,-0.671,2.7769,-118,+599,+1441,+3305,+21483
"ben martin",14007,usa,-0.689,2.7369,-115,+609,+1463,+3248,+20733
"patton kizzire",13470,usa,-0.694,2.7787,-112,+608,+1445,+3308,+22040
"miles russell",32064,usa,-0.717,2.8033,-105,+656,+1583,+3651,+25110
"kiradech aphibarnrat",12321,tha,-0.734,2.8424,-109,+637,+1525,+3622,+21405
"andreas halvorsen",17747,nor,-0.761,2.8033,-103,+690,+1645,+3870,+24900
"jens dantorp",14018,swe,-0.783,2.7913,-103,+724,+1784,+4152,+24591
"taylor montgomery",25442,usa,-0.788,2.8178,+101,+703,+1684,+3845,+24591
"s.y. noh",11117,kor,-0.803,2.7447,+101,+788,+2012,+4690,+33233
"tyler duncan",18187,usa,-0.807,2.7734,-101,+742,+1805,+4401,+31314
"maximilian kieffer",12317,ger,-0.808,2.8082,-102,+715,+1698,+3972,+24191
"scott jamieson",11397,sco,-0.815,2.7936,-101,+726,+1788,+4184,+28608
"ben silverman",17381,can,-0.821,2.7801,+101,+741,+1816,+4203,+29751
"paul peterson",16341,usa,-0.824,2.7333,+103,+811,+2009,+4965,+37400
"tim widing",21875,swe,-0.828,2.8033,+105,+758,+1840,+4242,+30828
"ricardo gouveia",18722,por,-0.836,2.8115,-101,+752,+1850,+4234,+28202
"hayden buckley",25363,usa,-0.854,2.7933,+104,+782,+1928,+4512,+30357
"scott piercy",7899,usa,-0.869,2.7689,+105,+788,+1946,+4652,+29900
"matt nesmith",16433,usa,-0.874,2.7767,+105,+794,+1969,+4832,+32158
"tom vaillant",28157,fra,-0.906,2.8033,+103,+793,+1939,+4581,+34186
"jason scrivener",12734,aus,-0.913,2.7642,+108,+841,+2116,+5317,+42757
"casey jarvis",26947,rsa,-0.947,2.8033,+110,+870,+2159,+5337,+35828
"taylor dickson",27420,usa,-0.97,2.8148,+115,+902,+2234,+5215,+38117
"noah goodwin",24837,usa,-0.979,2.8033,+113,+867,+2163,+5293,+39635
"manuel elvira",26008,esp,-0.988,2.8033,+112,+921,+2300,+5676,+35828
"harry higgs",14140,usa,-1.007,2.8439,+113,+878,+2167,+5111,+34784
"kevin velo",27762,usa,-1.01,2.8033,+117,+951,+2324,+5702,+42453
"josh teater",8085,usa,-1.012,2.7726,+117,+971,+2466,+6237,+43378
"matthew riedel",30892,usa,-1.014,2.8033,+117,+957,+2375,+5677,+37875
"callum shinkwin",18244,eng,-1.018,2.8078,+120,+926,+2267,+5684,+43696
"marcus kinhult",18514,swe,-1.02,2.8219,+116,+939,+2356,+5481,+45702
"rafa cabrera bello",7457,esp,-1.041,2.7916,+117,+1001,+2486,+6044,+46775
"jack senior",15115,eng,-1.045,2.7846,+118,+1007,+2659,+6651,+49900
"kaito onishi",25263,jpn,-1.079,2.8033,+124,+1050,+2689,+6776,+48680
"fabian gomez",8571,arg,-1.089,2.7954,+125,+1047,+2676,+6585,+50320
"gavin green",12530,mas,-1.09,2.8063,+120,+1016,+2696,+6494,+42453
"peter malnati",14926,usa,-1.108,2.8314,+122,+1023,+2602,+6686,+46412
"conor purcell",25963,irl,-1.113,2.8033,+128,+1101,+2800,+6995,+49900
"cristobal del solar",17422,chi,-1.134,2.8033,+133,+1162,+3095,+8116,+61756
"brandon wu",25213,usa,-1.139,2.768,+130,+1157,+3059,+7670,+57592
"robin williams",24093,rsa,-1.142,2.8033,+128,+1148,+2946,+7757,+57043
